,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Kevin Streelman,1,73,69,65,67,274,-10,"$990,000.00"
1,Boo Weekley,2,72,70,71,63,276,-8,"$594,000.00"
2,Cameron Tringale,3,71,70,70,66,277,-7,"$374,000.00"
3,Luke Donald,T4,70,72,67,69,278,-6,"$227,333.34"
4,Justin Leonard,T4,71,69,67,71,278,-6,"$227,333.33"
5,Greg Chalmers,T4,71,68,69,70,278,-6,"$227,333.33"
6,Sergio Garcia,T7,71,67,72,69,279,-5,"$148,892.86"
7,Jim Furyk,T7,72,69,67,71,279,-5,"$148,892.85"
8,Shawn Stefani,T7,65,70,74,70,279,-5,"$148,892.86"
9,Harris English,T7,68,69,73,69,279,-5,"$148,892.86"
10,Ben Kohles,T7,72,67,69,71,279,-5,"$148,892.85"
11,Pat Perez,T7,71,71,70,67,279,-5,"$148,892.86"
12,Jordan Spieth,T7,72,68,69,70,279,-5,"$148,892.86"
13,Brian Harman,T14,67,70,72,71,280,-4,"$99,000.00"
14,Matt Kuchar,T14,72,68,71,69,280,-4,"$99,000.00"
15,Stewart Cink,T14,76,68,68,68,280,-4,"$99,000.00"
16,Graham DeLaet,T17,73,71,70,67,281,-3,"$79,750.00"
17,Tag Ridings,T17,68,70,70,73,281,-3,"$79,750.00"
18,George Coetzee,T17,71,68,68,74,281,-3,"$79,750.00"
19,Webb Simpson,T17,73,69,71,68,281,-3,"$79,750.00"
20,Roberto Castro,T21,69,73,68,72,282,-2,"$55,000.00"
21,James Driscoll,T21,74,66,72,70,282,-2,"$55,000.00"
22,K.J. Choi,T21,69,67,76,70,282,-2,"$55,000.00"
23,Jason Dufner,T21,71,66,74,71,282,-2,"$55,000.00"
24,Jerry Kelly,T21,70,70,73,69,282,-2,"$55,000.00"
25,Dicky Pride,T21,69,73,70,70,282,-2,"$55,000.00"
26,Justin Hicks,T27,70,71,69,73,283,-1,"$40,700.00"
27,Rory Sabbatini,T27,73,71,68,71,283,-1,"$40,700.00"
28,Scott Brown,T27,70,70,72,71,283,-1,"$40,700.00"
29,Scott Langley,T30,72,70,70,72,284,E,"$31,968.75"
30,Ryan Palmer,T30,71,70,72,71,284,E,"$31,968.75"
31,Bryce Molder,T30,72,69,68,75,284,E,"$31,968.75"
32,George McNeill,T30,72,72,70,70,284,E,"$31,968.75"
33,Erik Compton,T30,75,65,72,72,284,E,"$31,968.75"
34,Adam Scott,T30,70,66,76,72,284,E,"$31,968.75"
35,Jimmy Walker,T30,73,68,70,73,284,E,"$31,968.75"
36,Stephen Ames,T30,72,71,69,72,284,E,"$31,968.75"
37,Vijay Singh,T38,69,73,72,71,285,+1,"$23,650.00"
38,Charlie Wi,T38,71,72,71,71,285,+1,"$23,650.00"
39,Lucas Glover,T38,69,74,70,72,285,+1,"$23,650.00"
40,Marc Leishman,T38,70,70,75,70,285,+1,"$23,650.00"
41,Jonas Blixt,T38,75,69,72,69,285,+1,"$23,650.00"
42,Jason Day,T43,70,72,75,69,286,+2,"$16,747.50"
43,Sangmoon Bae,T43,73,70,71,72,286,+2,"$16,747.50"
44,Jeff Overton,T43,72,72,70,72,286,+2,"$16,747.50"
45,Brian Stuard,T43,75,68,74,69,286,+2,"$16,747.50"
46,Brendan Steele,T43,68,75,74,69,286,+2,"$16,747.50"
47,Nick Watney,T43,70,72,70,74,286,+2,"$16,747.50"
48,Brendon de Jonge,T43,71,73,72,70,286,+2,"$16,747.50"
49,Tim Herron,T43,71,71,72,72,286,+2,"$16,747.50"
50,David Lingmerth,T51,74,70,70,73,287,+3,"$13,024.00"
51,J.J. Henry,T51,70,74,72,71,287,+3,"$13,024.00"
52,Robert Streb,T51,73,70,69,75,287,+3,"$13,024.00"
53,Martin Flores,T51,73,69,73,72,287,+3,"$13,024.00"
54,Peter Tomasulo,T51,69,68,75,75,287,+3,"$13,024.00"
55,Billy Horschel,T56,70,73,74,71,288,+4,"$12,320.00"
56,Aaron Baddeley,T56,72,71,72,73,288,+4,"$12,320.00"
57,John Mallinger,T56,74,70,71,73,288,+4,"$12,320.00"
58,Robert Garrigus,T56,72,71,72,73,288,+4,"$12,320.00"
59,Brian Davis,T56,71,69,73,75,288,+4,"$12,320.00"
60,Geoff Ogilvy,T61,69,72,76,72,289,+5,"$11,935.00"
61,Stuart Appleby,T61,74,68,74,73,289,+5,"$11,935.00"
62,Ángel Cabrera,T63,74,69,75,72,290,+6,"$11,495.00"
63,Daniel Summerhays,T63,71,73,74,72,290,+6,"$11,495.00"
64,Chez Reavie,T63,69,75,70,76,290,+6,"$11,495.00"
65,Trevor Immelman,T63,70,73,75,72,290,+6,"$11,495.00"
66,Troy Kelly,T63,72,70,73,75,290,+6,"$11,495.00"
67,Chris Stroud,T63,75,67,74,74,290,+6,"$11,495.00"
68,Sean O'Hair,69,73,68,75,75,291,+7,"$11,110.00"
69,John Rollins,T70,76,68,71,77,292,+8,"$10,835.00"
70,Martin Laird,T70,73,71,73,75,292,+8,"$10,835.00"
71,Richard Lee,T70,72,72,74,74,292,+8,"$10,835.00"
72,Colt Knost,T70,71,72,74,75,292,+8,"$10,835.00"
73,Jesper Parnevik,74,72,72,72,77,293,+9,"$10,560.00"
74,Charley Hoffman,T75,71,70,77,77,295,+11,"$10,395.00"
75,Troy Matteson,T75,71,72,77,75,295,+11,"$10,395.00"
76,Josh Teater,77,74,69,77,77,297,+13,"$10,230.00"
77,Carl Pettersson,CUT,74,71,,,145,+3,$0.00
78,"Ted Potter, Jr.",CUT,73,72,,,145,+3,$0.00
79,D.H. Lee,CUT,72,73,,,145,+3,$0.00
80,Matt Every,CUT,73,72,,,145,+3,$0.00
81,Charlie Beljan,CUT,74,71,,,145,+3,$0.00
82,Gary Woodland,CUT,71,74,,,145,+3,$0.00
83,Eric Meierdierks,CUT,73,72,,,145,+3,$0.00
84,Louis Oosthuizen,CUT,73,72,,,145,+3,$0.00
85,Ricky Barnes,CUT,73,72,,,145,+3,$0.00
86,Andres Romero,CUT,73,72,,,145,+3,$0.00
87,Chad Campbell,CUT,75,70,,,145,+3,$0.00
88,Jin Park,CUT,74,71,,,145,+3,$0.00
89,Greg Owen,CUT,72,73,,,145,+3,$0.00
90,John Senden,CUT,71,75,,,146,+4,$0.00
91,Scott Gardiner,CUT,73,73,,,146,+4,$0.00
92,Patrick Cantlay,CUT,70,76,,,146,+4,$0.00
93,Luke Guthrie,CUT,74,72,,,146,+4,$0.00
94,Tom Gillis,CUT,72,74,,,146,+4,$0.00
95,Brad Fritsch,CUT,71,75,,,146,+4,$0.00
96,Jason Bohn,CUT,78,68,,,146,+4,$0.00
97,Y.E. Yang,CUT,73,73,,,146,+4,$0.00
98,Kevin Stadler,CUT,74,72,,,146,+4,$0.00
99,David Skinns,CUT,71,75,,,146,+4,$0.00
100,John Huh,CUT,75,71,,,146,+4,$0.00
101,Kevin Chappell,CUT,73,73,,,146,+4,$0.00
102,Fabián Gómez,CUT,73,73,,,146,+4,$0.00
103,Camilo Villegas,CUT,72,74,,,146,+4,$0.00
104,Will Claxton,CUT,72,75,,,147,+5,$0.00
105,Ben Crane,CUT,74,73,,,147,+5,$0.00
106,Jeff Klauk,CUT,74,73,,,147,+5,$0.00
107,Lee Williams,CUT,75,72,,,147,+5,$0.00
108,Retief Goosen,CUT,76,71,,,147,+5,$0.00
109,Robert Allenby,CUT,75,72,,,147,+5,$0.00
110,David Toms,CUT,76,72,,,148,+6,$0.00
111,Ken Duke,CUT,76,72,,,148,+6,$0.00
112,Jason Kokrak,CUT,75,73,,,148,+6,$0.00
113,D.J. Trahan,CUT,73,75,,,148,+6,$0.00
114,Matt Jones,CUT,74,74,,,148,+6,$0.00
115,D.A. Points,CUT,77,71,,,148,+6,$0.00
116,Scott Piercy,CUT,73,75,,,148,+6,$0.00
117,Ryo Ishikawa,CUT,71,77,,,148,+6,$0.00
118,Peter Uihlein,CUT,76,72,,,148,+6,$0.00
119,Michael Thompson,CUT,77,71,,,148,+6,$0.00
120,Andy Pope,CUT,76,73,,,149,+7,$0.00
121,Henrik Norlander,CUT,75,74,,,149,+7,$0.00
122,S.Y. Noh,CUT,77,72,,,149,+7,$0.00
123,David Hearn,CUT,74,75,,,149,+7,$0.00
124,Casey Wittenberg,CUT,72,77,,,149,+7,$0.00
125,Ross Fisher,CUT,78,71,,,149,+7,$0.00
126,Steven Bowditch,CUT,73,76,,,149,+7,$0.00
127,Kevin Sutherland,CUT,74,75,,,149,+7,$0.00
128,"Wes Short, Jr.",CUT,75,74,,,149,+7,$0.00
129,Luke List,CUT,75,74,,,149,+7,$0.00
130,Brian Gay,CUT,74,75,,,149,+7,$0.00
131,Mark Wilson,CUT,75,75,,,150,+8,$0.00
132,Martin Kaymer,CUT,74,76,,,150,+8,$0.00
133,Jim Herman,CUT,72,78,,,150,+8,$0.00
134,James Hahn,CUT,79,71,,,150,+8,$0.00
135,Patrick Reed,CUT,73,77,,,150,+8,$0.00
