,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Matt Kuchar,1,68,70,70,68,276,-12,"$1,116,000.00"
1,Kevin Chappell,2,71,71,68,68,278,-10,"$669,600.00"
2,Kyle Stanley,3,67,70,73,71,281,-7,"$421,600.00"
3,Scott Stallings,T4,70,70,75,67,282,-6,"$272,800.00"
4,Bill Haas,T4,68,67,76,71,282,-6,"$272,800.00"
5,Matt Jones,T6,69,72,70,72,283,-5,"$215,450.00"
6,Russell Henley,T6,67,77,70,69,283,-5,"$215,450.00"
7,Michael Thompson,T8,69,76,70,69,284,-4,"$167,400.00"
8,Charl Schwartzel,T8,65,71,76,72,284,-4,"$167,400.00"
9,Justin Rose,T8,70,70,71,73,284,-4,"$167,400.00"
10,Brian Davis,T8,75,70,69,70,284,-4,"$167,400.00"
11,Pat Perez,T8,72,69,72,71,284,-4,"$167,400.00"
12,James Driscoll,T13,70,75,73,67,285,-3,"$119,866.67"
13,Ryan Moore,T13,70,72,73,70,285,-3,"$119,866.67"
14,Adam Scott,T13,73,70,69,73,285,-3,"$119,866.66"
15,Hunter Mahan,T16,73,68,75,70,286,-2,"$93,000.00"
16,Scott Piercy,T16,66,75,71,74,286,-2,"$93,000.00"
17,Ken Duke,T16,75,69,72,70,286,-2,"$93,000.00"
18,Gary Woodland,T16,70,73,70,73,286,-2,"$93,000.00"
19,Cameron Tringale,T16,71,71,74,70,286,-2,"$93,000.00"
20,Roberto Castro,T21,71,70,75,71,287,-1,"$58,202.50"
21,Jim Furyk,T21,75,70,69,73,287,-1,"$58,202.50"
22,Bo Van Pelt,T21,73,69,72,73,287,-1,"$58,202.50"
23,Luke Donald,T21,73,73,71,70,287,-1,"$58,202.50"
24,Charles Howell III,T21,72,70,73,72,287,-1,"$58,202.50"
25,David Hearn,T21,71,71,74,71,287,-1,"$58,202.50"
26,K.J. Choi,T21,72,74,70,71,287,-1,"$58,202.50"
27,Graham DeLaet,T21,70,72,74,71,287,-1,"$58,202.50"
28,Carl Pettersson,T29,71,71,73,73,288,E,"$40,300.00"
29,Bubba Watson,T29,71,67,75,75,288,E,"$40,300.00"
30,J.J. Henry,T29,72,72,68,76,288,E,"$40,300.00"
31,Davis Love III,T29,73,69,72,74,288,E,"$40,300.00"
32,Stewart Cink,T29,70,72,76,70,288,E,"$40,300.00"
33,Robert Karlsson,T34,69,71,76,73,289,+1,"$33,480.00"
34,Justin Leonard,T34,70,76,73,70,289,+1,"$33,480.00"
35,Bud Cauley,T34,71,73,76,69,289,+1,"$33,480.00"
36,Rickie Fowler,T37,72,71,76,71,290,+2,"$28,520.00"
37,Ernie Els,T37,73,70,74,73,290,+2,"$28,520.00"
38,Trevor Immelman,T37,70,72,74,74,290,+2,"$28,520.00"
39,William McGirt,T37,73,73,71,73,290,+2,"$28,520.00"
40,Billy Horschel,T41,70,75,76,70,291,+3,"$20,556.44"
41,Camilo Villegas,T41,72,71,76,72,291,+3,"$20,556.44"
42,Jason Day,T41,72,75,72,72,291,+3,"$20,556.44"
43,Marc Leishman,T41,74,72,77,68,291,+3,"$20,556.44"
44,George McNeill,T41,74,71,71,75,291,+3,"$20,556.45"
45,Ben Curtis,T41,73,70,73,75,291,+3,"$20,556.45"
46,Henrik Stenson,T41,71,73,75,72,291,+3,"$20,556.45"
47,Brandt Jobe,T41,70,75,78,68,291,+3,"$20,556.44"
48,Richard Lee,T41,73,71,72,75,291,+3,"$20,556.45"
49,Luke Guthrie,T50,72,74,72,74,292,+4,"$15,252.00"
50,Keegan Bradley,T50,71,74,75,72,292,+4,"$15,252.00"
51,Fred Couples,T50,70,75,70,77,292,+4,"$15,252.00"
