,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jimmy Walker,1,66,69,67,74,276,-11,"$1,188,000.00"
1,Dustin Johnson,T2,68,73,70,66,277,-10,"$580,800.00"
2,Jim Renner,T2,65,73,72,67,277,-10,"$580,800.00"
3,Jordan Spieth,T4,67,67,78,67,279,-8,"$290,400.00"
4,Kevin Na,T4,72,68,70,69,279,-8,"$290,400.00"
5,Hunter Mahan,6,68,68,72,72,280,-7,"$237,600.00"
6,Pat Perez,T7,69,70,71,71,281,-6,"$205,700.00"
7,Tim Wilkinson,T7,67,72,69,73,281,-6,"$205,700.00"
8,Graeme McDowell,T7,71,71,72,67,281,-6,"$205,700.00"
9,Chesson Hadley,T10,71,70,70,71,282,-5,"$165,000.00"
10,Bryce Molder,T10,72,71,69,70,282,-5,"$165,000.00"
11,Richard Lee,T10,65,72,72,73,282,-5,"$165,000.00"
12,Scott Gardiner,T13,65,73,77,68,283,-4,"$116,600.00"
13,Will MacKenzie,T13,69,74,70,70,283,-4,"$116,600.00"
14,Brian Davis,T13,68,74,70,71,283,-4,"$116,600.00"
15,Victor Dubuisson,T13,73,67,74,69,283,-4,"$116,600.00"
16,Cameron Tringale,T13,70,73,71,69,283,-4,"$116,600.00"
17,Patrick Reed,T13,69,70,75,69,283,-4,"$116,600.00"
18,Michael Thompson,T19,71,68,72,73,284,-3,"$71,775.00"
19,Roberto Castro,T19,70,73,71,70,284,-3,"$71,775.00"
20,S.Y. Noh,T19,72,71,71,70,284,-3,"$71,775.00"
21,Daniel Summerhays,T19,69,69,74,72,284,-3,"$71,775.00"
22,Phil Mickelson,T19,66,73,71,74,284,-3,"$71,775.00"
23,Brice Garnett,T19,75,68,68,73,284,-3,"$71,775.00"
24,Jason Kokrak,T19,74,68,70,72,284,-3,"$71,775.00"
25,Steven Bowditch,T19,68,70,75,71,284,-3,"$71,775.00"
26,Robert Garrigus,T27,67,71,73,74,285,-2,"$46,860.00"
27,Padraig Harrington,T27,72,69,72,72,285,-2,"$46,860.00"
28,Jim Herman,T27,70,70,71,74,285,-2,"$46,860.00"
29,Russell Knox,T27,70,72,70,73,285,-2,"$46,860.00"
30,Andrew Loupe,T27,63,73,76,73,285,-2,"$46,860.00"
31,Robert Streb,T32,67,75,72,72,286,-1,"$39,050.00"
32,Wes Roach,T32,67,74,72,73,286,-1,"$39,050.00"
33,Ryan Palmer,T32,72,66,72,76,286,-1,"$39,050.00"
34,James Driscoll,T35,69,71,73,74,287,E,"$29,139.00"
35,Stuart Appleby,T35,65,74,76,72,287,E,"$29,139.00"
36,Bronson La'Cassie,T35,70,72,72,73,287,E,"$29,139.00"
37,Dudley Hart,T35,71,68,73,75,287,E,"$29,139.00"
38,Dicky Pride,T35,66,72,74,75,287,E,"$29,139.00"
39,Jim Furyk,T35,70,70,73,74,287,E,"$29,139.00"
40,David Duval,T35,72,68,74,73,287,E,"$29,139.00"
41,Kevin Chappell,T35,73,68,73,73,287,E,"$29,139.00"
42,Kevin Foley,T35,68,76,71,72,287,E,"$29,139.00"
43,Michael Putnam,T35,69,71,75,72,287,E,"$29,139.00"
44,Brendon Todd,T45,70,68,73,77,288,+1,"$18,498.85"
45,Blake Adams,T45,69,69,72,78,288,+1,"$18,498.85"
46,Bud Cauley,T45,73,69,72,74,288,+1,"$18,498.86"
47,Woody Austin,T45,73,70,69,76,288,+1,"$18,498.86"
48,Matt Jones,T45,68,74,70,76,288,+1,"$18,498.86"
49,Kevin Stadler,T45,67,73,73,75,288,+1,"$18,498.86"
50,Brian Gay,T45,70,70,72,76,288,+1,"$18,498.86"
51,Doug LaBelle II,T52,70,74,70,75,289,+2,"$15,477.00"
52,Andres Romero,T52,71,70,74,74,289,+2,"$15,477.00"
53,George McNeill,T52,67,74,73,75,289,+2,"$15,477.00"
54,Russell Henley,T52,73,70,72,74,289,+2,"$15,477.00"
55,Ben Kohles,T56,72,73,69,76,290,+3,"$14,784.00"
56,Aaron Baddeley,T56,69,70,73,78,290,+3,"$14,784.00"
57,Sean O'Hair,T56,70,71,74,75,290,+3,"$14,784.00"
58,Greg Owen,T56,67,74,74,75,290,+3,"$14,784.00"
59,Alex Cejka,T56,69,71,75,75,290,+3,"$14,784.00"
