,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Geoff Ogilvy,1,+16,+7,+12,+14,+49,+49,"$540,000.00"
1,Justin Hicks,2,+9,+6,+11,+18,+44,+44,"$324,000.00"
2,Jonathan Byrd,T3,+7,+6,+13,+11,+37,+37,"$174,000.00"
3,John Huh,T3,+12,+7,+7,+11,+37,+37,"$174,000.00"
4,Rod Pampling,5,+11,+5,+9,+11,+36,+36,"$120,000.00"
5,Martin Laird,T6,+13,-4,+14,+12,+35,+35,"$104,250.00"
6,Jason Allred,T6,+7,+11,+14,+3,+35,+35,"$104,250.00"
7,Nick Watney,T8,+18,+8,+6,+2,+34,+34,"$84,000.00"
8,Ricky Barnes,T8,+5,+6,+12,+11,+34,+34,"$84,000.00"
9,Tim Wilkinson,T8,+16,+5,+1,+12,+34,+34,"$84,000.00"
10,Kyle Stanley,T8,+5,+11,+6,+12,+34,+34,"$84,000.00"
11,Hudson Swafford,T12,+9,+9,+6,+9,+33,+33,"$66,000.00"
12,Eric Axley,T12,+11,+4,+3,+15,+33,+33,"$66,000.00"
13,Bryce Molder,T14,+10,+10,+6,+6,+32,+32,"$54,000.00"
14,Chad Campbell,T14,+13,-1,+7,+13,+32,+32,"$54,000.00"
15,Robert Streb,T14,+10,+4,+9,+9,+32,+32,"$54,000.00"
16,Tommy Gainey,T17,+11,+10,+3,+7,+31,+31,"$43,500.00"
17,Miguel Angel Carballo,T17,+10,+1,+7,+13,+31,+31,"$43,500.00"
18,Joe Durant,T17,+9,+1,+14,+7,+31,+31,"$43,500.00"
19,George Coetzee,T17,+11,-1,+11,+10,+31,+31,"$43,500.00"
20,David Lingmerth,T21,+9,+7,+12,+2,+30,+30,"$32,400.00"
21,Morgan Hoffmann,T21,+6,+3,+13,+8,+30,+30,"$32,400.00"
22,Wes Roach,T21,+12,+10,0,+8,+30,+30,"$32,400.00"
23,Steve Flesch,T21,+1,+9,+11,+9,+30,+30,"$32,400.00"
24,Brendan Steele,T25,+9,+11,+10,-1,+29,+29,"$25,200.00"
25,Retief Goosen,T25,+5,+8,+6,+10,+29,+29,"$25,200.00"
26,Johnson Wagner,T27,+10,+8,+4,+6,+28,+28,"$20,400.00"
27,Lee Janzen,T27,+8,+7,+13,0,+28,+28,"$20,400.00"
28,Woody Austin,T27,+11,+8,+3,+6,+28,+28,"$20,400.00"
29,Billy Mayfair,T27,+3,+9,+11,+5,+28,+28,"$20,400.00"
