,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Adam Scott,1,71,68,66,66,271,-9,"$1,152,000.00"
1,Jason Dufner,2,67,69,69,66,271,-9,"$691,200.00"
2,Nicholas Thompson,T3,69,68,69,66,272,-8,"$371,200.00"
3,Freddie Jacobson,T3,67,71,67,67,272,-8,"$371,200.00"
4,John Senden,T5,71,68,66,68,273,-7,"$216,960.00"
5,David Toms,T5,72,66,65,70,273,-7,"$216,960.00"
6,Ryan Palmer,T5,69,69,68,67,273,-7,"$216,960.00"
7,Brendon Todd,T5,69,69,67,68,273,-7,"$216,960.00"
8,David Lingmerth,T5,72,69,66,66,273,-7,"$216,960.00"
9,Kevin Chappell,T10,68,73,63,70,274,-6,"$153,600.00"
10,Michael Thompson,T10,73,66,69,66,274,-6,"$153,600.00"
11,Hideki Matsuyama,T10,69,70,64,71,274,-6,"$153,600.00"
12,Jimmy Walker,T10,67,68,69,70,274,-6,"$153,600.00"
13,Chris Stroud,T14,70,64,69,72,275,-5,"$102,400.00"
14,Graham DeLaet,T14,69,70,68,68,275,-5,"$102,400.00"
15,Brian Davis,T14,68,67,70,70,275,-5,"$102,400.00"
16,Bo Van Pelt,T14,67,68,70,70,275,-5,"$102,400.00"
17,Dustin Johnson,T14,65,70,74,66,275,-5,"$102,400.00"
18,Chris Kirk,T14,73,64,67,71,275,-5,"$102,400.00"
19,Jordan Spieth,T14,67,69,70,69,275,-5,"$102,400.00"
20,Bud Cauley,T21,70,69,69,68,276,-4,"$58,453.34"
21,Ben Martin,T21,70,68,69,69,276,-4,"$58,453.33"
22,William McGirt,T21,72,67,67,70,276,-4,"$58,453.33"
23,Russell Knox,T21,71,70,66,69,276,-4,"$58,453.33"
24,David Hearn,T21,67,69,74,66,276,-4,"$58,453.34"
25,Marc Leishman,T21,69,68,67,72,276,-4,"$58,453.33"
26,Bill Haas,T21,70,68,69,69,276,-4,"$58,453.33"
27,Tim Clark,T21,67,68,69,72,276,-4,"$58,453.33"
28,George McNeill,T21,68,72,68,68,276,-4,"$58,453.34"
29,Brian Harman,T30,69,67,68,73,277,-3,"$37,200.00"
30,Martin Laird,T30,70,69,69,69,277,-3,"$37,200.00"
31,Billy Hurley III,T30,71,67,70,69,277,-3,"$37,200.00"
32,Brice Garnett,T30,67,66,74,70,277,-3,"$37,200.00"
33,Chad Campbell,T30,69,66,68,74,277,-3,"$37,200.00"
34,Heath Slocum,T30,69,69,69,70,277,-3,"$37,200.00"
35,Brendon de Jonge,T30,70,68,70,69,277,-3,"$37,200.00"
36,Harris English,T30,66,70,73,68,277,-3,"$37,200.00"
37,Robert Streb,T38,66,68,74,70,278,-2,"$26,240.00"
38,Michael Putnam,T38,70,71,68,69,278,-2,"$26,240.00"
39,Danny Lee,T38,71,69,68,70,278,-2,"$26,240.00"
40,Jerry Kelly,T38,70,71,69,68,278,-2,"$26,240.00"
41,Robert Allenby,T38,68,70,68,72,278,-2,"$26,240.00"
42,Josh Teater,T38,68,71,70,69,278,-2,"$26,240.00"
43,Louis Oosthuizen,T38,72,68,67,71,278,-2,"$26,240.00"
44,Matt Jones,T45,70,67,73,69,279,-1,"$18,304.00"
45,Brandt Snedeker,T45,70,66,73,70,279,-1,"$18,304.00"
46,Jeff Overton,T45,70,71,70,68,279,-1,"$18,304.00"
47,Bryce Molder,T45,70,70,67,72,279,-1,"$18,304.00"
48,Trevor Immelman,T45,69,71,68,71,279,-1,"$18,304.00"
49,Andrew Loupe,T45,75,65,68,71,279,-1,"$18,304.00"
50,Aaron Baddeley,T51,68,67,71,74,280,E,"$15,061.33"
51,Charley Hoffman,T51,70,68,69,73,280,E,"$15,061.33"
52,Jim Furyk,T51,69,69,71,71,280,E,"$15,061.34"
53,Ken Duke,T51,67,72,69,72,280,E,"$15,061.33"
54,Tim Wilkinson,T51,66,71,69,74,280,E,"$15,061.33"
55,Daniel Summerhays,T51,69,71,73,67,280,E,"$15,061.34"
56,J.J. Henry,T57,70,70,68,73,281,+1,"$14,336.00"
57,Justin Leonard,T57,69,72,70,70,281,+1,"$14,336.00"
58,Brian Gay,T57,71,69,72,69,281,+1,"$14,336.00"
59,Steve Flesch,T60,71,70,69,72,282,+2,"$13,952.00"
60,Hunter Mahan,T60,66,71,70,75,282,+2,"$13,952.00"
61,Ricky Barnes,T60,68,71,73,70,282,+2,"$13,952.00"
62,Tim Herron,T63,72,69,71,71,283,+3,"$13,440.00"
63,Sean O'Hair,T63,69,69,70,75,283,+3,"$13,440.00"
64,Jeff Curl,T63,71,69,71,72,283,+3,"$13,440.00"
65,John Rollins,T63,69,72,69,73,283,+3,"$13,440.00"
66,Cameron Tringale,T63,70,70,67,76,283,+3,"$13,440.00"
67,Scott Langley,T68,71,70,74,69,284,+4,"$12,992.00"
68,Kyle Stanley,T68,73,68,73,70,284,+4,"$12,992.00"
69,Jonathan Byrd,T70,70,70,73,72,285,+5,"$12,672.00"
70,Vijay Singh,T70,68,73,69,75,285,+5,"$12,672.00"
71,Davis Love III,T70,72,69,74,70,285,+5,"$12,672.00"
72,Zach Johnson,73,70,71,69,76,286,+6,"$12,416.00"
73,Briny Baird,74,71,70,72,74,287,+7,"$12,288.00"
74,Boo Weekley,75,71,69,74,74,288,+8,"$12,160.00"
75,Lucas Glover,CUT,73,71,,,144,+4,$0.00
76,Chad Collins,CUT,73,74,,,147,+7,$0.00
77,Steven Bowditch,CUT,72,71,,,143,+3,$0.00
78,Carl Pettersson,CUT,72,73,,,145,+5,$0.00
79,Paul Casey,CUT,70,72,,,142,+2,$0.00
80,Kevin Na,CUT,71,71,,,142,+2,$0.00
81,Justin Hicks,CUT,72,72,,,144,+4,$0.00
82,Jason Bohn,CUT,78,73,,,151,+11,$0.00
83,Y.E. Yang,CUT,76,74,,,150,+10,$0.00
84,Rory Sabbatini,CUT,69,74,,,143,+3,$0.00
85,Scott Stallings,CUT,74,68,,,142,+2,$0.00
86,Ryo Ishikawa,CUT,72,70,,,142,+2,$0.00
87,Scott Brown,CUT,74,69,,,143,+3,$0.00
88,Matt Every,CUT,72,75,,,147,+7,$0.00
89,Camilo Villegas,CUT,72,71,,,143,+3,$0.00
90,John Merrick,CUT,74,74,,,148,+8,$0.00
91,Kevin Stadler,CUT,74,68,,,142,+2,$0.00
92,Nick Watney,CUT,74,70,,,144,+4,$0.00
93,Greg Chalmers,CUT,76,70,,,146,+6,$0.00
94,Jim Renner,CUT,72,73,,,145,+5,$0.00
95,Ángel Cabrera,CUT,71,71,,,142,+2,$0.00
96,Pat Perez,CUT,71,73,,,144,+4,$0.00
97,Matt Kuchar,CUT,72,70,,,142,+2,$0.00
98,Geoff Ogilvy,CUT,69,74,,,143,+3,$0.00
99,Rod Pampling,CUT,70,72,,,142,+2,$0.00
100,Mark Wilson,CUT,69,76,,,145,+5,$0.00
101,S.Y. Noh,CUT,72,74,,,146,+6,$0.00
102,Andrew Svoboda,CUT,73,73,,,146,+6,$0.00
103,Kevin Kisner,CUT,75,68,,,143,+3,$0.00
104,Spencer Levin,CUT,72,71,,,143,+3,$0.00
105,Woody Austin,CUT,72,70,,,142,+2,$0.00
106,Chris Williams,CUT,75,71,,,146,+6,$0.00
107,Wes Roach,CUT,67,78,,,145,+5,$0.00
108,Olin Browne,CUT,71,73,,,144,+4,$0.00
109,Corey Pavin,CUT,70,72,,,142,+2,$0.00
110,Chesson Hadley,CUT,77,77,,,154,+14,$0.00
