,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Brendon Todd,1,68,64,68,66,266,-14,"$1,242,000.00"
1,Mike Weir,2,68,66,67,67,268,-12,"$745,200.00"
2,Charles Howell III,T3,68,66,69,67,270,-10,"$400,200.00"
3,Marc Leishman,T3,66,68,68,68,270,-10,"$400,200.00"
4,Boo Weekley,T5,67,68,68,68,271,-9,"$262,200.00"
5,James Hahn,T5,71,65,65,70,271,-9,"$262,200.00"
6,Gary Woodland,T7,68,67,66,71,272,-8,"$207,862.50"
7,Dustin Johnson,T7,69,69,68,66,272,-8,"$207,862.50"
8,Graham DeLaet,T7,68,66,68,70,272,-8,"$207,862.50"
9,Matt Kuchar,T7,69,67,68,68,272,-8,"$207,862.50"
10,Louis Oosthuizen,T11,68,68,64,74,274,-6,"$146,280.00"
11,Charl Schwartzel,T11,73,67,67,67,274,-6,"$146,280.00"
12,John Senden,T11,70,70,68,66,274,-6,"$146,280.00"
13,Charlie Beljan,T11,72,65,70,67,274,-6,"$146,280.00"
14,Shawn Stefani,T11,74,66,67,67,274,-6,"$146,280.00"
15,Morgan Hoffmann,T16,68,66,68,73,275,-5,"$100,050.00"
16,Kevin Kisner,T16,69,70,70,66,275,-5,"$100,050.00"
17,Billy Hurley III,T16,70,69,68,68,275,-5,"$100,050.00"
18,John Huh,T16,67,71,66,71,275,-5,"$100,050.00"
19,Paul Casey,T16,71,63,73,68,275,-5,"$100,050.00"
20,Tyrone Van Aswegen,T16,67,68,72,68,275,-5,"$100,050.00"
21,Andres Romero,T22,71,66,69,70,276,-4,"$64,055.00"
22,Ryan Palmer,T22,67,68,71,70,276,-4,"$64,055.00"
23,Tim Wilkinson,T22,66,71,71,68,276,-4,"$64,055.00"
24,Padraig Harrington,T22,68,68,66,74,276,-4,"$64,055.00"
25,Tim Herron,T22,68,66,74,68,276,-4,"$64,055.00"
26,Greg Chalmers,T22,71,67,65,73,276,-4,"$64,055.00"
27,Scottie Scheffler,T22,71,68,69,68,276,-4,$0.00
28,Keegan Bradley,T29,70,68,68,71,277,-3,"$43,944.37"
29,Brice Garnett,T29,69,70,68,70,277,-3,"$43,944.38"
30,Charlie Wi,T29,73,67,66,71,277,-3,"$43,944.38"
