,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Zach Johnson,1,67,68,72,68,275,-13,"$1,000,000.00"
1,Tiger Woods,2,71,62,72,70,275,-13,"$400,000.00"
2,Matt Kuchar,T3,68,68,76,67,279,-9,"$212,500.00"
3,Bubba Watson,T3,70,70,69,70,279,-9,"$212,500.00"
4,Webb Simpson,5,73,71,69,68,281,-7,"$150,000.00"
5,Graeme McDowell,6,72,67,75,69,283,-5,"$145,000.00"
6,Ian Poulter,7,76,67,73,69,285,-3,"$140,000.00"
7,Jim Furyk,8,72,69,74,71,286,-2,"$135,000.00"
8,Jason Day,T9,76,68,70,73,287,-1,"$122,500.00"
9,Bill Haas,T9,73,68,74,72,287,-1,"$122,500.00"
10,Rory McIlroy,11,73,77,68,70,288,E,"$115,000.00"
11,Hunter Mahan,12,70,80,72,69,291,+3,"$110,000.00"
12,Jason Dufner,T13,74,71,78,69,292,+4,"$108,500.00"
13,Keegan Bradley,T13,75,68,75,74,292,+4,"$108,500.00"
14,Steve Stricker,15,75,74,74,72,295,+7,"$107,000.00"
15,Lee Westwood,T16,74,75,74,74,297,+9,"$105,500.00"
16,Jordan Spieth,T16,77,72,77,71,297,+9,"$105,500.00"
17,Dustin Johnson,18,74,79,72,74,299,+11,"$100,000.00"
