,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jimmy Walker,1,66,67,67,63,263,-17,"$1,008,000.00"
1,Chris Kirk,2,64,69,65,66,264,-16,"$604,800.00"
2,Jerry Kelly,3,67,67,66,65,265,-15,"$380,800.00"
3,Harris English,4,66,66,67,67,266,-14,"$268,800.00"
4,Marc Leishman,5,67,64,71,65,267,-13,"$224,000.00"
5,Brian Stuard,6,65,65,71,67,268,-12,"$201,600.00"
6,Jeff Overton,7,68,68,65,68,269,-11,"$187,600.00"
7,Matt Every,T8,69,65,69,67,270,-10,"$119,000.00"
8,Kevin Na,T8,70,67,67,66,270,-10,"$119,000.00"
9,Pat Perez,T8,68,67,66,69,270,-10,"$119,000.00"
10,Zach Johnson,T8,68,67,66,69,270,-10,"$119,000.00"
11,Adam Scott,T8,67,66,71,66,270,-10,"$119,000.00"
12,Charles Howell III,T8,71,67,66,66,270,-10,"$119,000.00"
13,Retief Goosen,T8,66,69,66,69,270,-10,"$119,000.00"
14,Hideto Tanihara,T8,66,65,70,69,270,-10,"$119,000.00"
15,Matt Kuchar,T8,68,68,68,66,270,-10,"$119,000.00"
16,Ryan Palmer,T8,65,70,67,68,270,-10,"$119,000.00"
17,Hudson Swafford,T8,70,64,69,67,270,-10,"$119,000.00"
18,Will Wilcox,T8,69,66,64,71,270,-10,"$119,000.00"
19,John Peterson,T20,68,69,65,69,271,-9,"$54,817.78"
20,Brendon Todd,T20,70,66,66,69,271,-9,"$54,817.77"
21,Jason Kokrak,T20,66,67,70,68,271,-9,"$54,817.78"
22,Heath Slocum,T20,69,69,65,68,271,-9,"$54,817.78"
23,Ryuji Imada,T20,67,69,68,67,271,-9,"$54,817.78"
24,Robert Allenby,T20,68,68,65,70,271,-9,"$54,817.77"
25,Stewart Cink,T20,69,69,66,67,271,-9,"$54,817.78"
26,K.J. Choi,T20,67,69,69,66,271,-9,"$54,817.78"
27,Chris Stroud,T20,68,65,70,68,271,-9,"$54,817.78"
28,Boo Weekley,T29,67,67,70,68,272,-8,"$38,080.00"
29,Spencer Levin,T29,69,69,66,68,272,-8,"$38,080.00"
30,Jason Dufner,T29,67,68,67,70,272,-8,"$38,080.00"
31,Brian Harman,T32,69,66,69,69,273,-7,"$30,986.67"
32,Sangmoon Bae,T32,63,70,70,70,273,-7,"$30,986.67"
