,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,John Senden,1,72,71,64,70,277,-7,"$1,026,000.00"
1,Kevin Na,2,70,68,68,72,278,-6,"$615,600.00"
2,Scott Langley,3,71,69,69,70,279,-5,"$387,600.00"
3,Will MacKenzie,T4,73,70,68,69,280,-4,"$235,600.00"
4,Luke Donald,T4,71,72,67,70,280,-4,"$235,600.00"
5,Robert Garrigus,T4,69,66,70,75,280,-4,"$235,600.00"
6,George McNeill,7,73,71,67,70,281,-3,"$190,950.00"
7,David Hearn,T8,71,70,70,71,282,-2,"$148,200.00"
8,Justin Rose,T8,71,68,69,74,282,-2,"$148,200.00"
9,Gary Woodland,T8,72,71,70,69,282,-2,"$148,200.00"
10,Matteo Manassero,T8,69,70,71,72,282,-2,"$148,200.00"
11,Graham DeLaet,T8,75,68,71,68,282,-2,"$148,200.00"
12,Matt Every,T8,68,71,72,71,282,-2,"$148,200.00"
13,Sangmoon Bae,T14,72,73,71,67,283,-1,"$94,050.00"
14,Jason Kokrak,T14,74,68,68,73,283,-1,"$94,050.00"
15,Charles Howell III,T14,71,70,74,68,283,-1,"$94,050.00"
16,Chesson Hadley,T14,75,70,67,71,283,-1,"$94,050.00"
17,Bill Haas,T14,69,73,72,69,283,-1,"$94,050.00"
18,Jason Dufner,T14,72,73,68,70,283,-1,"$94,050.00"
19,Carl Pettersson,T20,71,70,71,72,284,E,"$64,068.00"
20,Freddie Jacobson,T20,70,71,70,73,284,E,"$64,068.00"
21,Jim Furyk,T20,71,69,71,73,284,E,"$64,068.00"
22,Jordan Spieth,T20,71,70,71,72,284,E,"$64,068.00"
23,"Ted Potter, Jr.",T20,73,71,67,73,284,E,"$64,068.00"
24,Brian Harman,T25,71,70,73,71,285,+1,"$42,587.14"
25,Ryo Ishikawa,T25,73,72,72,68,285,+1,"$42,587.15"
26,Cameron Tringale,T25,74,71,70,70,285,+1,"$42,587.15"
27,Russell Knox,T25,70,73,70,72,285,+1,"$42,587.14"
28,Charley Hoffman,T25,70,72,67,76,285,+1,"$42,587.14"
29,Morgan Hoffmann,T25,74,69,71,71,285,+1,"$42,587.14"
30,Josh Teater,T25,73,70,70,72,285,+1,"$42,587.14"
31,Justin Hicks,T32,72,72,70,72,286,+2,"$31,540.00"
32,Jonathan Byrd,T32,70,73,70,73,286,+2,"$31,540.00"
33,Ben Crane,T32,70,72,71,73,286,+2,"$31,540.00"
34,Erik Compton,T32,72,73,72,69,286,+2,"$31,540.00"
35,Robert Allenby,T32,73,71,70,72,286,+2,"$31,540.00"
36,John Merrick,T32,70,70,72,74,286,+2,"$31,540.00"
37,Harris English,T38,72,69,74,72,287,+3,"$23,940.00"
38,James Hahn,T38,69,74,70,74,287,+3,"$23,940.00"
39,Chad Collins,T38,73,71,69,74,287,+3,"$23,940.00"
40,Y.E. Yang,T38,73,72,70,72,287,+3,"$23,940.00"
41,Matt Kuchar,T38,73,71,69,74,287,+3,"$23,940.00"
42,Kevin Streelman,T38,73,69,71,74,287,+3,"$23,940.00"
43,K.J. Choi,T44,72,72,69,75,288,+4,"$15,891.60"
44,Pat Perez,T44,68,71,77,72,288,+4,"$15,891.60"
45,Ben Curtis,T44,70,74,71,73,288,+4,"$15,891.60"
46,Woody Austin,T44,71,71,74,72,288,+4,"$15,891.60"
47,Retief Goosen,T44,72,73,64,79,288,+4,"$15,891.60"
48,Peter Hanson,T44,75,70,69,74,288,+4,"$15,891.60"
49,Greg Chalmers,T44,68,72,72,76,288,+4,"$15,891.60"
50,Brendon Todd,T44,70,75,70,73,288,+4,"$15,891.60"
51,Tommy Gainey,T44,69,72,72,75,288,+4,"$15,891.60"
52,Nicholas Thompson,T44,76,69,69,74,288,+4,"$15,891.60"
53,Michael Putnam,T54,69,72,74,74,289,+5,"$13,053.00"
54,Justin Leonard,T54,71,71,71,76,289,+5,"$13,053.00"
55,James Driscoll,T54,73,70,68,78,289,+5,"$13,053.00"
56,J.B. Holmes,T54,71,74,71,73,289,+5,"$13,053.00"
57,Stuart Appleby,T58,71,73,74,72,290,+6,"$12,426.00"
58,Darren Clarke,T58,71,74,73,72,290,+6,"$12,426.00"
59,Jerry Kelly,T58,76,68,71,75,290,+6,"$12,426.00"
60,D.H. Lee,T58,74,70,70,76,290,+6,"$12,426.00"
61,Brandt Snedeker,T58,72,73,71,74,290,+6,"$12,426.00"
62,David Lingmerth,T58,73,72,71,74,290,+6,"$12,426.00"
63,Michael Thompson,T58,72,69,72,77,290,+6,"$12,426.00"
64,Stephen Ames,T65,72,70,72,77,291,+7,"$11,742.00"
65,Padraig Harrington,T65,75,70,72,74,291,+7,"$11,742.00"
66,Marc Leishman,T65,75,69,74,73,291,+7,"$11,742.00"
67,Nicolas Colsaerts,T65,69,73,76,73,291,+7,"$11,742.00"
68,Jason Bohn,T65,71,74,73,73,291,+7,"$11,742.00"
69,Daniel Summerhays,T70,77,68,71,76,292,+8,"$11,229.00"
70,Davis Love III,T70,74,70,71,77,292,+8,"$11,229.00"
71,Rory Sabbatini,T70,70,72,72,78,292,+8,"$11,229.00"
72,Paul Goydos,T70,75,69,73,75,292,+8,"$11,229.00"
73,Sean O'Hair,74,73,71,74,78,296,+12,"$10,944.00"
74,John Mallinger,75,71,73,74,80,298,+14,"$10,830.00"
75,Ricky Barnes,T77,70,72,77,,219,+6,"$10,431.00"
76,Eric Axley,T77,72,70,77,,219,+6,"$10,431.00"
77,Tim Herron,T77,73,72,74,,219,+6,"$10,431.00"
78,Brian Gay,T77,75,69,75,,219,+6,"$10,431.00"
79,Luke Guthrie,81,70,70,80,,220,+7,"$10,146.00"
80,Ken Duke,T82,71,71,79,,221,+8,"$9,975.00"
81,Tim Clark,T82,73,72,76,,221,+8,"$9,975.00"
82,Boo Weekley,84,74,71,77,,222,+9,"$9,804.00"
83,Andres Romero,CUT,75,71,,,146,+4,$0.00
84,Bo Van Pelt,CUT,72,74,,,146,+4,$0.00
85,Briny Baird,CUT,71,75,,,146,+4,$0.00
86,Ernie Els,CUT,72,74,,,146,+4,$0.00
87,Mike Weir,CUT,72,74,,,146,+4,$0.00
88,Wes Roach,CUT,73,73,,,146,+4,$0.00
89,William McGirt,CUT,74,72,,,146,+4,$0.00
90,Camilo Villegas,CUT,75,71,,,146,+4,$0.00
91,Jonas Blixt,CUT,75,71,,,146,+4,$0.00
92,Kevin Kisner,CUT,70,76,,,146,+4,$0.00
93,Scott Brown,CUT,77,69,,,146,+4,$0.00
94,Webb Simpson,CUT,72,75,,,147,+5,$0.00
95,Martin Flores,CUT,75,72,,,147,+5,$0.00
96,Danny Lee,CUT,68,79,,,147,+5,$0.00
97,Branden Grace,CUT,74,73,,,147,+5,$0.00
98,John Huh,CUT,73,74,,,147,+5,$0.00
99,Brooks Koepka,CUT,71,76,,,147,+5,$0.00
100,Max Homa,CUT,72,75,,,147,+5,$0.00
101,Jason Gore,CUT,74,73,,,147,+5,$0.00
102,Rod Perry,CUT,76,71,,,147,+5,$0.00
103,Stewart Cink,CUT,74,73,,,147,+5,$0.00
104,Geoff Ogilvy,CUT,74,73,,,147,+5,$0.00
105,Brendon de Jonge,CUT,73,74,,,147,+5,$0.00
106,Bryce Molder,CUT,73,74,,,147,+5,$0.00
107,J.J. Henry,CUT,73,74,,,147,+5,$0.00
108,Lucas Glover,CUT,75,72,,,147,+5,$0.00
109,D.A. Points,CUT,77,70,,,147,+5,$0.00
110,Steven Bowditch,CUT,73,74,,,147,+5,$0.00
111,Louis Oosthuizen,CUT,73,74,,,147,+5,$0.00
112,Paul Casey,CUT,72,75,,,147,+5,$0.00
113,Mark Wilson,CUT,76,72,,,148,+6,$0.00
114,John Rollins,CUT,73,75,,,148,+6,$0.00
115,Vijay Singh,CUT,73,75,,,148,+6,$0.00
116,Brian Stuard,CUT,74,74,,,148,+6,$0.00
117,Scott Stallings,CUT,72,77,,,149,+7,$0.00
118,Roberto Castro,CUT,75,74,,,149,+7,$0.00
119,Kevin Chappell,CUT,74,75,,,149,+7,$0.00
120,Richard Lee,CUT,72,77,,,149,+7,$0.00
121,Peter Uihlein,CUT,70,79,,,149,+7,$0.00
122,Spencer Levin,CUT,72,77,,,149,+7,$0.00
123,Billy Hurley III,CUT,76,73,,,149,+7,$0.00
124,Aaron Baddeley,CUT,73,76,,,149,+7,$0.00
125,Ángel Cabrera,CUT,72,77,,,149,+7,$0.00
126,David Toms,CUT,75,75,,,150,+8,$0.00
127,Mark Blakefield,CUT,72,78,,,150,+8,$0.00
128,Derek Ernst,CUT,77,73,,,150,+8,$0.00
129,Ben Martin,CUT,78,72,,,150,+8,$0.00
130,Thorbjørn Olesen,CUT,77,74,,,151,+9,$0.00
131,Jeff Overton,CUT,77,74,,,151,+9,$0.00
132,Kyle Stanley,CUT,73,78,,,151,+9,$0.00
133,Michael Hebert,CUT,76,75,,,151,+9,$0.00
134,David Lynn,CUT,72,79,,,151,+9,$0.00
135,Johnson Wagner,CUT,75,76,,,151,+9,$0.00
136,Brian Davis,CUT,73,79,,,152,+10,$0.00
137,Charlie Wi,CUT,74,79,,,153,+11,$0.00
138,Charlie Beljan,CUT,74,79,,,153,+11,$0.00
139,John Peterson,CUT,74,79,,,153,+11,$0.00
140,Jim Renner,CUT,76,80,,,156,+14,$0.00
141,John Daly,CUT,74,90,,,164,+22,$0.00
142,Blake Adams,W/D,78,,,,78,+7,$0.00
143,Mark Calcavecchia,W/D,73,71,73,,217,+4,$0.00
