,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jason Day,1,0,0,0,0,0,-432,
1,Victor Dubuisson,2,0,0,0,0,0,-432,
2,Rickie Fowler,3,0,0,0,0,0,-432,
3,Ernie Els,4,0,0,0,0,0,-432,
4,Jim Furyk,T5,0,0,0,0,0,-288,
5,Graeme McDowell,T5,0,0,0,0,0,-288,
6,Louis Oosthuizen,T5,0,0,0,0,0,-288,
7,Jordan Spieth,T5,0,0,0,0,0,-288,
8,Harris English,T9,0,0,0,,0,-216,
9,George Coetzee,T9,0,0,0,,0,-216,
10,Webb Simpson,T9,0,0,0,,0,-216,
11,Jason Dufner,T9,0,0,0,,0,-216,
12,Bubba Watson,T9,0,0,0,,0,-216,
13,Matt Kuchar,T9,0,0,0,,0,-216,
14,Hunter Mahan,T9,0,0,0,,0,-216,
15,Sergio Garcia,T9,0,0,0,,0,-216,
16,Henrik Stenson,T17,0,0,,,0,-144,
17,Justin Rose,T17,0,0,,,0,-144,
18,Peter Hanson,T17,0,0,,,0,-144,
19,Bill Haas,T17,0,0,,,0,-144,
20,Charl Schwartzel,T17,0,0,,,0,-144,
21,Ryan Moore,T17,0,0,,,0,-144,
22,Jimmy Walker,T17,0,0,,,0,-144,
23,Brandt Snedeker,T17,0,0,,,0,-144,
24,Jonas Blixt,T17,0,0,,,0,-144,
25,Rory McIlroy,T17,0,0,,,0,-144,
26,Billy Horschel,T17,0,0,,,0,-144,
27,Patrick Reed,T17,0,0,,,0,-144,
28,Thomas Bjørn,T17,0,0,,,0,-144,
29,Hideki Matsuyama,T17,0,0,,,0,-144,
30,Richard Sterne,T17,0,0,,,0,-144,
31,Matteo Manassero,T17,0,0,,,0,-144,
32,Thorbjørn Olesen,T33,0,,,,0,-72,
33,Thongchai Jaidee,T33,0,,,,0,-72,
34,Steve Stricker,T33,0,,,,0,-72,
35,Keegan Bradley,T33,0,,,,0,-72,
36,Bernd Wiesberger,T33,0,,,,0,-72,
37,Pablo Larrazabal,T33,0,,,,0,-72,
38,Branden Grace,T33,0,,,,0,-72,
39,Scott Stallings,T33,0,,,,0,-72,
40,Dustin Johnson,T33,0,,,,0,-72,
41,Chris Kirk,T33,0,,,,0,-72,
42,Kiradech Aphibarnrat,T33,0,,,,0,-72,
43,Gary Woodland,T33,0,,,,0,-72,
44,Joost Luiten,T33,0,,,,0,-72,
45,Kevin Stadler,T33,0,,,,0,-72,
46,Marc Leishman,T33,0,,,,0,-72,
47,Nick Watney,T33,0,,,,0,-72,
48,Kevin Streelman,T33,0,,,,0,-72,
49,Martin Kaymer,T33,0,,,,0,-72,
50,Graham DeLaet,T33,0,,,,0,-72,
51,Scott Piercy,T33,0,,,,0,-72,
52,Boo Weekley,T33,0,,,,0,-72,
53,Mikko Ilonen,T33,0,,,,0,-72,
54,Gonzalo Fernandez-Castaño,T33,0,,,,0,-72,
55,Francesco Molinari,T33,0,,,,0,-72,
56,Jamie Donaldson,T33,0,,,,0,-72,
57,Luke Donald,T33,0,,,,0,-72,
58,Zach Johnson,T33,0,,,,0,-72,
59,Ian Poulter,T33,0,,,,0,-72,
60,Miguel Angel Jiménez,T33,0,,,,0,-72,
61,Stephen Gallacher,T33,0,,,,0,-72,
62,Lee Westwood,T33,0,,,,0,-72,
63,David Lynn,T33,0,,,,0,-72,
