,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,S.Y. Noh,1,65,68,65,71,269,-19,"$1,224,000.00"
1,Andrew Svoboda,T2,64,68,70,69,271,-17,"$598,400.00"
2,Robert Streb,T2,67,66,68,70,271,-17,"$598,400.00"
3,Jeff Overton,4,67,68,67,70,272,-16,"$326,400.00"
4,Robert Garrigus,T5,73,69,68,64,274,-14,"$248,200.00"
5,Erik Compton,T5,66,68,72,68,274,-14,"$248,200.00"
6,Charley Hoffman,T5,68,67,68,71,274,-14,"$248,200.00"
7,Justin Rose,T8,71,67,69,68,275,-13,"$197,200.00"
8,Keegan Bradley,T8,69,66,65,75,275,-13,"$197,200.00"
9,Tommy Gainey,T8,71,66,67,71,275,-13,"$197,200.00"
10,Peter Hanson,T11,65,69,71,71,276,-12,"$149,600.00"
11,Paul Casey,T11,71,68,64,73,276,-12,"$149,600.00"
12,J.B. Holmes,T11,71,65,69,71,276,-12,"$149,600.00"
13,Bud Cauley,T11,71,68,66,71,276,-12,"$149,600.00"
14,David Toms,T15,73,68,67,69,277,-11,"$119,000.00"
15,Ben Martin,T15,62,67,73,75,277,-11,"$119,000.00"
16,Mark Anderson,T17,72,65,70,71,278,-10,"$98,600.00"
17,Cameron Tringale,T17,73,69,66,70,278,-10,"$98,600.00"
18,Stuart Appleby,T17,67,72,70,69,278,-10,"$98,600.00"
19,Rory Sabbatini,T17,69,72,69,68,278,-10,"$98,600.00"
20,Daniel Summerhays,T21,72,66,68,73,279,-9,"$73,440.00"
21,Retief Goosen,T21,72,65,68,74,279,-9,"$73,440.00"
22,Bronson La'Cassie,T21,70,69,69,71,279,-9,"$73,440.00"
23,Brooks Koepka,T21,71,68,67,73,279,-9,"$73,440.00"
24,Danny Lee,T25,71,69,65,75,280,-8,"$54,230.00"
25,David Duval,T25,68,69,70,73,280,-8,"$54,230.00"
26,Robert Allenby,T25,71,68,68,73,280,-8,"$54,230.00"
27,Bo Van Pelt,T25,74,63,73,70,280,-8,"$54,230.00"
28,Boo Weekley,T29,71,70,71,69,281,-7,"$44,200.00"
29,Graham DeLaet,T29,69,68,71,73,281,-7,"$44,200.00"
30,John Senden,T29,70,70,69,72,281,-7,"$44,200.00"
31,Freddie Jacobson,T29,72,69,66,74,281,-7,"$44,200.00"
32,Alex Prugh,T29,70,68,70,73,281,-7,"$44,200.00"
33,Kevin Kisner,T34,69,68,69,76,282,-6,"$30,785.45"
34,Kevin Chappell,T34,72,67,69,74,282,-6,"$30,785.45"
35,Morgan Hoffmann,T34,70,68,70,74,282,-6,"$30,785.45"
36,Derek Ernst,T34,71,71,71,69,282,-6,"$30,785.46"
37,Charlie Wi,T34,70,71,69,72,282,-6,"$30,785.45"
38,Greg Chalmers,T34,71,71,71,69,282,-6,"$30,785.46"
39,Mark Calcavecchia,T34,71,70,69,72,282,-6,"$30,785.45"
40,Will Wilcox,T34,68,68,71,75,282,-6,"$30,785.45"
41,Sangmoon Bae,T34,68,72,71,71,282,-6,"$30,785.46"
42,David Hearn,T34,71,71,69,71,282,-6,"$30,785.46"
43,Charles Howell III,T34,68,73,70,71,282,-6,"$30,785.46"
44,Tag Ridings,T45,71,70,72,70,283,-5,"$21,080.00"
45,Andres Romero,T45,70,71,70,72,283,-5,"$21,080.00"
46,Chad Collins,T45,66,71,76,70,283,-5,"$21,080.00"
47,Kevin Tway,T48,70,72,69,73,284,-4,"$17,544.00"
48,Troy Merritt,T48,71,69,70,74,284,-4,"$17,544.00"
49,Max Homa,T48,71,71,71,71,284,-4,"$17,544.00"
50,Y.E. Yang,T48,72,70,69,73,284,-4,"$17,544.00"
51,D.A. Points,T52,73,68,69,75,285,-3,"$15,476.80"
52,Ricky Barnes,T52,70,72,69,74,285,-3,"$15,476.80"
53,Sean O'Hair,T52,71,69,71,74,285,-3,"$15,476.80"
54,Tim Wilkinson,T52,70,70,65,80,285,-3,"$15,476.80"
55,Martin Flores,T52,72,68,69,76,285,-3,"$15,476.80"
56,Briny Baird,T52,71,69,70,75,285,-3,"$15,476.80"
57,Andrew Loupe,T52,71,70,71,73,285,-3,"$15,476.80"
58,Shawn Stefani,T52,69,72,72,72,285,-3,"$15,476.80"
59,Kyle Stanley,T52,71,67,71,76,285,-3,"$15,476.80"
60,Brendan Steele,T52,73,67,70,75,285,-3,"$15,476.80"
61,Vijay Singh,T62,70,71,68,77,286,-2,"$14,416.00"
62,Wes Roach,T62,74,67,71,74,286,-2,"$14,416.00"
63,Fabián Gómez,T62,72,69,66,79,286,-2,"$14,416.00"
64,John Merrick,T62,69,72,72,73,286,-2,"$14,416.00"
65,Lucas Glover,T62,71,71,69,75,286,-2,"$14,416.00"
66,Joe Durant,T67,69,71,67,80,287,-1,"$13,872.00"
67,Padraig Harrington,T67,70,72,71,74,287,-1,"$13,872.00"
68,Michael Thompson,T67,66,71,75,75,287,-1,"$13,872.00"
69,Jim Renner,T70,75,67,71,75,288,E,"$13,396.00"
70,Troy Matteson,T70,72,68,69,79,288,E,"$13,396.00"
71,J.J. Henry,T70,68,69,75,76,288,E,"$13,396.00"
72,Doug LaBelle II,T70,68,73,72,75,288,E,"$13,396.00"
73,John Rollins,74,74,66,73,76,289,+1,"$13,056.00"
74,Josh Teater,T75,73,69,72,,214,-2,"$12,648.00"
75,D.H. Lee,T75,68,71,75,,214,-2,"$12,648.00"
76,Scott McCarron,T75,70,71,73,,214,-2,"$12,648.00"
77,Ken Duke,T75,73,68,73,,214,-2,"$12,648.00"
78,Nick Watney,T75,69,73,72,,214,-2,"$12,648.00"
79,Luke Guthrie,T80,70,71,74,,215,-1,"$12,104.00"
80,Billy Hurley III,T80,71,71,73,,215,-1,"$12,104.00"
81,Scott Gardiner,T80,74,68,73,,215,-1,"$12,104.00"
82,Brice Garnett,83,69,73,75,,217,+1,"$11,832.00"
83,Geoff Ogilvy,84,72,70,78,,220,+4,"$11,696.00"
84,Heath Slocum,CUT,74,70,,,144,E,$0.00
85,Trevor Immelman,CUT,74,72,,,146,+2,$0.00
86,Ryan Palmer,CUT,71,72,,,143,-1,$0.00
87,James Driscoll,CUT,76,69,,,145,+1,$0.00
88,Ben Curtis,CUT,70,74,,,144,E,$0.00
89,Will MacKenzie,CUT,71,72,,,143,-1,$0.00
90,Jonathan Byrd,CUT,74,71,,,145,+1,$0.00
91,Edward Loar,CUT,71,72,,,143,-1,$0.00
92,Carl Pettersson,CUT,69,75,,,144,E,$0.00
93,Ben Crane,CUT,76,70,,,146,+2,$0.00
94,David Bradshaw,CUT,75,76,,,151,+7,$0.00
95,Thomas Aiken,CUT,77,69,,,146,+2,$0.00
96,George McNeill,CUT,75,74,,,149,+5,$0.00
97,Steve Marino,CUT,75,75,,,150,+6,$0.00
98,Nicholas Thompson,CUT,72,71,,,143,-1,$0.00
99,Martin Laird,CUT,70,77,,,147,+3,$0.00
100,Chris Stroud,CUT,69,77,,,146,+2,$0.00
101,Spencer Levin,CUT,69,78,,,147,+3,$0.00
102,"Ted Potter, Jr.",CUT,72,71,,,143,-1,$0.00
103,Camilo Villegas,CUT,72,74,,,146,+2,$0.00
104,John Mallinger,CUT,72,72,,,144,E,$0.00
105,Kevin Stadler,CUT,74,74,,,148,+4,$0.00
106,Brad Fritsch,CUT,74,73,,,147,+3,$0.00
107,Jim Herman,CUT,74,70,,,144,E,$0.00
108,Neal Ajubita,CUT,79,69,,,148,+4,$0.00
109,Scott Verplank,CUT,73,76,,,149,+5,$0.00
110,Stephen Ames,CUT,74,70,,,144,E,$0.00
111,Ernie Els,CUT,72,71,,,143,-1,$0.00
112,Brady Watt,CUT,74,75,,,149,+5,$0.00
113,Ken Looper,CUT,71,73,,,144,E,$0.00
114,Peter Malnati,CUT,74,73,,,147,+3,$0.00
115,Chris DiMarco,CUT,69,77,,,146,+2,$0.00
116,Alex Aragon,CUT,72,76,,,148,+4,$0.00
117,Matt Bettencourt,CUT,76,70,,,146,+2,$0.00
118,Rich Beem,CUT,72,72,,,144,E,$0.00
119,Miguel Angel Carballo,CUT,75,70,,,145,+1,$0.00
120,Tyrone Van Aswegen,CUT,73,72,,,145,+1,$0.00
121,Jamie Lovemark,CUT,75,69,,,144,E,$0.00
122,Bobby Gates,CUT,76,75,,,151,+7,$0.00
123,Daniel Chopra,CUT,76,71,,,147,+3,$0.00
124,Greg Owen,CUT,76,72,,,148,+4,$0.00
125,Brian Davis,CUT,72,72,,,144,E,$0.00
126,Harrison Frazar,CUT,74,70,,,144,E,$0.00
127,Mark Wilson,CUT,76,69,,,145,+1,$0.00
128,Woody Austin,CUT,75,69,,,144,E,$0.00
129,Jerry Kelly,CUT,71,73,,,144,E,$0.00
130,Dicky Pride,CUT,71,75,,,146,+2,$0.00
131,Mike Weir,CUT,74,71,,,145,+1,$0.00
132,Tim Petrovic,CUT,72,76,,,148,+4,$0.00
133,Tim Herron,CUT,79,76,,,155,+11,$0.00
134,Chad Campbell,CUT,70,74,,,144,E,$0.00
135,Cameron Beckman,CUT,69,77,,,146,+2,$0.00
136,John Peterson,CUT,76,71,,,147,+3,$0.00
137,Kevin Foley,CUT,69,76,,,145,+1,$0.00
