,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Chris Kirk,1,68,69,65,66,268,-12,"$1,170,000.00"
1,Jordan Spieth,T2,64,73,67,65,269,-11,"$485,333.33"
2,Jason Bohn,T2,69,69,68,63,269,-11,"$485,333.34"
3,Brandt Snedeker,T2,67,69,66,67,269,-11,"$485,333.33"
4,Kevin Kisner,T5,67,69,67,67,270,-10,"$220,350.00"
5,Pat Perez,T5,69,69,68,64,270,-10,"$220,350.00"
6,Ian Poulter,T5,65,67,68,70,270,-10,"$220,350.00"
7,George McNeill,T5,65,69,69,67,270,-10,"$220,350.00"
8,Adam Hadwin,T5,69,66,69,66,270,-10,"$220,350.00"
9,Ben Martin,T10,66,71,68,66,271,-9,"$134,875.00"
10,Jerry Kelly,T10,67,70,67,67,271,-9,"$134,875.00"
11,Rory Sabbatini,T10,67,70,66,68,271,-9,"$134,875.00"
12,Charley Hoffman,T10,66,69,66,70,271,-9,"$134,875.00"
13,Kevin Na,T10,64,66,69,72,271,-9,"$134,875.00"
14,Colt Knost,T10,66,73,66,66,271,-9,"$134,875.00"
15,Brian Harman,T10,68,66,69,68,271,-9,"$134,875.00"
16,Danny Lee,T10,66,69,70,66,271,-9,"$134,875.00"
17,John Huh,18,70,68,70,64,272,-8,"$97,500.00"
18,Robert Streb,T19,71,68,68,66,273,-7,"$78,780.00"
19,Shawn Stefani,T19,67,69,69,68,273,-7,"$78,780.00"
20,Kevin Chappell,T19,71,68,68,66,273,-7,"$78,780.00"
21,Tony Finau,T19,67,72,66,68,273,-7,"$78,780.00"
22,Zach Johnson,T19,70,69,67,67,273,-7,"$78,780.00"
23,Adam Scott,T24,72,66,66,70,274,-6,"$57,200.00"
24,Chesson Hadley,T24,70,71,67,66,274,-6,"$57,200.00"
25,Russell Knox,T24,71,67,69,67,274,-6,"$57,200.00"
26,Luke Guthrie,T27,66,74,68,67,275,-5,"$45,175.00"
27,Nick Taylor,T27,68,68,68,71,275,-5,"$45,175.00"
28,Marc Leishman,T27,66,69,70,70,275,-5,"$45,175.00"
29,Fabián Gómez,T27,70,69,67,69,275,-5,"$45,175.00"
30,Steve Stricker,T27,67,70,71,67,275,-5,"$45,175.00"
