,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jason Day,1,68,68,63,62,261,-19,"$1,485,000.00"
1,Henrik Stenson,2,68,66,67,66,267,-13,"$891,000.00"
2,Bubba Watson,3,65,68,67,69,269,-11,"$561,000.00"
3,Zach Johnson,T4,69,65,67,69,270,-10,"$363,000.00"
4,Zac Blair,T4,69,68,67,66,270,-10,"$363,000.00"
5,Ryan Palmer,T6,69,67,65,70,271,-9,"$276,375.00"
6,Sangmoon Bae,T6,69,67,63,72,271,-9,"$276,375.00"
7,Daniel Summerhays,T6,67,70,68,66,271,-9,"$276,375.00"
8,Dustin Johnson,T9,70,70,67,65,272,-8,"$231,000.00"
9,Jason Bohn,T9,71,64,72,65,272,-8,"$231,000.00"
10,Bryce Molder,T11,66,71,67,69,273,-7,"$198,000.00"
11,Jim Furyk,T11,68,69,69,67,273,-7,"$198,000.00"
12,Steven Bowditch,T13,71,67,72,64,274,-6,"$159,500.00"
13,Jim Herman,T13,69,69,69,67,274,-6,"$159,500.00"
14,Hideki Matsuyama,T13,69,69,67,69,274,-6,"$159,500.00"
15,Tony Finau,T16,65,69,71,70,275,-5,"$127,875.00"
16,Spencer Levin,T16,65,71,67,72,275,-5,"$127,875.00"
17,Justin Rose,T16,77,65,63,70,275,-5,"$127,875.00"
18,Justin Thomas,T16,71,69,68,67,275,-5,"$127,875.00"
19,Kevin Na,T20,69,69,67,71,276,-4,"$96,112.50"
20,Pat Perez,T20,68,69,70,69,276,-4,"$96,112.50"
21,Kevin Kisner,T20,67,71,65,73,276,-4,"$96,112.50"
22,Russell Knox,T20,66,71,67,72,276,-4,"$96,112.50"
23,Kevin Chappell,T24,72,68,70,67,277,-3,"$66,825.00"
24,Brendon Todd,T24,70,70,66,71,277,-3,"$66,825.00"
25,Luke Donald,T24,73,68,65,71,277,-3,"$66,825.00"
26,Mark Wilson,T24,72,68,69,68,277,-3,"$66,825.00"
27,Rory Sabbatini,T24,71,70,67,69,277,-3,"$66,825.00"
28,Carlos Ortiz,T24,73,68,62,74,277,-3,"$66,825.00"
29,Cameron Tringale,T30,66,71,69,72,278,-2,"$46,933.33"
30,Harris English,T30,74,68,66,70,278,-2,"$46,933.33"
31,Jason Gore,T30,71,69,70,68,278,-2,"$46,933.34"
32,George McNeill,T30,71,70,68,69,278,-2,"$46,933.33"
33,Jason Dufner,T30,66,68,69,75,278,-2,"$46,933.33"
34,Webb Simpson,T30,71,68,73,66,278,-2,"$46,933.34"
35,Danny Lee,T30,66,71,71,70,278,-2,"$46,933.33"
36,Brian Harman,T30,71,68,71,68,278,-2,"$46,933.34"
37,Camilo Villegas,T30,65,70,70,73,278,-2,"$46,933.33"
38,Paul Casey,T39,66,76,69,68,279,-1,"$33,000.00"
39,Matt Kuchar,T39,71,70,66,72,279,-1,"$33,000.00"
40,Stewart Cink,T39,67,73,67,72,279,-1,"$33,000.00"
41,Morgan Hoffmann,T39,70,68,70,71,279,-1,"$33,000.00"
42,Shawn Stefani,T39,71,67,70,71,279,-1,"$33,000.00"
43,Robert Streb,T39,68,68,70,73,279,-1,"$33,000.00"
44,John Senden,T45,69,70,74,67,280,E,"$24,156.00"
45,J.J. Henry,T45,70,72,69,69,280,E,"$24,156.00"
46,Sean O'Hair,T45,68,68,70,74,280,E,"$24,156.00"
47,David Hearn,T45,70,69,73,68,280,E,"$24,156.00"
48,Johnson Wagner,T45,67,71,73,69,280,E,"$24,156.00"
49,Phil Mickelson,T50,68,71,69,73,281,+1,"$20,295.00"
50,Hudson Swafford,T50,68,68,71,74,281,+1,"$20,295.00"
51,Scott Pinckney,T50,70,71,69,71,281,+1,"$20,295.00"
52,Nick Taylor,T53,67,73,69,73,282,+2,"$19,008.00"
53,Bill Haas,T53,71,70,67,74,282,+2,"$19,008.00"
54,Kevin Streelman,T53,70,71,70,71,282,+2,"$19,008.00"
55,Matt Jones,T53,67,72,72,71,282,+2,"$19,008.00"
56,Troy Merritt,T53,71,71,69,71,282,+2,"$19,008.00"
57,James Hahn,T58,69,72,68,74,283,+3,"$18,232.50"
58,J.B. Holmes,T58,70,71,73,69,283,+3,"$18,232.50"
59,Lee Westwood,T58,68,73,73,69,283,+3,"$18,232.50"
60,Charles Howell III,T58,70,69,71,73,283,+3,"$18,232.50"
61,Charley Hoffman,T62,69,71,72,72,284,+4,"$17,572.50"
62,Ken Duke,T62,71,70,68,75,284,+4,"$17,572.50"
63,Scott Piercy,T62,73,69,68,74,284,+4,"$17,572.50"
64,Patrick Reed,T62,68,69,75,72,284,+4,"$17,572.50"
65,Vijay Singh,T66,70,70,72,73,285,+5,"$17,077.50"
66,Ryo Ishikawa,T66,68,74,68,75,285,+5,"$17,077.50"
67,Ben Martin,68,69,70,72,75,286,+6,"$16,830.00"
68,Jeff Overton,T69,69,72,71,75,287,+7,"$16,582.50"
69,Jimmy Walker,T69,72,69,71,75,287,+7,"$16,582.50"
70,Fabián Gómez,71,71,71,69,78,289,+9,"$16,335.00"
71,Russell Henley,72,73,69,76,72,290,+10,"$16,170.00"
72,Will Wilcox,CUT,67,76,,,143,+3,$0.00
73,John Peterson,CUT,70,73,,,143,+3,$0.00
74,Martin Laird,CUT,72,71,,,143,+3,$0.00
75,Brandt Snedeker,CUT,71,72,,,143,+3,$0.00
76,Gary Woodland,CUT,69,74,,,143,+3,$0.00
77,Rickie Fowler,CUT,68,75,,,143,+3,$0.00
78,Kyle Reifers,CUT,68,76,,,144,+4,$0.00
79,Chris Kirk,CUT,76,68,,,144,+4,$0.00
80,Jason Kokrak,CUT,74,70,,,144,+4,$0.00
81,Charl Schwartzel,CUT,72,72,,,144,+4,$0.00
82,Steve Wheatcroft,CUT,73,71,,,144,+4,$0.00
83,Adam Scott,CUT,71,73,,,144,+4,$0.00
84,Alex Cejka,CUT,68,76,,,144,+4,$0.00
85,Brendon de Jonge,CUT,71,73,,,144,+4,$0.00
86,Chad Campbell,CUT,71,73,,,144,+4,$0.00
87,Greg Owen,CUT,69,76,,,145,+5,$0.00
88,Nick Watney,CUT,74,71,,,145,+5,$0.00
89,Chris Stroud,CUT,72,73,,,145,+5,$0.00
90,Brendan Steele,CUT,75,70,,,145,+5,$0.00
91,Brooks Koepka,CUT,72,73,,,145,+5,$0.00
92,Adam Hadwin,CUT,73,72,,,145,+5,$0.00
93,Jon Curran,CUT,74,73,,,147,+7,$0.00
94,Chesson Hadley,CUT,72,75,,,147,+7,$0.00
95,Daniel Berger,CUT,73,74,,,147,+7,$0.00
96,Jordan Spieth,CUT,74,73,,,147,+7,$0.00
97,Colt Knost,CUT,70,77,,,147,+7,$0.00
98,Scott Brown,CUT,76,71,,,147,+7,$0.00
99,Keegan Bradley,CUT,71,76,,,147,+7,$0.00
100,Jonas Blixt,CUT,72,75,,,147,+7,$0.00
101,Chad Collins,CUT,74,73,,,147,+7,$0.00
102,Padraig Harrington,CUT,73,75,,,148,+8,$0.00
103,Jerry Kelly,CUT,75,73,,,148,+8,$0.00
104,Marc Leishman,CUT,74,74,,,148,+8,$0.00
105,Graham DeLaet,CUT,76,72,,,148,+8,$0.00
106,Boo Weekley,CUT,73,75,,,148,+8,$0.00
107,Andres Gonzales,CUT,75,74,,,149,+9,$0.00
108,Davis Love III,CUT,74,75,,,149,+9,$0.00
109,Hunter Mahan,CUT,78,71,,,149,+9,$0.00
110,John Huh,CUT,78,71,,,149,+9,$0.00
111,David Lingmerth,CUT,78,72,,,150,+10,$0.00
112,Carl Pettersson,CUT,76,74,,,150,+10,$0.00
113,Ryan Moore,CUT,75,75,,,150,+10,$0.00
114,Tim Clark,CUT,77,74,,,151,+11,$0.00
115,Ian Poulter,CUT,78,74,,,152,+12,$0.00
116,William McGirt,CUT,78,75,,,153,+13,$0.00
117,Billy Horschel,CUT,76,77,,,153,+13,$0.00
118,Matt Every,CUT,76,79,,,155,+15,$0.00
119,Erik Compton,W/D,-,,,,-,-,$0.00
