,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Padraig Harrington,1,67,66,71,70,274,-6,"$1,098,000.00"
1,Daniel Berger,2,68,71,71,64,274,-6,"$658,800.00"
2,Ian Poulter,T3,71,64,66,74,275,-5,"$317,200.00"
3,Paul Casey,T3,69,70,68,68,275,-5,"$317,200.00"
4,Russell Knox,T3,69,68,70,68,275,-5,"$317,200.00"
5,Jamie Donaldson,6,68,71,71,66,276,-4,"$219,600.00"
6,Luke Donald,T7,69,67,74,67,277,-3,"$183,762.50"
7,Jeff Overton,T7,71,68,69,69,277,-3,"$183,762.50"
8,Jim Herman,T7,65,72,71,69,277,-3,"$183,762.50"
9,Patrick Reed,T7,67,67,70,73,277,-3,"$183,762.50"
10,Brian Harman,T11,70,74,70,64,278,-2,"$129,320.00"
11,Brendan Steele,T11,66,69,71,72,278,-2,"$129,320.00"
12,George McNeill,T11,72,70,68,68,278,-2,"$129,320.00"
13,Rory Sabbatini,T11,68,75,69,66,278,-2,"$129,320.00"
14,Joost Luiten,T11,71,71,67,69,278,-2,"$129,320.00"
15,Camilo Villegas,16,73,71,67,68,279,-1,"$103,700.00"
16,Martin Flores,T17,67,71,74,68,280,E,"$85,400.00"
17,Jason Dufner,T17,71,69,70,70,280,E,"$85,400.00"
18,Daniel Summerhays,T17,71,68,70,71,280,E,"$85,400.00"
19,Phil Mickelson,T17,71,67,69,73,280,E,"$85,400.00"
20,John Huh,T17,70,73,68,69,280,E,"$85,400.00"
21,Zac Blair,T22,71,71,69,70,281,+1,"$63,440.00"
22,Steve Wheatcroft,T22,74,70,69,68,281,+1,"$63,440.00"
23,William McGirt,T22,71,71,69,70,281,+1,"$63,440.00"
24,Ryo Ishikawa,T25,74,65,72,71,282,+2,"$46,563.33"
25,Brendon de Jonge,T25,69,71,71,71,282,+2,"$46,563.33"
26,Sean O'Hair,T25,70,71,71,70,282,+2,"$46,563.34"
27,Lee Westwood,T25,71,73,72,66,282,+2,"$46,563.33"
