,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jimmy Walker,1,71,67,69,70,277,-11,"$1,116,000.00"
1,Jordan Spieth,2,71,69,71,70,281,-7,"$669,600.00"
2,Billy Horschel,3,72,70,71,71,284,-4,"$421,600.00"
3,Daniel Summerhays,T4,71,73,72,69,285,-3,"$272,800.00"
4,Chesson Hadley,T4,71,72,71,71,285,-3,"$272,800.00"
5,Ryan Palmer,T6,70,75,73,68,286,-2,"$215,450.00"
6,Dustin Johnson,T6,78,72,68,68,286,-2,"$215,450.00"
7,Chris Kirk,T8,71,71,73,72,287,-1,"$179,800.00"
8,Scott Pinckney,T8,73,72,69,73,287,-1,"$179,800.00"
9,Brendan Steele,T8,74,68,72,73,287,-1,"$179,800.00"
10,Kyle Reifers,T11,77,68,75,68,288,E,"$136,400.00"
11,Charley Hoffman,T11,67,72,79,70,288,E,"$136,400.00"
12,Jason Kokrak,T11,72,71,71,74,288,E,"$136,400.00"
13,John Peterson,T11,74,72,74,68,288,E,"$136,400.00"
14,Carlos Ortiz,T15,79,67,70,73,289,+1,"$99,200.00"
15,John Merrick,T15,72,72,72,73,289,+1,"$99,200.00"
16,Cameron Percy,T15,72,74,74,69,289,+1,"$99,200.00"
17,K.J. Choi,T15,75,70,73,71,289,+1,"$99,200.00"
18,Matt Kuchar,T15,72,74,74,69,289,+1,"$99,200.00"
19,Pat Perez,T20,78,71,69,72,290,+2,"$67,166.67"
20,George McNeill,T20,74,70,75,71,290,+2,"$67,166.67"
21,Bryce Molder,T20,73,74,71,72,290,+2,"$67,166.67"
22,Zach Johnson,T20,71,71,72,76,290,+2,"$67,166.66"
23,Aaron Baddeley,T20,68,71,76,75,290,+2,"$67,166.66"
24,Kevin Na,T20,72,68,75,75,290,+2,"$67,166.67"
25,Matt Jones,T26,77,71,68,75,291,+3,"$46,810.00"
26,Kevin Kisner,T26,76,70,76,69,291,+3,"$46,810.00"
27,Gary Woodland,T26,75,75,68,73,291,+3,"$46,810.00"
28,Shawn Stefani,T26,79,70,72,70,291,+3,"$46,810.00"
