,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Rory McIlroy,1,54,67,76,0,197,-300,
1,Gary Woodland,2,72,58,70,0,200,-297,
2,Danny Willett,3,58,60,69,0,187,-310,
3,Jim Furyk,4,57,63,72,0,192,-305,
4,John Senden,T5,74,59,70,0,203,-152,
5,Paul Casey,T5,87,70,71,0,228,-127,
6,Tommy Fleetwood,T5,65,79,72,0,216,-139,
7,Louis Oosthuizen,T5,47,64,72,0,183,-172,
8,Charl Schwartzel,T9,47,75,76,0,198,-86,
9,Marc Leishman,T9,61,57,71,0,189,-95,
10,J.B. Holmes,T9,70,75,66,0,211,-73,
11,Lee Westwood,T9,72,64,67,0,203,-81,
12,Hunter Mahan,T9,44,57,47,0,148,-136,
13,Hideki Matsuyama,T9,51,68,51,0,170,-114,
14,Branden Grace,T9,65,53,60,0,178,-106,
15,Rickie Fowler,T9,68,69,47,0,184,-100,
16,Ben Martin,T17,67,62,77,,206,-7,2-1-0
17,Jordan Spieth,T17,57,52,69,,178,-35,2-1-0
18,Harris English,T17,70,64,69,,203,-10,2-1-0
19,Patrick Reed,T17,63,60,68,,191,-22,2-1-0
20,Brooks Koepka,T17,69,74,68,,211,-2,2-1-0
21,Bill Haas,T17,60,64,61,,185,-28,2-1-0
22,Charley Hoffman,T17,56,67,62,,185,-28,2-1-0
23,Jamie Donaldson,T17,67,80,63,,210,-3,2-1-0
24,Justin Rose,T17,63,73,62,,198,-15,2-1-0
25,Zach Johnson,T17,62,69,61,,192,-21,2-1-0
26,Bubba Watson,T17,54,59,73,,186,-27,2-1-0
27,Dustin Johnson,T17,63,76,64,,203,-10,2-1-0
28,Chris Kirk,T17,88,64,68,,220,+7,2-1-0
29,George Coetzee,T17,60,73,83,,216,+3,2-1-0
30,Webb Simpson,T17,62,75,71,,208,-5,2-1-0
31,Billy Horschel,T17,49,61,78,,188,-25,2-1-0
32,Joost Luiten,T17,76,70,63,,209,-4,2-1-0
33,Bernd Wiesberger,T34,69,62,74,,205,-8,1-2-0
34,Marc Warren,T34,68,76,69,,213,E,1-2-0
35,Matt Jones,T34,66,68,77,,211,-2,1-2-0
36,Martin Kaymer,T34,64,75,73,,212,-1,1-2-0
37,Ian Poulter,T34,66,60,57,,183,-30,1-2-0
38,Matt Kuchar,T34,68,51,53,,172,-41,1-2-0
39,Sergio Garcia,T34,64,64,65,,193,-20,1-2-0
40,Henrik Stenson,T34,75,58,64,,197,-16,1-2-0
41,Miguel Angel Jiménez,T34,59,67,67,,193,-20,1-2-0
42,Kevin Na,T34,76,59,57,,192,-21,1-2-0
43,Thongchai Jaidee,T34,66,61,84,,211,-2,1-2-0
44,Mikko Ilonen,T34,61,64,44,,169,-44,1-2-0
45,Francesco Molinari,T34,53,66,71,,190,-23,1-2-0
46,Andy Sullivan,T34,63,58,69,,190,-23,1-2-0
47,Jason Dufner,T34,59,64,69,,192,-21,1-2-0
48,Shane Lowry,T34,68,69,71,,208,-5,1-2-0
49,Russell Henley,T34,70,78,68,,216,+3,1-2-0
50,Anirban Lahiri,T34,53,74,70,,197,-16,1-2-0
51,Keegan Bradley,T52,54,63,70,,187,-26,0-3-0
52,Alexander Levy,T52,56,61,65,,182,-31,0-3-0
53,Graeme McDowell,T52,71,66,52,,189,-24,0-3-0
54,Jimmy Walker,T52,70,76,60,,206,-7,0-3-0
55,Stephen Gallacher,T52,51,52,77,,180,-33,0-3-0
56,Ryan Palmer,T52,56,62,64,,182,-31,0-3-0
57,Adam Scott,T52,58,72,67,,197,-16,0-3-0
58,Brandt Snedeker,T52,57,69,70,,196,-17,0-3-0
59,Jason Day,T52,61,58,65,,184,-29,0-3-0
60,Ryan Moore,T52,61,61,69,,191,-22,0-3-0
61,Brendon Todd,T52,63,61,71,,195,-18,0-3-0
62,Matt Every,T52,74,56,52,,182,-31,0-3-0
63,Victor Dubuisson,T52,50,70,66,,186,-27,0-3-0
