,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Emiliano Grillo,1,68,71,65,69,273,-15,"$1,080,000.00"
1,Kevin Na,2,68,71,64,70,273,-15,"$648,000.00"
2,Jason Bohn,T3,72,68,64,70,274,-14,"$312,000.00"
3,Tyrone Van Aswegen,T3,69,68,69,68,274,-14,"$312,000.00"
4,Justin Thomas,T3,66,70,69,69,274,-14,"$312,000.00"
5,Charl Schwartzel,T6,71,68,69,68,276,-12,"$194,250.00"
6,Kyle Reifers,T6,68,71,65,72,276,-12,"$194,250.00"
7,Patrick Rodgers,T6,68,69,69,70,276,-12,"$194,250.00"
8,Justin Rose,T6,67,69,68,72,276,-12,"$194,250.00"
9,Chris Stroud,T10,69,69,71,68,277,-11,"$128,571.43"
10,Jhonattan Vegas,T10,64,71,69,73,277,-11,"$128,571.43"
11,Luke Guthrie,T10,71,70,66,70,277,-11,"$128,571.43"
12,Smylie Kaufman,T10,68,72,69,68,277,-11,"$128,571.43"
13,Ryan Moore,T10,72,70,67,68,277,-11,"$128,571.43"
14,Andrew Loupe,T10,68,72,63,74,277,-11,"$128,571.42"
15,Will Wilcox,T10,68,67,69,73,277,-11,"$128,571.43"
16,Hudson Swafford,T17,69,72,67,70,278,-10,"$73,333.33"
17,Hideki Matsuyama,T17,70,70,69,69,278,-10,"$73,333.33"
18,Brendan Steele,T17,63,70,69,76,278,-10,"$73,333.33"
19,Brandt Snedeker,T17,73,69,69,67,278,-10,"$73,333.34"
20,Fabián Gómez,T17,70,72,70,66,278,-10,"$73,333.34"
21,Chez Reavie,T17,70,71,71,66,278,-10,"$73,333.34"
22,Lucas Glover,T17,69,73,66,70,278,-10,"$73,333.33"
23,Charles Howell III,T17,69,69,68,72,278,-10,"$73,333.33"
24,Daniel Berger,T17,70,69,70,69,278,-10,"$73,333.33"
25,Brendon Todd,T26,69,73,68,69,279,-9,"$45,300.00"
26,Sean O'Hair,T26,68,71,68,72,279,-9,"$45,300.00"
27,Erik Compton,T26,69,72,70,68,279,-9,"$45,300.00"
28,Rory McIlroy,T26,68,71,71,69,279,-9,"$45,300.00"
29,William McGirt,T30,72,69,70,69,280,-8,"$39,900.00"
30,Mark Hubbard,T30,68,72,70,70,280,-8,"$39,900.00"
31,Carlos Ortiz,T32,71,71,69,70,281,-7,"$31,133.34"
32,Tony Finau,T32,70,69,70,72,281,-7,"$31,133.33"
33,Miguel Angel Carballo,T32,72,69,67,73,281,-7,"$31,133.33"
34,Graham DeLaet,T32,67,68,69,77,281,-7,"$31,133.33"
35,Daniel Summerhays,T32,67,74,70,70,281,-7,"$31,133.34"
36,Hunter Mahan,T32,69,73,67,72,281,-7,"$31,133.33"
37,Ben Crane,T32,69,71,68,73,281,-7,"$31,133.33"
38,Freddie Jacobson,T32,69,73,67,72,281,-7,"$31,133.33"
39,David Toms,T32,71,71,69,70,281,-7,"$31,133.34"
40,Jerry Kelly,T41,72,69,71,70,282,-6,"$21,000.00"
41,James Hahn,T41,74,66,68,74,282,-6,"$21,000.00"
42,Kevin Streelman,T41,69,73,69,71,282,-6,"$21,000.00"
43,Colt Knost,T41,71,66,72,73,282,-6,"$21,000.00"
44,Russell Henley,T41,67,69,72,74,282,-6,"$21,000.00"
45,Adam Hadwin,T41,72,67,71,72,282,-6,"$21,000.00"
46,Brooks Koepka,T41,69,72,66,75,282,-6,"$21,000.00"
47,Jamie Lovemark,T48,70,71,65,77,283,-5,"$14,914.28"
48,Johnson Wagner,T48,71,71,71,70,283,-5,"$14,914.29"
49,Spencer Levin,T48,72,70,72,69,283,-5,"$14,914.29"
50,Carl Pettersson,T48,70,72,71,70,283,-5,"$14,914.29"
51,Jonas Blixt,T48,70,68,74,71,283,-5,"$14,914.29"
52,Ollie Schniederjans,T48,70,71,70,72,283,-5,"$14,914.28"
53,Harold Varner III,T48,65,70,69,79,283,-5,"$14,914.28"
54,Scott Langley,T55,67,74,68,75,284,-4,"$13,500.00"
55,Aaron Baddeley,T55,71,71,71,71,284,-4,"$13,500.00"
