,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jimmy Walker,1,65,66,68,67,266,-14,"$1,800,000.00"
1,Jason Day,2,68,65,67,67,267,-13,"$1,080,000.00"
2,Daniel Summerhays,3,70,67,67,66,270,-10,"$680,000.00"
3,Branden Grace,T4,70,68,66,67,271,-9,"$405,000.00"
4,Hideki Matsuyama,T4,69,67,67,68,271,-9,"$405,000.00"
5,Brooks Koepka,T4,68,67,66,70,271,-9,"$405,000.00"
6,Robert Streb,T7,68,63,72,69,272,-8,"$293,000.00"
7,Martin Kaymer,T7,66,69,71,66,272,-8,"$293,000.00"
8,Henrik Stenson,T7,67,67,67,71,272,-8,"$293,000.00"
9,Paul Casey,T10,69,69,68,67,273,-7,"$233,000.00"
10,Tyrrell Hatton,T10,71,68,66,68,273,-7,"$233,000.00"
11,William McGirt,T10,70,67,66,70,273,-7,"$233,000.00"
12,Emiliano Grillo,T13,66,67,73,68,274,-6,"$172,400.00"
13,Patrick Reed,T13,70,65,70,69,274,-6,"$172,400.00"
14,Jordan Spieth,T13,70,67,69,68,274,-6,"$172,400.00"
15,Webb Simpson,T13,69,69,66,70,274,-6,"$172,400.00"
16,Padraig Harrington,T13,71,70,65,68,274,-6,"$172,400.00"
17,John Senden,T18,68,70,69,68,275,-5,"$121,000.00"
18,Adam Scott,T18,70,67,69,69,275,-5,"$121,000.00"
19,Kevin Kisner,T18,71,69,65,70,275,-5,"$121,000.00"
20,Grégory Bourdy,T18,69,68,69,69,275,-5,"$121,000.00"
21,Louis Oosthuizen,T22,68,70,70,68,276,-4,"$75,636.36"
22,Jhonattan Vegas,T22,68,71,70,67,276,-4,"$75,636.36"
23,Kevin Na,T22,71,68,71,66,276,-4,"$75,636.36"
24,Kyle Reifers,T22,70,70,70,66,276,-4,"$75,636.36"
25,Billy Hurley III,T22,72,65,69,70,276,-4,"$75,636.36"
26,Francesco Molinari,T22,71,70,68,67,276,-4,"$75,636.36"
27,K.J. Choi,T22,68,70,71,67,276,-4,"$75,636.36"
28,Justin Rose,T22,70,72,66,68,276,-4,"$75,636.36"
29,Russell Henley,T22,68,72,68,68,276,-4,"$75,636.36"
30,David Lingmerth,T22,68,70,69,69,276,-4,"$75,636.36"
31,Russell Knox,T22,70,70,67,69,276,-4,"$75,636.36"
32,Rickie Fowler,T33,68,68,71,70,277,-3,"$45,288.88"
33,Jon Curran,T33,69,69,69,70,277,-3,"$45,288.88"
34,Søren Kjeldsen,T33,70,69,73,65,277,-3,"$45,288.88"
35,Vaughn Taylor,T33,68,71,70,68,277,-3,"$45,288.88"
36,Zach Johnson,T33,71,66,71,69,277,-3,"$45,288.88"
37,Hideto Tanihara,T33,71,66,73,67,277,-3,"$45,288.88"
38,Phil Mickelson,T33,71,70,68,68,277,-3,"$45,288.88"
39,Joost Luiten,T33,72,70,70,65,277,-3,"$45,288.88"
40,Yuta Ikeda,T33,70,67,73,67,277,-3,"$45,288.88"
41,Charl Schwartzel,T42,73,69,66,70,278,-2,"$30,142.85"
42,Jamie Donaldson,T42,69,67,72,70,278,-2,"$30,142.85"
43,Ross Fisher,T42,66,73,70,69,278,-2,"$30,142.85"
44,Steve Stricker,T42,69,70,67,72,278,-2,"$30,142.85"
45,Ryan Palmer,T42,71,71,69,67,278,-2,"$30,142.85"
46,Scott Hend,T42,68,70,68,72,278,-2,"$30,142.85"
47,Keegan Bradley,T42,73,68,71,66,278,-2,"$30,142.85"
48,Patton Kizzire,T49,71,71,68,69,279,-1,"$25,000.00"
49,Jason Kokrak,T49,70,72,69,68,279,-1,"$25,000.00"
50,Andy Sullivan,T49,67,71,72,69,279,-1,"$25,000.00"
51,Matt Fitzpatrick,T49,72,70,70,67,279,-1,"$25,000.00"
52,Aaron Baddeley,T49,70,70,71,68,279,-1,"$25,000.00"
53,Alex Noren,T49,70,68,71,70,279,-1,"$25,000.00"
54,Rafa Cabrera Bello,T49,72,70,70,67,279,-1,"$25,000.00"
55,Brandt Snedeker,T56,73,66,70,71,280,E,"$22,250.00"
56,Bill Haas,T56,70,70,68,72,280,E,"$22,250.00"
57,Young-han Song,T56,71,68,73,68,280,E,"$22,250.00"
58,Danny Lee,T56,69,70,70,71,280,E,"$22,250.00"
59,Harris English,T60,67,69,74,71,281,+1,"$20,000.00"
60,Andrew Johnston,T60,70,69,71,71,281,+1,"$20,000.00"
