,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Tony Finau,1,69,70,67,70,276,-12,"$540,000.00"
1,Steve Marino,2,70,67,69,70,276,-12,"$324,000.00"
2,Ian Poulter,T3,71,66,68,72,277,-11,"$174,000.00"
3,Rodolfo Cazaubon,T3,70,70,69,68,277,-11,"$174,000.00"
4,Scott Brown,T5,71,69,67,71,278,-10,"$109,500.00"
5,Nick Taylor,T5,70,71,67,70,278,-10,"$109,500.00"
6,Andres Romero,T5,70,73,68,67,278,-10,"$109,500.00"
7,Will MacKenzie,T8,66,71,71,71,279,-9,"$87,000.00"
8,Aaron Baddeley,T8,66,72,69,72,279,-9,"$87,000.00"
9,Rafael Campos,T8,64,71,72,72,279,-9,"$87,000.00"
10,Alex Cejka,T11,66,71,72,71,280,-8,"$66,000.00"
11,Graham DeLaet,T11,70,69,70,71,280,-8,"$66,000.00"
12,Kyle Reifers,T11,67,70,71,72,280,-8,"$66,000.00"
13,Scott Langley,T11,72,70,69,69,280,-8,"$66,000.00"
14,Kelly Kraft,T15,72,69,70,70,281,-7,"$46,500.00"
15,Luke Guthrie,T15,69,70,72,70,281,-7,"$46,500.00"
16,Mark Hubbard,T15,67,70,72,72,281,-7,"$46,500.00"
17,Luke List,T15,70,70,71,70,281,-7,"$46,500.00"
18,Freddie Jacobson,T15,69,69,70,73,281,-7,"$46,500.00"
19,Tim Herron,T15,68,75,72,66,281,-7,"$46,500.00"
20,Jerry Kelly,T21,74,69,74,65,282,-6,"$31,200.00"
21,Retief Goosen,T21,73,69,71,69,282,-6,"$31,200.00"
22,Tim Wilkinson,T21,71,71,69,71,282,-6,"$31,200.00"
23,Derek Fathauer,T21,70,68,71,73,282,-6,"$31,200.00"
24,Patrick Rodgers,T21,69,70,72,71,282,-6,"$31,200.00"
25,Scott Pinckney,T26,71,72,70,70,283,-5,"$20,416.67"
26,Brice Garnett,T26,72,71,69,71,283,-5,"$20,416.66"
27,Jhonattan Vegas,T26,69,72,73,69,283,-5,"$20,416.67"
28,Chris Stroud,T26,71,71,73,68,283,-5,"$20,416.67"
29,Frank Lickliter II,T26,66,72,75,70,283,-5,"$20,416.67"
30,Luke Donald,T26,69,73,72,69,283,-5,"$20,416.67"
31,Cameron Percy,T26,69,71,70,73,283,-5,"$20,416.66"
32,Rod Pampling,T26,69,72,71,71,283,-5,"$20,416.66"
33,Michael Bradley,T26,67,72,73,71,283,-5,"$20,416.67"
34,Grégory Bourdy,T35,69,72,77,66,284,-4,"$15,112.50"
35,Billy Mayfair,T35,67,74,71,72,284,-4,"$15,112.50"
36,Boo Weekley,T35,72,71,69,72,284,-4,"$15,112.50"
37,George Coetzee,T35,71,69,73,71,284,-4,"$15,112.50"
38,Sam Saunders,T39,71,69,74,71,285,-3,"$11,400.00"
39,Michael Thompson,T39,68,74,72,71,285,-3,"$11,400.00"
40,Henrik Norlander,T39,72,70,70,73,285,-3,"$11,400.00"
41,Jonathan Byrd,T39,70,68,68,79,285,-3,"$11,400.00"
42,Erik Compton,T39,71,70,70,74,285,-3,"$11,400.00"
43,Ricky Barnes,T39,71,71,73,70,285,-3,"$11,400.00"
44,Dean Burmester,T39,69,71,75,70,285,-3,"$11,400.00"
45,David Toms,T39,73,69,69,74,285,-3,"$11,400.00"
46,Bryce Molder,T47,70,70,74,72,286,-2,"$7,705.72"
47,Thomas Aiken,T47,72,71,70,73,286,-2,"$7,705.71"
48,Adam Svensson,T47,67,76,70,73,286,-2,"$7,705.71"
49,Darron Stiles,T47,67,75,74,70,286,-2,"$7,705.72"
50,Chad Collins,T47,70,73,71,72,286,-2,"$7,705.71"
51,Bronson Burgoon,T47,69,68,77,72,286,-2,"$7,705.72"
52,Jorge Fernández Valdés,T47,72,69,68,77,286,-2,"$7,705.71"
53,Cameron Smith,T54,72,69,70,76,287,-1,"$6,870.00"
54,Steve Wheatcroft,T54,71,72,75,69,287,-1,"$6,870.00"
55,D.J. Trahan,T54,71,69,76,71,287,-1,"$6,870.00"
56,John Rollins,T54,71,72,70,74,287,-1,"$6,870.00"
57,Andrew Landry,T58,71,72,73,72,288,E,"$6,690.00"
58,Whee Kim,T58,71,71,71,75,288,E,"$6,690.00"
59,Hiroshi Iwata,T60,69,73,76,71,289,+1,"$6,570.00"
60,Brendon de Jonge,T60,71,71,73,74,289,+1,"$6,570.00"
61,Ken Duke,T62,72,70,74,74,290,+2,"$6,420.00"
62,Trevor Immelman,T62,69,70,80,71,290,+2,"$6,420.00"
63,Tyler Aldridge,T62,69,73,70,78,290,+2,"$6,420.00"
64,D.A. Points,T65,69,72,76,74,291,+3,"$6,240.00"
65,Tyrone Van Aswegen,T65,70,73,74,74,291,+3,"$6,240.00"
66,Derek Ernst,T65,69,74,73,75,291,+3,"$6,240.00"
67,Ted Purdy,68,70,73,73,76,292,+4,"$6,120.00"
68,Dawie van der Walt,69,73,69,78,73,293,+5,"$6,060.00"
69,Miguel Angel Carballo,CUT,70,74,,,144,E,$0.00
70,Scott Stallings,CUT,73,71,,,144,E,$0.00
71,Tommy Gainey,CUT,74,70,,,144,E,$0.00
72,Brendon Todd,CUT,70,74,,,144,E,$0.00
73,John Daly,CUT,73,71,,,144,E,$0.00
74,Frankie Capan III,CUT,73,71,,,144,E,$0.00
75,Michael Kim,CUT,73,71,,,144,E,$0.00
76,Chesson Hadley,CUT,69,75,,,144,E,$0.00
77,Martin Piller,CUT,72,72,,,144,E,$0.00
78,Carlos Ortiz,CUT,72,73,,,145,+1,$0.00
79,Richard Lee,CUT,72,73,,,145,+1,$0.00
80,Renato Paratore,CUT,70,75,,,145,+1,$0.00
81,Dicky Pride,CUT,72,73,,,145,+1,$0.00
82,Brian Davis,CUT,70,75,,,145,+1,$0.00
83,Alex Prugh,CUT,73,72,,,145,+1,$0.00
84,Billy Hurley III,CUT,72,73,,,145,+1,$0.00
85,William McGirt,CUT,73,73,,,146,+2,$0.00
86,Greg Chalmers,CUT,74,72,,,146,+2,$0.00
87,Eric Axley,CUT,73,73,,,146,+2,$0.00
88,Fabrizio Zanotti,CUT,72,74,,,146,+2,$0.00
89,Wilson Bateman,CUT,74,72,,,146,+2,$0.00
90,Edward Figueroa,CUT,71,75,,,146,+2,$0.00
91,Tom Gillis,CUT,73,73,,,146,+2,$0.00
92,Cameron Beckman,CUT,67,79,,,146,+2,$0.00
93,Matt Dobyns,CUT,70,76,,,146,+2,$0.00
94,Jacob Eggers,CUT,75,72,,,147,+3,$0.00
95,Haotong Li,CUT,71,76,,,147,+3,$0.00
96,Bo Hoag,CUT,71,76,,,147,+3,$0.00
97,Jon Curran,CUT,73,74,,,147,+3,$0.00
98,Marc Turnesa,CUT,72,75,,,147,+3,$0.00
99,Rhein Gibson,CUT,72,75,,,147,+3,$0.00
100,Steve Flesch,CUT,73,74,,,147,+3,$0.00
101,Charlie Beljan,CUT,70,77,,,147,+3,$0.00
102,Johnson Wagner,CUT,74,73,,,147,+3,$0.00
103,Jon McLean,CUT,76,72,,,148,+4,$0.00
104,Michael Putnam,CUT,75,73,,,148,+4,$0.00
105,Fred Funk,CUT,72,76,,,148,+4,$0.00
106,Peter Malnati,CUT,73,75,,,148,+4,$0.00
107,Morgan Hoffmann,CUT,74,74,,,148,+4,$0.00
108,Tom Hoge,CUT,71,77,,,148,+4,$0.00
109,Abraham Ancer,CUT,71,77,,,148,+4,$0.00
110,Jack Maguire,CUT,74,75,,,149,+5,$0.00
111,Tim Petrovic,CUT,69,80,,,149,+5,$0.00
112,Robert Allenby,CUT,75,74,,,149,+5,$0.00
113,Robert Garrigus,CUT,75,74,,,149,+5,$0.00
114,Rory Sabbatini,CUT,77,72,,,149,+5,$0.00
115,Andres Gonzales,CUT,74,75,,,149,+5,$0.00
116,Max Alverio,CUT,71,78,,,149,+5,$0.00
117,Kyle Stanley,CUT,73,76,,,149,+5,$0.00
118,Brian Stuard,CUT,75,75,,,150,+6,$0.00
119,S.Y. Noh,CUT,72,78,,,150,+6,$0.00
120,Jarrod Lyle,CUT,71,79,,,150,+6,$0.00
121,Mark Hensby,CUT,76,74,,,150,+6,$0.00
122,Miguel Suarez,CUT,76,75,,,151,+7,$0.00
123,Alan Morin,CUT,77,74,,,151,+7,$0.00
124,Rob Oppenheim,CUT,72,79,,,151,+7,$0.00
125,Shawn Stefani,CUT,78,73,,,151,+7,$0.00
126,Wes Roach,CUT,74,77,,,151,+7,$0.00
127,Connor Arendell,CUT,78,76,,,154,+10,$0.00
128,George McNeill,DQ,65,71,,,136,-8,$0.00
129,Dong Hwan Lee,W/D,74,,,,74,+2,$0.00
130,John Merrick,W/D,75,,,,75,+3,$0.00
131,Lucas Lee,W/D,76,,,,76,+4,$0.00
