,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jason Day,1,53,45,24,0,122,-375,
1,Louis Oosthuizen,2,66,59,58,0,183,-314,
2,Rafa Cabrera Bello,3,69,56,68,0,193,-304,
3,Rory McIlroy,4,67,54,67,0,188,-309,
4,Dustin Johnson,T5,68,47,60,0,175,-180,
5,Chris Kirk,T5,58,63,58,0,179,-176,
6,Ryan Moore,T5,68,68,55,0,191,-164,
7,Brooks Koepka,T5,63,53,58,0,174,-181,
8,Jordan Spieth,T9,61,50,58,0,169,-115,
9,Patrick Reed,T9,70,58,49,0,177,-107,
10,Byeong Hun An,T9,65,66,60,0,191,-93,
11,Matt Kuchar,T9,47,73,58,0,178,-106,
12,Zach Johnson,T9,53,35,56,0,144,-140,
13,Bill Haas,T9,63,62,65,0,190,-94,
14,Patton Kizzire,T9,70,71,69,0,210,-74,
15,Brandt Snedeker,T9,63,70,47,0,180,-104,
16,Kevin Na,17,64,64,66,,194,-19,2-0-1
17,Jamie Donaldson,T18,66,72,63,,201,-12,2-1-0
18,Scott Piercy,T18,64,67,66,,197,-16,1-0-2
19,Charl Schwartzel,T18,71,63,53,,187,-26,2-1-0
20,Sergio Garcia,T18,53,69,50,,172,-41,2-1-0
21,Martin Kaymer,T18,62,42,57,,161,-52,2-1-0
22,Hideki Matsuyama,T18,70,54,61,,185,-28,2-1-0
23,Branden Grace,T18,60,54,49,,163,-50,2-1-0
24,Kiradech Aphibarnrat,T18,68,52,70,,190,-23,2-1-0
25,Andy Sullivan,T18,62,67,51,,180,-33,2-1-0
26,Phil Mickelson,T18,64,56,53,,173,-40,2-1-0
27,Anirban Lahiri,T28,53,71,54,,178,-35,1-1-1
28,Danny Willett,T28,71,65,55,,191,-22,1-1-1
29,Thomas Pieters,T28,64,68,55,,187,-26,1-1-1
30,Russell Knox,T28,64,62,53,,179,-34,1-1-1
31,J.B. Holmes,T28,65,71,67,,203,-10,1-1-1
32,Justin Rose,T28,66,71,61,,198,-15,1-1-1
33,Jaco Van Zyl,T28,71,58,61,,190,-23,1-1-1
34,Adam Scott,T28,64,58,71,,193,-20,1-1-1
35,Thongchai Jaidee,T28,66,50,68,,184,-29,1-1-1
36,Bubba Watson,T28,70,65,68,,203,-10,1-1-1
37,Graeme McDowell,T38,56,68,68,,192,-21,0-1-2
38,Jimmy Walker,T38,71,57,62,,190,-23,1-2-0
39,Jason Dufner,T38,62,65,66,,193,-20,1-2-0
40,Charley Hoffman,T38,65,68,61,,194,-19,1-2-0
41,Lee Westwood,T38,55,52,56,,163,-50,1-2-0
42,Billy Horschel,T38,65,63,63,,191,-22,1-2-0
43,Kevin Kisner,T38,56,61,64,,181,-32,1-2-0
44,Victor Dubuisson,T38,64,54,64,,182,-31,1-2-0
45,Emiliano Grillo,T38,61,69,71,,201,-12,1-2-0
46,Rickie Fowler,T38,66,68,61,,195,-18,0-1-2
47,Matt Fitzpatrick,T38,58,62,0,,120,-93,1-2-0
48,Robert Streb,T38,63,61,70,,194,-19,1-2-0
49,Thorbjørn Olesen,T38,70,68,49,,187,-26,1-2-0
50,David Lingmerth,T51,64,60,61,,185,-28,0-2-1
51,Shane Lowry,T51,60,72,60,,192,-21,0-2-1
52,Fabián Gómez,T51,67,72,58,,197,-16,0-2-1
53,Danny Lee,T51,71,71,65,,207,-6,0-2-1
54,Bernd Wiesberger,T51,66,62,69,,197,-16,0-2-1
55,Marcus Fraser,T51,57,72,61,,190,-23,0-2-1
56,Søren Kjeldsen,T51,58,64,68,,190,-23,0-2-1
57,Paul Casey,T51,68,69,24,,161,-52,0-2-1
58,Matt Jones,T51,69,72,69,,210,-3,0-2-1
59,Marc Leishman,T51,67,59,53,,179,-34,0-2-1
60,Chris Wood,T61,65,62,57,,184,-29,0-3-0
61,Justin Thomas,T61,66,74,65,,205,-8,0-3-0
62,Smylie Kaufman,T61,67,58,55,,180,-33,0-3-0
63,Daniel Berger,T61,71,64,0,,135,-78,0-3-0
