,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Hudson Swafford,1,65,65,71,67,268,-20,"$1,044,000.00"
1,Adam Hadwin,2,71,69,59,70,269,-19,"$626,400.00"
2,Bud Cauley,T3,69,67,65,69,270,-18,"$336,400.00"
3,Brian Harman,T3,67,65,69,69,270,-18,"$336,400.00"
4,Dominic Bozzelli,5,64,67,69,71,271,-17,"$232,000.00"
5,Brendan Steele,T6,68,64,70,70,272,-16,"$201,550.00"
6,Chad Campbell,T6,66,69,66,71,272,-16,"$201,550.00"
7,Scott Stallings,8,67,71,69,66,273,-15,"$179,800.00"
8,Martin Laird,T9,68,66,71,69,274,-14,"$156,600.00"
9,Sean O'Hair,T9,67,69,69,69,274,-14,"$156,600.00"
10,Richy Werenski,T9,69,67,68,70,274,-14,"$156,600.00"
11,Grayson Murray,T12,68,69,67,71,275,-13,"$113,680.00"
12,Patrick Reed,T12,69,71,70,65,275,-13,"$113,680.00"
13,Charles Howell III,T12,67,68,70,70,275,-13,"$113,680.00"
14,Chez Reavie,T12,68,70,67,70,275,-13,"$113,680.00"
15,Francesco Molinari,T12,69,73,66,67,275,-13,"$113,680.00"
16,Greg Owen,T17,67,67,72,70,276,-12,"$84,100.00"
17,Robert Garrigus,T17,68,69,66,73,276,-12,"$84,100.00"
18,Bill Haas,T17,68,72,68,68,276,-12,"$84,100.00"
19,Whee Kim,T17,70,73,63,70,276,-12,"$84,100.00"
20,Michael Kim,T21,66,72,71,68,277,-11,"$62,640.00"
21,Phil Mickelson,T21,68,66,73,70,277,-11,"$62,640.00"
22,Seamus Power,T21,67,70,71,69,277,-11,"$62,640.00"
23,Chris Kirk,T21,69,66,68,74,277,-11,"$62,640.00"
24,Anirban Lahiri,T25,69,72,64,73,278,-10,"$41,502.22"
25,Kevin Kisner,T25,70,69,71,68,278,-10,"$41,502.22"
26,Jason Dufner,T25,71,66,73,68,278,-10,"$41,502.22"
27,Tim Wilkinson,T25,71,68,70,69,278,-10,"$41,502.23"
28,Ryan Blaum,T25,66,71,71,70,278,-10,"$41,502.22"
29,Steven Alker,T25,69,70,68,71,278,-10,"$41,502.22"
30,Geoff Ogilvy,T25,67,69,68,74,278,-10,"$41,502.22"
31,Brian Campbell,T25,71,69,70,68,278,-10,"$41,502.22"
32,Keegan Bradley,T25,69,72,68,69,278,-10,"$41,502.23"
33,David Lingmerth,T34,69,68,71,71,279,-9,"$28,668.57"
34,Zac Blair,T34,67,69,71,72,279,-9,"$28,668.57"
35,Jon Rahm,T34,71,66,70,72,279,-9,"$28,668.57"
36,J.T. Poston,T34,69,68,71,71,279,-9,"$28,668.58"
37,Aaron Wise,T34,68,68,71,72,279,-9,"$28,668.57"
38,Nick Taylor,T34,72,68,70,69,279,-9,"$28,668.57"
39,Jhonattan Vegas,T34,65,75,68,71,279,-9,"$28,668.57"
40,Luke List,T41,67,70,70,73,280,-8,"$19,230.22"
41,Scott Piercy,T41,69,69,71,71,280,-8,"$19,230.23"
42,Lucas Glover,T41,72,67,69,72,280,-8,"$19,230.23"
43,Andres Gonzales,T41,69,72,65,74,280,-8,"$19,230.22"
44,Danny Lee,T41,67,64,76,73,280,-8,"$19,230.22"
45,Ken Duke,T41,69,72,69,70,280,-8,"$19,230.22"
46,Vaughn Taylor,T41,68,72,67,73,280,-8,"$19,230.22"
47,Jon Curran,T41,71,69,71,69,280,-8,"$19,230.22"
48,Shawn Stefani,T41,74,69,67,70,280,-8,"$19,230.22"
49,Roberto Castro,T50,70,68,70,73,281,-7,"$13,702.50"
50,Patton Kizzire,T50,65,71,73,72,281,-7,"$13,702.50"
51,Trey Mullinax,T50,71,73,67,70,281,-7,"$13,702.50"
52,Nicholas Lindheim,T50,71,72,66,72,281,-7,"$13,702.50"
53,Bryce Molder,T50,69,68,70,74,281,-7,"$13,702.50"
54,J.J. Spaun,T50,66,73,69,73,281,-7,"$13,702.50"
55,Henrik Norlander,T50,70,70,71,70,281,-7,"$13,702.50"
56,Ryo Ishikawa,T50,69,69,72,71,281,-7,"$13,702.50"
57,Scott Brown,T58,67,71,72,72,282,-6,"$12,586.00"
58,Steven Bowditch,T58,70,70,69,73,282,-6,"$12,586.00"
59,Paul Casey,T58,67,69,71,75,282,-6,"$12,586.00"
60,David Hearn,T58,71,70,68,73,282,-6,"$12,586.00"
61,Brandon Hagy,T58,69,72,67,74,282,-6,"$12,586.00"
62,Ollie Schniederjans,T58,71,70,69,72,282,-6,"$12,586.00"
63,Kenny Pigman,T58,71,70,70,71,282,-6,"$12,586.00"
64,John Peterson,T58,73,68,69,72,282,-6,"$12,586.00"
65,Webb Simpson,T66,75,70,66,72,283,-5,"$11,890.00"
66,D.A. Points,T66,72,67,72,72,283,-5,"$11,890.00"
67,Ryan Armour,T66,71,68,70,74,283,-5,"$11,890.00"
68,Chris Evans,T66,71,72,68,72,283,-5,"$11,890.00"
69,Miguel Angel Carballo,T70,67,72,71,74,284,-4,"$11,542.00"
70,Kevin Na,T70,71,70,69,74,284,-4,"$11,542.00"
71,Rory Sabbatini,T72,70,72,69,74,285,-3,"$11,310.00"
72,Smylie Kaufman,T72,71,69,71,74,285,-3,"$11,310.00"
73,Tag Ridings,74,73,71,66,76,286,-2,"$11,136.00"
74,Aaron Baddeley,T75,69,69,71,78,287,-1,"$10,962.00"
75,Ryan Brehm,T75,70,71,69,77,287,-1,"$10,962.00"
76,Peter Malnati,77,71,69,71,77,288,E,"$10,788.00"
