,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Kevin Kisner,1,67,67,70,66,270,-10,"$1,242,000.00"
1,Sean O'Hair,T2,67,68,70,66,271,-9,"$515,200.00"
2,Jordan Spieth,T2,70,68,68,65,271,-9,"$515,200.00"
3,Jon Rahm,T2,66,69,70,66,271,-9,"$515,200.00"
4,Webb Simpson,5,68,66,67,71,272,-8,"$276,000.00"
5,Danny Lee,6,70,64,69,70,273,-7,"$248,400.00"
6,Scott Piercy,T7,68,66,72,68,274,-6,"$215,050.00"
7,Brian Harman,T7,69,69,71,65,274,-6,"$215,050.00"
8,Steve Stricker,T7,72,71,68,63,274,-6,"$215,050.00"
9,Stewart Cink,T10,68,70,66,72,276,-4,"$179,400.00"
10,Paul Casey,T10,69,66,68,73,276,-4,"$179,400.00"
11,Bill Haas,T12,69,69,68,71,277,-3,"$131,100.00"
12,Scott Brown,T12,66,72,71,68,277,-3,"$131,100.00"
13,Sergio Garcia,T12,69,66,71,71,277,-3,"$131,100.00"
14,Matt Kuchar,T12,70,72,68,67,277,-3,"$131,100.00"
15,Morgan Hoffmann,T12,71,69,70,67,277,-3,"$131,100.00"
16,David Lingmerth,T12,71,72,67,67,277,-3,"$131,100.00"
17,Kelly Kraft,T18,65,73,71,69,278,-2,"$86,940.00"
18,Vaughn Taylor,T18,68,71,72,67,278,-2,"$86,940.00"
19,Ricky Barnes,T18,75,68,67,68,278,-2,"$86,940.00"
20,Jonas Blixt,T18,70,69,68,71,278,-2,"$86,940.00"
21,Kevin Tway,T18,68,70,72,68,278,-2,"$86,940.00"
22,Kevin Streelman,T18,68,72,70,68,278,-2,"$86,940.00"
23,Brian Stuard,T24,70,73,71,65,279,-1,"$57,270.00"
24,Emiliano Grillo,T24,72,69,65,73,279,-1,"$57,270.00"
25,Charley Hoffman,T24,72,68,67,72,279,-1,"$57,270.00"
26,Ryan Blaum,T24,70,72,70,67,279,-1,"$57,270.00"
27,Sam Saunders,T24,71,70,67,71,279,-1,"$57,270.00"
28,Phil Mickelson,T29,67,75,69,69,280,E,"$44,850.00"
29,Tony Finau,T29,72,65,73,70,280,E,"$44,850.00"
30,Graeme McDowell,T29,66,70,72,72,280,E,"$44,850.00"
31,Harris English,T29,72,68,71,69,280,E,"$44,850.00"
32,Ollie Schniederjans,T29,71,69,71,69,280,E,"$44,850.00"
33,Marc Leishman,T34,69,72,69,71,281,+1,"$34,105.71"
34,Billy Horschel,T34,70,70,70,71,281,+1,"$34,105.72"
35,Brian Gay,T34,69,69,71,72,281,+1,"$34,105.71"
36,Chad Campbell,T34,69,73,70,69,281,+1,"$34,105.72"
37,Robert Streb,T34,70,72,72,67,281,+1,"$34,105.71"
38,Curtis Luck,T34,68,73,71,69,281,+1,"$34,105.72"
39,Whee Kim,T34,68,70,70,73,281,+1,"$34,105.71"
40,Chris Stroud,T41,71,73,69,69,282,+2,"$24,150.00"
41,Ángel Cabrera,T41,73,68,72,69,282,+2,"$24,150.00"
42,J.T. Poston,T41,65,76,70,71,282,+2,"$24,150.00"
43,Billy Hurley III,T41,72,69,69,72,282,+2,"$24,150.00"
44,Cody Gribble,T41,69,73,69,71,282,+2,"$24,150.00"
45,Michael Kim,T41,68,74,69,71,282,+2,"$24,150.00"
46,Bud Cauley,T41,74,66,71,71,282,+2,"$24,150.00"
47,Derek Fathauer,T48,65,74,77,67,283,+3,"$17,553.60"
48,Chez Reavie,T48,74,69,74,66,283,+3,"$17,553.60"
