,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Matt Kuchar,T1,57,66,65,,188,-28,"$385,000.00"
1,Harris English,T1,57,66,65,,188,-28,"$385,000.00"
2,Steve Stricker,T2,56,68,65,,189,-27,"$242,500.00"
3,Jerry Kelly,T2,56,68,65,,189,-27,"$242,500.00"
4,Charley Hoffman,T3,61,68,61,,190,-26,"$145,000.00"
5,Billy Horschel,T3,61,68,61,,190,-26,"$145,000.00"
6,Kevin Kisner,T4,60,68,64,,192,-24,"$115,000.00"
7,Kevin Chappell,T4,60,68,64,,192,-24,"$115,000.00"
8,Kenny Perry,T5,63,68,64,,195,-21,"$91,666.67"
9,Justin Thomas,T5,63,66,66,,195,-21,"$91,666.66"
10,Smylie Kaufman,T5,63,66,66,,195,-21,"$91,666.66"
11,Charles Howell III,T5,59,69,67,,195,-21,"$91,666.67"
12,Sean O'Hair,T5,63,68,64,,195,-21,"$91,666.67"
13,Rory Sabbatini,T5,59,69,67,,195,-21,"$91,666.67"
14,Jason Dufner,T8,60,70,66,,196,-20,"$82,500.00"
15,Brandt Snedeker,T8,60,70,66,,196,-20,"$82,500.00"
16,Russell Knox,T9,60,71,68,,199,-17,"$78,750.00"
17,Daniel Berger,T9,63,71,65,,199,-17,"$78,750.00"
18,Luke Donald,T9,60,71,68,,199,-17,"$78,750.00"
19,K.J. Choi,T9,63,71,65,,199,-17,"$78,750.00"
20,Gary Woodland,T11,63,73,64,,200,-16,"$73,750.00"
21,Mike Weir,T11,63,73,64,,200,-16,"$73,750.00"
22,Lexi Thompson,T11,62,71,67,,200,-16,"$73,750.00"
23,Bryson DeChambeau,T11,62,71,67,,200,-16,"$73,750.00"
