,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Pat Perez,1,68,66,62,67,263,-21,"$1,260,001.80"
1,Gary Woodland,2,64,65,66,70,265,-19,"$756,001.08"
2,Russell Knox,3,68,65,67,66,266,-18,"$476,000.68"
3,Scott Piercy,T4,65,66,66,70,267,-17,"$289,333.74"
4,Chez Reavie,T4,70,67,63,67,267,-17,"$289,333.75"
5,Kevin Streelman,T4,65,73,64,65,267,-17,"$289,333.75"
6,Luke List,T7,66,68,66,68,268,-16,"$218,166.97"
7,Charles Howell III,T7,69,64,69,66,268,-16,"$218,166.98"
8,Chris Kirk,T7,63,70,68,67,268,-16,"$218,166.98"
9,Emiliano Grillo,T10,68,69,66,67,270,-14,"$175,000.25"
10,Adam Hadwin,T10,67,66,70,67,270,-14,"$175,000.25"
11,Jhonattan Vegas,T10,69,67,65,69,270,-14,"$175,000.25"
12,Martin Laird,T13,68,67,66,70,271,-13,"$140,000.20"
13,Oscar Fraustro,T13,71,66,68,66,271,-13,"$140,000.20"
14,Jason Kokrak,T15,70,68,67,67,272,-12,"$98,466.81"
15,Keegan Bradley,T15,72,67,67,66,272,-12,"$98,466.81"
16,Ryan Blaum,T15,67,71,66,68,272,-12,"$98,466.81"
17,Nick Taylor,T15,68,66,68,70,272,-12,"$98,466.81"
18,Ben Crane,T15,64,70,67,71,272,-12,"$98,466.80"
19,Stewart Cink,T15,74,64,65,69,272,-12,"$98,466.81"
20,John Peterson,T15,71,69,64,68,272,-12,"$98,466.81"
21,Cody Gribble,T15,68,66,71,67,272,-12,"$98,466.81"
22,Cam Davis,T15,66,70,66,70,272,-12,"$98,466.80"
23,Graeme McDowell,T24,75,65,65,68,273,-11,"$59,675.09"
24,Marc Leishman,T24,70,65,69,69,273,-11,"$59,675.08"
25,Webb Simpson,T24,65,65,69,74,273,-11,"$59,675.08"
26,Martin Flores,T24,70,69,66,68,273,-11,"$59,675.09"
27,Camilo Villegas,T28,64,72,69,69,274,-10,"$45,550.07"
28,Steve Marino,T28,70,64,69,71,274,-10,"$45,550.07"
29,Seamus Power,T28,68,66,64,76,274,-10,"$45,550.06"
30,Anirban Lahiri,T28,69,67,66,72,274,-10,"$45,550.06"
31,Brian Gay,T28,70,69,71,64,274,-10,"$45,550.06"
32,J.J. Spaun,T28,68,72,65,69,274,-10,"$45,550.07"
33,John Huh,T28,67,66,69,72,274,-10,"$45,550.07"
34,J.T. Poston,T35,69,71,64,71,275,-9,"$33,050.05"
35,Chad Campbell,T35,74,66,66,69,275,-9,"$33,050.04"
36,Jason Bohn,T35,69,66,65,75,275,-9,"$33,050.04"
37,Robert Garrigus,T35,68,72,65,70,275,-9,"$33,050.05"
38,Brian Stuard,T35,69,68,68,70,275,-9,"$33,050.05"
39,Jamie Lovemark,T35,71,68,65,71,275,-9,"$33,050.05"
40,Brett Stegmaier,T35,67,72,66,70,275,-9,"$33,050.05"
41,Ben Martin,T42,69,64,74,69,276,-8,"$25,200.03"
42,Wesley Bryan,T42,69,69,70,68,276,-8,"$25,200.03"
43,Cameron Smith,T42,71,68,65,72,276,-8,"$25,200.04"
44,Zac Blair,T42,70,69,68,69,276,-8,"$25,200.04"
45,Hudson Swafford,T46,68,69,71,69,277,-7,"$19,845.02"
46,Cameron Tringale,T46,71,66,67,73,277,-7,"$19,845.03"
47,C.T. Pan,T46,71,67,69,70,277,-7,"$19,845.03"
