,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,D.A. Points,1,64,69,69,66,268,-20,"$540,000.00"
1,Bill Lunde,T2,65,68,69,68,270,-18,"$224,000.00"
2,Retief Goosen,T2,68,67,71,64,270,-18,"$224,000.00"
3,Bryson DeChambeau,T2,68,65,70,67,270,-18,"$224,000.00"
4,Whee Kim,T5,71,65,67,68,271,-17,"$109,500.00"
5,Sam Saunders,T5,70,69,67,65,271,-17,"$109,500.00"
6,Peter Uihlein,T5,69,68,68,66,271,-17,"$109,500.00"
7,Chris Stroud,T8,69,65,67,71,272,-16,"$90,000.00"
8,J.J. Henry,T8,69,65,75,63,272,-16,"$90,000.00"
9,Rafael Campos,T10,66,68,69,70,273,-15,"$64,285.71"
10,Martin Flores,T10,71,69,67,66,273,-15,"$64,285.72"
11,Michael Thompson,T10,67,68,72,66,273,-15,"$64,285.72"
12,Mark Anderson,T10,68,69,69,67,273,-15,"$64,285.71"
13,Andrew Johnston,T10,70,67,66,70,273,-15,"$64,285.71"
14,Tom Hoge,T10,69,65,72,67,273,-15,"$64,285.72"
15,J.T. Poston,T10,66,72,66,69,273,-15,"$64,285.71"
16,Kurt Kitayama,T17,70,68,68,68,274,-14,"$39,257.14"
17,J.J. Spaun,T17,66,68,73,67,274,-14,"$39,257.15"
18,Kyle Reifers,T17,70,66,70,68,274,-14,"$39,257.15"
19,Scott Brown,T17,67,68,69,70,274,-14,"$39,257.14"
20,Julián Etulain,T17,73,67,70,64,274,-14,"$39,257.14"
21,David Hearn,T17,66,69,71,68,274,-14,"$39,257.14"
22,Tim Wilkinson,T17,71,63,69,71,274,-14,"$39,257.14"
23,Cameron Percy,T24,69,71,67,68,275,-13,"$24,300.00"
24,Fabián Gómez,T24,71,68,67,69,275,-13,"$24,300.00"
25,Will Wilcox,T24,70,67,70,68,275,-13,"$24,300.00"
26,Jonathan Randolph,T24,66,69,68,72,275,-13,"$24,300.00"
27,John Peterson,T24,70,69,66,70,275,-13,"$24,300.00"
28,Harold Varner III,T24,66,74,66,69,275,-13,"$24,300.00"
29,Xander Schauffele,T30,65,73,70,68,276,-12,"$19,950.00"
30,Miguel Angel Carballo,T30,68,71,69,68,276,-12,"$19,950.00"
31,Shawn Stefani,T32,69,69,71,68,277,-11,"$16,980.00"
32,Kevin Tway,T32,66,71,71,69,277,-11,"$16,980.00"
33,Andres Gonzales,T32,68,71,70,68,277,-11,"$16,980.00"
34,Ryan Blaum,T32,68,69,69,71,277,-11,"$16,980.00"
35,Nicholas Lindheim,T32,69,71,68,69,277,-11,"$16,980.00"
36,Steve Marino,T37,73,66,69,70,278,-10,"$12,900.00"
37,Luke List,T37,71,66,69,72,278,-10,"$12,900.00"
38,Boo Weekley,T37,68,68,69,73,278,-10,"$12,900.00"
39,Tyler Aldridge,T37,68,69,73,68,278,-10,"$12,900.00"
40,John Senden,T37,72,69,67,70,278,-10,"$12,900.00"
41,Rory Sabbatini,T37,71,69,70,68,278,-10,"$12,900.00"
42,Bryce Molder,T37,69,69,70,70,278,-10,"$12,900.00"
43,Steven Alker,T44,71,70,71,67,279,-9,"$9,324.00"
44,Brad Fritsch,T44,71,70,71,67,279,-9,"$9,324.00"
45,Brett Stegmaier,T44,69,69,71,70,279,-9,"$9,324.00"
46,Cameron Tringale,T44,69,71,68,71,279,-9,"$9,324.00"
47,Trey Mullinax,T44,63,72,72,72,279,-9,"$9,324.00"
48,Sung Kang,T49,72,68,68,72,280,-8,"$7,268.58"
49,John Merrick,T49,67,70,71,72,280,-8,"$7,268.57"
50,Zack Sucher,T49,67,74,71,68,280,-8,"$7,268.57"
51,Alex Cejka,T49,68,66,73,73,280,-8,"$7,268.57"
52,Ryan Armour,T49,70,69,72,69,280,-8,"$7,268.57"
53,Steve Wheatcroft,T49,68,71,71,70,280,-8,"$7,268.57"
54,Will MacKenzie,T49,72,68,70,70,280,-8,"$7,268.57"
55,Ricky Barnes,T56,66,70,75,70,281,-7,"$6,750.00"
56,Freddie Jacobson,T56,68,72,71,70,281,-7,"$6,750.00"
57,S.Y. Noh,T56,69,70,71,71,281,-7,"$6,750.00"
58,Danny Lee,T56,69,70,72,70,281,-7,"$6,750.00"
59,Rick Lamb,T60,70,70,71,71,282,-6,"$6,570.00"
60,Brian Campbell,T60,70,70,71,71,282,-6,"$6,570.00"
61,Bobby Wyatt,T62,71,68,73,71,283,-5,"$6,330.00"
62,Wesley Bryan,T62,69,68,73,73,283,-5,"$6,330.00"
63,Zac Blair,T62,70,71,69,73,283,-5,"$6,330.00"
64,Chris Kirk,T62,70,71,71,71,283,-5,"$6,330.00"
65,Brett Drewitt,T62,71,70,70,72,283,-5,"$6,330.00"
66,Gonzalo Fernandez-Castaño,T62,70,69,73,71,283,-5,"$6,330.00"
67,Dicky Pride,T68,71,70,70,73,284,-4,"$6,090.00"
68,Spencer Levin,T68,71,70,71,72,284,-4,"$6,090.00"
69,Hunter Mahan,70,70,69,72,74,285,-3,"$6,000.00"
70,"Rich Berberian, Jr.",71,70,69,71,76,286,-2,"$5,940.00"
71,Richy Werenski,T72,71,68,74,,213,-3,"$5,790.00"
72,Cyril Bouniol,T72,71,67,75,,213,-3,"$5,790.00"
73,Tag Ridings,T72,72,69,72,,213,-3,"$5,790.00"
74,Greg Owen,T72,72,68,73,,213,-3,"$5,790.00"
75,Jonathan Byrd,T76,69,72,73,,214,-2,"$5,550.00"
76,Tyrone Van Aswegen,T76,69,71,74,,214,-2,"$5,550.00"
77,Jonas Blixt,T76,68,72,74,,214,-2,"$5,550.00"
78,Chesson Hadley,T76,69,71,74,,214,-2,"$5,550.00"
79,Joel Dahmen,T80,69,72,74,,215,-1,"$5,370.00"
80,Fabrizio Zanotti,T80,70,71,74,,215,-1,"$5,370.00"
81,Ryan Brehm,CUT,70,72,,,142,-2,$0.00
82,Matt Jones,CUT,71,71,,,142,-2,$0.00
83,Graeme McDowell,CUT,71,71,,,142,-2,$0.00
84,Chad Collins,CUT,70,72,,,142,-2,$0.00
85,Ian Poulter,CUT,69,73,,,142,-2,$0.00
86,K.J. Choi,CUT,72,70,,,142,-2,$0.00
87,Robert Garrigus,CUT,72,70,,,142,-2,$0.00
88,Ben Crane,CUT,71,71,,,142,-2,$0.00
89,Max Homa,CUT,69,73,,,142,-2,$0.00
90,Dominic Bozzelli,CUT,70,72,,,142,-2,$0.00
91,Sebastián Muñoz,CUT,72,70,,,142,-2,$0.00
92,Mark Hubbard,CUT,69,74,,,143,-1,$0.00
93,George McNeill,CUT,72,71,,,143,-1,$0.00
94,Y.E. Yang,CUT,72,71,,,143,-1,$0.00
95,Nick Taylor,CUT,71,72,,,143,-1,$0.00
96,Ángel Cabrera,CUT,69,74,,,143,-1,$0.00
97,Marcelo Rozo,CUT,71,72,,,143,-1,$0.00
98,Graham DeLaet,CUT,73,70,,,143,-1,$0.00
99,Martín Ureta,CUT,73,71,,,144,E,$0.00
100,Trevor Immelman,CUT,71,73,,,144,E,$0.00
101,Stuart Appleby,CUT,73,71,,,144,E,$0.00
102,Alan Morin,CUT,71,73,,,144,E,$0.00
103,Mark Wilson,CUT,74,70,,,144,E,$0.00
104,Ryo Ishikawa,CUT,74,70,,,144,E,$0.00
105,Edward Figueroa,CUT,68,76,,,144,E,$0.00
106,Carl Pettersson,CUT,73,72,,,145,+1,$0.00
107,Ben Curtis,CUT,73,72,,,145,+1,$0.00
108,Will Cannon,CUT,73,72,,,145,+1,$0.00
109,Michael Bradley,CUT,71,74,,,145,+1,$0.00
110,Sung Joon Park,CUT,74,71,,,145,+1,$0.00
