,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Justin Thomas,1,67,67,67,69,270,-22,"$1,220,000.00"
1,Hideki Matsuyama,2,69,68,66,70,273,-19,"$712,000.00"
2,Jordan Spieth,T3,72,69,70,65,276,-16,"$359,000.00"
3,Pat Perez,T3,69,71,69,67,276,-16,"$359,000.00"
4,Ryan Moore,T3,67,67,71,71,276,-16,"$359,000.00"
5,Dustin Johnson,T6,69,70,69,69,277,-15,"$210,000.00"
6,Patrick Reed,T6,70,65,72,70,277,-15,"$210,000.00"
7,Brendan Steele,T6,72,67,67,71,277,-15,"$210,000.00"
8,Tony Finau,T9,70,68,70,70,278,-14,"$172,333.34"
9,William McGirt,T9,70,69,66,73,278,-14,"$172,333.33"
10,Jimmy Walker,T9,65,70,70,73,278,-14,"$172,333.33"
11,Jim Herman,T12,67,71,72,69,279,-13,"$147,000.00"
12,Jason Day,T12,70,69,70,70,279,-13,"$147,000.00"
13,Cody Gribble,T14,69,72,69,70,280,-12,"$122,000.00"
14,Daniel Berger,T14,68,70,70,72,280,-12,"$122,000.00"
15,Brandt Snedeker,T14,70,70,69,71,280,-12,"$122,000.00"
16,Russell Knox,T17,71,69,68,73,281,-11,"$98,333.33"
17,Charley Hoffman,T17,71,70,71,69,281,-11,"$98,333.33"
18,Rod Pampling,T17,69,71,72,69,281,-11,"$98,333.34"
19,Fabián Gómez,20,70,68,71,73,282,-10,"$88,000.00"
20,Jason Dufner,21,68,68,72,75,283,-9,"$84,000.00"
21,Brian Stuard,T22,72,71,70,71,284,-8,"$78,500.00"
22,James Hahn,T22,74,70,68,72,284,-8,"$78,500.00"
23,Vaughn Taylor,24,72,71,69,73,285,-7,"$74,000.00"
24,Aaron Baddeley,T25,70,73,74,69,286,-6,"$70,000.00"
25,Bubba Watson,T25,72,72,71,71,286,-6,"$70,000.00"
26,Mackenzie Hughes,T25,73,72,73,68,286,-6,"$70,000.00"
27,Greg Chalmers,28,71,72,70,74,287,-5,"$66,000.00"
28,Billy Hurley III,29,74,73,72,72,291,-1,"$64,000.00"
29,Jhonattan Vegas,T30,72,76,70,74,292,E,"$62,500.00"
30,Si Woo Kim,T30,75,70,69,78,292,E,"$62,500.00"
31,Branden Grace,32,73,74,71,75,293,+1,"$61,000.00"
