,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Troy Merritt,1,62,67,69,67,265,-23,"$630,000.00"
1,Richy Werenski,T2,66,66,68,66,266,-22,"$261,333.33"
2,Tom Lovelady,T2,66,67,65,68,266,-22,"$261,333.33"
3,Billy Horschel,T2,65,66,68,67,266,-22,"$261,333.34"
4,J.T. Poston,5,69,66,66,66,267,-21,"$140,000.00"
5,Brian Gay,6,67,68,68,65,268,-20,"$126,000.00"
6,Hunter Mahan,T7,66,68,64,71,269,-19,"$109,083.33"
7,Sam Ryder,T7,68,68,63,70,269,-19,"$109,083.33"
8,Cameron Percy,T7,67,64,69,69,269,-19,"$109,083.34"
9,Robert Streb,T10,67,68,63,72,270,-18,"$91,000.00"
10,Steve Wheatcroft,T10,68,67,68,67,270,-18,"$91,000.00"
11,Blayne Barber,T12,71,65,63,72,271,-17,"$73,500.00"
12,William McGirt,T12,68,72,65,66,271,-17,"$73,500.00"
13,Ben Silverman,T12,67,70,69,65,271,-17,"$73,500.00"
14,Fabián Gómez,T15,70,69,67,66,272,-16,"$54,250.00"
15,David Lingmerth,T15,67,69,67,69,272,-16,"$54,250.00"
16,Joel Dahmen,T15,65,72,68,67,272,-16,"$54,250.00"
17,Zac Blair,T15,69,67,66,70,272,-16,"$54,250.00"
18,Conrad Shindler,T15,72,64,69,67,272,-16,"$54,250.00"
19,J.J. Henry,T15,69,67,69,67,272,-16,"$54,250.00"
20,Heath Slocum,T21,71,67,68,67,273,-15,"$31,150.00"
21,Jonathan Byrd,T21,66,72,66,69,273,-15,"$31,150.00"
22,Scott Brown,T21,68,70,68,67,273,-15,"$31,150.00"
23,Andres Romero,T21,65,67,70,71,273,-15,"$31,150.00"
24,John Peterson,T21,67,71,68,67,273,-15,"$31,150.00"
25,Peter Malnati,T21,69,68,71,65,273,-15,"$31,150.00"
26,Brian Stuard,T21,68,70,65,70,273,-15,"$31,150.00"
27,Nick Taylor,T21,67,71,66,69,273,-15,"$31,150.00"
28,Stephan Jaeger,T21,70,67,70,66,273,-15,"$31,150.00"
29,Danny Lee,T21,69,68,67,69,273,-15,"$31,150.00"
30,Xinjun Zhang,T31,70,65,67,72,274,-14,"$21,700.00"
31,John VanDerLaan,T31,67,70,67,70,274,-14,"$21,700.00"
32,Johnson Wagner,T31,69,66,70,69,274,-14,"$21,700.00"
33,Billy Hurley III,T34,71,67,69,68,275,-13,"$17,675.00"
34,D.J. Trahan,T34,67,68,71,69,275,-13,"$17,675.00"
35,Shawn Stefani,T34,66,68,72,69,275,-13,"$17,675.00"
36,John Oda,T34,69,69,69,68,275,-13,"$17,675.00"
37,Sebastián Muñoz,T34,67,70,70,68,275,-13,"$17,675.00"
38,Seamus Power,T34,70,68,70,67,275,-13,"$17,675.00"
39,Michael Thompson,T40,67,69,71,69,276,-12,"$14,000.00"
40,Chris Kirk,T40,71,68,68,69,276,-12,"$14,000.00"
41,Josh Teater,T40,68,66,69,73,276,-12,"$14,000.00"
42,D.A. Points,T40,69,69,66,72,276,-12,"$14,000.00"
43,Kyle Thompson,T44,68,69,72,68,277,-11,"$10,878.00"
44,Rob Oppenheim,T44,71,67,70,69,277,-11,"$10,878.00"
45,Davis Love III,T44,68,68,66,75,277,-11,"$10,878.00"
46,Matt Atkins,T44,66,69,73,69,277,-11,"$10,878.00"
47,Charlie Wi,T44,68,66,72,71,277,-11,"$10,878.00"
48,Tyler Duncan,T49,66,72,70,70,278,-10,"$8,732.50"
49,Lanto Griffin,T49,67,71,72,68,278,-10,"$8,732.50"
50,Ricky Barnes,T49,67,69,69,73,278,-10,"$8,732.50"
51,Chris Wilson,T49,71,66,70,71,278,-10,"$8,732.50"
52,Daniel Summerhays,T53,72,67,71,69,279,-9,"$8,143.34"
53,Jonathan Randolph,T53,67,69,72,71,279,-9,"$8,143.33"
54,Martin Piller,T53,66,72,70,71,279,-9,"$8,143.33"
55,Parker McLachlin,56,69,68,73,70,280,-8,"$7,980.00"
56,Dicky Pride,T57,72,68,69,72,281,-7,"$7,840.00"
57,Cooper Musselman,T57,70,69,69,73,281,-7,"$7,840.00"
58,Will Cannon,T57,69,71,70,71,281,-7,"$7,840.00"
59,Chip McDaniel,T60,74,66,71,71,282,-6,"$7,595.00"
60,Jay Don Blake,T60,70,70,73,69,282,-6,"$7,595.00"
61,Michael Bradley,T60,69,70,74,69,282,-6,"$7,595.00"
62,Mackenzie Hughes,T60,68,70,68,76,282,-6,"$7,595.00"
63,Olin Browne,T64,70,70,73,70,283,-5,"$7,385.00"
64,John Rollins,T64,69,70,70,74,283,-5,"$7,385.00"
65,Robert Garrigus,T66,70,69,66,79,284,-4,"$7,245.00"
66,Whee Kim,T66,71,67,72,74,284,-4,"$7,245.00"
67,Brian Davis,T68,71,68,68,78,285,-3,"$7,105.00"
68,Ethan Tracy,T68,70,70,73,72,285,-3,"$7,105.00"
69,Nicholas Lindheim,T70,67,72,72,76,287,-1,"$6,930.00"
70,Neal Lancaster,T70,69,69,73,76,287,-1,"$6,930.00"
71,Shaun Micheel,T70,70,68,75,74,287,-1,"$6,930.00"
72,Jason Bohn,73,68,70,76,75,289,+1,"$6,790.00"
73,Frank Adams III,CUT,70,71,,,141,-3,$0.00
74,Matt Every,CUT,70,71,,,141,-3,$0.00
75,Spencer Levin,CUT,73,68,,,141,-3,$0.00
76,John Merrick,CUT,70,71,,,141,-3,$0.00
77,Duffy Waldorf,CUT,69,72,,,141,-3,$0.00
78,Skip Kendall,CUT,73,68,,,141,-3,$0.00
79,Cameron Tringale,CUT,72,69,,,141,-3,$0.00
80,Kevin Foley,CUT,72,69,,,141,-3,$0.00
81,Andrew Yun,CUT,73,68,,,141,-3,$0.00
82,Aaron Baddeley,CUT,68,73,,,141,-3,$0.00
83,Domenico Geminiani,CUT,74,67,,,141,-3,$0.00
84,Roberto Díaz,CUT,69,72,,,141,-3,$0.00
85,James Hahn,CUT,71,70,,,141,-3,$0.00
86,Tim Wilkinson,CUT,69,72,,,141,-3,$0.00
87,Brendon de Jonge,CUT,68,74,,,142,-2,$0.00
88,Harris English,CUT,70,72,,,142,-2,$0.00
89,Tyson Alexander,CUT,71,71,,,142,-2,$0.00
90,Cody Gribble,CUT,71,71,,,142,-2,$0.00
91,Grover Justice,CUT,72,70,,,142,-2,$0.00
92,Wesley Bryan,CUT,69,74,,,143,-1,$0.00
93,Tyrone Van Aswegen,CUT,72,71,,,143,-1,$0.00
94,Corey Conners,CUT,73,70,,,143,-1,$0.00
95,Stuart Appleby,CUT,73,71,,,144,E,$0.00
96,Robert Allenby,CUT,73,71,,,144,E,$0.00
97,Arjun Atwal,CUT,76,68,,,144,E,$0.00
98,Adam Schenk,CUT,69,75,,,144,E,$0.00
99,Martin Flores,CUT,73,71,,,144,E,$0.00
100,Tommy Gainey,CUT,73,71,,,144,E,$0.00
101,Chad Campbell,CUT,74,70,,,144,E,$0.00
102,Cameron Beckman,CUT,70,75,,,145,+1,$0.00
103,Greg Kraft,CUT,72,73,,,145,+1,$0.00
104,Dru Love,CUT,70,75,,,145,+1,$0.00
105,Brendon Todd,CUT,71,74,,,145,+1,$0.00
106,Derek Fathauer,CUT,70,75,,,145,+1,$0.00
107,Charlie Beljan,CUT,70,75,,,145,+1,$0.00
108,David Hearn,CUT,75,70,,,145,+1,$0.00
109,Ryan Wenzler,CUT,70,76,,,146,+2,$0.00
110,Tim Herron,CUT,71,75,,,146,+2,$0.00
111,Ken Duke,CUT,74,72,,,146,+2,$0.00
112,Mark Wilson,CUT,75,71,,,146,+2,$0.00
113,Ted Purdy,CUT,75,72,,,147,+3,$0.00
114,Marc Turnesa,CUT,70,77,,,147,+3,$0.00
115,Peter Lonard,CUT,72,75,,,147,+3,$0.00
116,Daniel Chopra,CUT,75,73,,,148,+4,$0.00
117,Chris Smith,CUT,73,75,,,148,+4,$0.00
118,Frank Lickliter II,CUT,78,71,,,149,+5,$0.00
119,Brett Wetterich,CUT,75,74,,,149,+5,$0.00
120,Brittany Lincicome,CUT,78,71,,,149,+5,$0.00
121,John Huston,CUT,74,78,,,152,+8,$0.00
122,Jonathan Kaye,CUT,76,76,,,152,+8,$0.00
123,Steven Bowditch,CUT,78,74,,,152,+8,$0.00
124,George McNeill,W/D,72,,,,72,E,$0.00
125,Dudley Hart,W/D,74,,,,74,+2,$0.00
126,Guy Boros,W/D,75,,,,75,+3,$0.00
127,Len Mattiace,W/D,76,,,,76,+4,$0.00
128,Chris Couch,W/D,77,,,,77,+5,$0.00
129,Omar Uresti,W/D,77,,,,77,+5,$0.00
130,Carl Pettersson,W/D,77,,,,77,+5,$0.00
131,Zecheng Dou,W/D,79,,,,79,+7,$0.00
