,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Brice Garnett,1,63,68,69,70,270,-18,"$540,000.00"
1,Keith Mitchell,2,66,66,75,67,274,-14,"$324,000.00"
2,Kelly Kraft,3,68,69,71,67,275,-13,"$204,000.00"
3,Denny McCarthy,4,66,69,71,70,276,-12,"$144,000.00"
4,Paul Dunne,T5,67,70,71,69,277,-11,"$91,687.50"
5,Tom Lovelady,T5,69,68,68,72,277,-11,"$91,687.50"
6,Seamus Power,T5,68,67,71,71,277,-11,"$91,687.50"
7,Xinjun Zhang,T5,66,68,74,69,277,-11,"$91,687.50"
8,Harris English,T5,71,69,67,70,277,-11,"$91,687.50"
9,Andrew Putnam,T5,70,68,70,69,277,-11,"$91,687.50"
10,Seungsu Han,T5,67,67,72,71,277,-11,"$91,687.50"
11,K.J. Choi,T5,71,68,72,66,277,-11,"$91,687.50"
12,George McNeill,T13,67,71,69,71,278,-10,"$53,000.00"
13,Martin Flores,T13,68,71,68,71,278,-10,"$53,000.00"
14,Shawn Stefani,T13,68,72,70,68,278,-10,"$53,000.00"
15,Joel Dahmen,T13,71,66,74,67,278,-10,"$53,000.00"
16,Corey Conners,T13,64,71,67,76,278,-10,"$53,000.00"
17,Abraham Ancer,T13,71,67,73,67,278,-10,"$53,000.00"
18,Tyler McCumber,T19,67,70,67,75,279,-9,"$39,000.00"
19,J.T. Poston,T19,72,71,69,67,279,-9,"$39,000.00"
20,Troy Matteson,T19,66,73,68,72,279,-9,"$39,000.00"
21,Fabián Gómez,T22,69,70,70,71,280,-8,"$27,850.00"
22,Tommy Gainey,T22,70,68,72,70,280,-8,"$27,850.00"
23,Geoff Ogilvy,T22,69,67,71,73,280,-8,"$27,850.00"
24,Trey Mullinax,T22,69,66,76,69,280,-8,"$27,850.00"
25,Matt Atkins,T22,69,67,72,72,280,-8,"$27,850.00"
26,Patrick Rodgers,T22,74,65,72,69,280,-8,"$27,850.00"
27,Lanto Griffin,T28,69,68,75,69,281,-7,"$19,521.43"
28,Kevin Tway,T28,67,72,68,74,281,-7,"$19,521.42"
29,David Lingmerth,T28,70,67,75,69,281,-7,"$19,521.43"
30,Nate Lashley,T28,70,70,70,71,281,-7,"$19,521.43"
31,John Merrick,T28,73,68,73,67,281,-7,"$19,521.43"
32,Steve Wheatcroft,T28,66,66,76,73,281,-7,"$19,521.43"
33,Matt Jones,T28,72,67,73,69,281,-7,"$19,521.43"
34,Rob Oppenheim,T35,70,71,70,71,282,-6,"$13,856.25"
35,Troy Merritt,T35,69,70,71,72,282,-6,"$13,856.25"
36,Matt Every,T35,69,66,76,71,282,-6,"$13,856.25"
37,Ryan Brehm,T35,73,69,71,69,282,-6,"$13,856.25"
38,Hunter Mahan,T35,70,65,76,71,282,-6,"$13,856.25"
39,Dicky Pride,T35,71,70,71,70,282,-6,"$13,856.25"
40,Retief Goosen,T35,70,70,69,73,282,-6,"$13,856.25"
41,Adam Schenk,T35,70,71,69,72,282,-6,"$13,856.25"
42,Michael Kim,T43,68,75,69,71,283,-5,"$10,800.00"
43,Rory Sabbatini,T43,72,70,72,69,283,-5,"$10,800.00"
44,Ben Crane,T45,70,72,71,71,284,-4,"$8,784.00"
45,Daniel Chopra,T45,70,68,75,71,284,-4,"$8,784.00"
46,Harold Varner III,T45,71,70,75,68,284,-4,"$8,784.00"
47,Santiago Rivas,T45,71,69,72,72,284,-4,"$8,784.00"
48,Richy Werenski,T45,71,68,74,71,284,-4,"$8,784.00"
49,Vince India,T50,73,70,71,71,285,-3,"$7,305.00"
50,Fabrizio Zanotti,T50,71,70,71,73,285,-3,"$7,305.00"
51,Emiliano Grillo,T50,72,68,73,72,285,-3,"$7,305.00"
52,David Hearn,T50,69,73,74,69,285,-3,"$7,305.00"
53,Jonathan Byrd,T54,66,74,73,73,286,-2,"$6,810.00"
54,Eric Axley,T54,72,71,72,71,286,-2,"$6,810.00"
55,Cameron Percy,T54,69,71,74,72,286,-2,"$6,810.00"
56,Chris Wood,T54,71,68,76,71,286,-2,"$6,810.00"
57,Stephan Jaeger,T54,72,68,74,72,286,-2,"$6,810.00"
58,Ethan Tracy,T54,68,69,77,72,286,-2,"$6,810.00"
59,Augusto Núñez,T60,70,71,74,72,287,-1,"$6,480.00"
60,D.J. Trahan,T60,71,72,73,71,287,-1,"$6,480.00"
61,Ricky Barnes,T60,70,68,76,73,287,-1,"$6,480.00"
62,Scott Piercy,T60,70,72,73,72,287,-1,"$6,480.00"
63,Brett Stegmaier,T60,72,69,73,73,287,-1,"$6,480.00"
64,J.J. Henry,T65,71,72,73,72,288,E,"$6,210.00"
65,Ken Duke,T65,67,75,73,73,288,E,"$6,210.00"
66,Mark Wilson,T65,69,72,73,74,288,E,"$6,210.00"
67,John Daly,T65,73,70,71,74,288,E,"$6,210.00"
68,Parker McLachlin,69,73,70,73,73,289,+1,"$6,060.00"
69,Davis Love III,T70,71,72,72,75,290,+2,"$5,970.00"
70,Johnson Wagner,T70,73,70,73,74,290,+2,"$5,970.00"
71,Brendon de Jonge,72,66,75,72,78,291,+3,"$5,880.00"
72,Mike Weir,T73,72,71,73,76,292,+4,"$5,760.00"
73,Omar Uresti,T73,71,72,71,78,292,+4,"$5,760.00"
74,Julio Santos,T73,70,72,74,76,292,+4,"$5,760.00"
75,Tim Herron,76,73,70,73,78,294,+6,"$5,640.00"
76,Cameron Beckman,T77,73,70,74,,217,+1,"$5,520.00"
77,Trevor Immelman,T77,69,74,74,,217,+1,"$5,520.00"
78,Andrew Yun,T77,71,70,76,,217,+1,"$5,520.00"
79,Stuart Appleby,80,69,74,77,,220,+4,"$5,400.00"
80,Robert Allenby,81,73,70,78,,221,+5,"$5,340.00"
81,Frank Lickliter II,CUT,71,73,,,144,E,$0.00
82,Jim Furyk,CUT,72,72,,,144,E,$0.00
83,Dudley Hart,CUT,69,75,,,144,E,$0.00
84,Jonathan Kaye,CUT,75,69,,,144,E,$0.00
85,Arjun Atwal,CUT,71,73,,,144,E,$0.00
86,Jason Gore,CUT,75,69,,,144,E,$0.00
87,Jason Bohn,CUT,74,70,,,144,E,$0.00
88,Bronson Burgoon,CUT,75,69,,,144,E,$0.00
89,Kyle Reifers,CUT,70,74,,,144,E,$0.00
90,Sam Ryder,CUT,72,72,,,144,E,$0.00
91,Zac Blair,CUT,71,74,,,145,+1,$0.00
92,Dru Love,CUT,73,72,,,145,+1,$0.00
93,Conrad Shindler,CUT,74,71,,,145,+1,$0.00
94,Smylie Kaufman,CUT,73,72,,,145,+1,$0.00
95,Rafael Campos,CUT,72,73,,,145,+1,$0.00
96,John Rollins,CUT,73,72,,,145,+1,$0.00
97,Shaun Micheel,CUT,74,71,,,145,+1,$0.00
98,Daniel Summerhays,CUT,76,70,,,146,+2,$0.00
99,Graeme McDowell,CUT,70,76,,,146,+2,$0.00
100,Carl Pettersson,CUT,75,71,,,146,+2,$0.00
101,Tyler Duncan,CUT,74,72,,,146,+2,$0.00
102,Roberto Díaz,CUT,75,71,,,146,+2,$0.00
103,Zecheng Dou,CUT,76,71,,,147,+3,$0.00
104,Hiram Silfa,CUT,71,76,,,147,+3,$0.00
105,Richard Johnson,CUT,72,75,,,147,+3,$0.00
106,Marc Turnesa,CUT,72,75,,,147,+3,$0.00
107,Brendon Todd,CUT,73,74,,,147,+3,$0.00
108,Derek Fathauer,CUT,72,75,,,147,+3,$0.00
109,Kyle Thompson,CUT,75,73,,,148,+4,$0.00
110,Robert Garrigus,CUT,74,75,,,149,+5,$0.00
111,Greg Chalmers,CUT,74,75,,,149,+5,$0.00
112,Ángel Cabrera,CUT,73,76,,,149,+5,$0.00
113,Cameron Tringale,CUT,74,75,,,149,+5,$0.00
114,Andres Romero,CUT,76,73,,,149,+5,$0.00
115,D.A. Points,CUT,79,70,,,149,+5,$0.00
116,Steven Bowditch,CUT,76,74,,,150,+6,$0.00
117,Robert Streb,CUT,74,76,,,150,+6,$0.00
118,George Riley,CUT,74,76,,,150,+6,$0.00
119,Matt Bettencourt,CUT,71,79,,,150,+6,$0.00
120,Brian Davis,CUT,77,73,,,150,+6,$0.00
121,Ted Purdy,CUT,73,77,,,150,+6,$0.00
122,Zach Zaback,CUT,74,76,,,150,+6,$0.00
123,Andrew Filbert,CUT,76,75,,,151,+7,$0.00
124,Willy Pumarol,CUT,76,75,,,151,+7,$0.00
125,Guy Boros,CUT,79,72,,,151,+7,$0.00
126,Heath Slocum,CUT,75,76,,,151,+7,$0.00
127,Keith Clearwater,CUT,77,75,,,152,+8,$0.00
128,Len Mattiace,CUT,75,77,,,152,+8,$0.00
129,Robert Gamez,CUT,77,75,,,152,+8,$0.00
130,Rhadames Pena,CUT,71,82,,,153,+9,$0.00
131,Tony Romo,CUT,77,82,,,159,+15,$0.00
