,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Justin Rose,1,66,64,66,64,260,-20,"$1,278,000.00"
1,Brooks Koepka,2,70,63,67,63,263,-17,"$766,800.00"
2,Emiliano Grillo,3,64,67,69,64,264,-16,"$482,800.00"
3,Kevin Na,4,62,73,70,61,266,-14,"$340,800.00"
4,Louis Oosthuizen,T5,67,71,64,68,270,-10,"$259,150.00"
5,Kevin Tway,T5,66,69,68,67,270,-10,"$259,150.00"
6,Jon Rahm,T5,68,70,64,68,270,-10,"$259,150.00"
7,Corey Conners,T8,71,68,63,69,271,-9,"$205,900.00"
8,Ben Crane,T8,66,69,68,68,271,-9,"$205,900.00"
9,Joaquin Niemann,T8,68,72,65,66,271,-9,"$205,900.00"
10,Tim Herron,T11,66,70,68,68,272,-8,"$163,300.00"
11,Chris Kirk,T11,66,71,67,68,272,-8,"$163,300.00"
12,Ben Silverman,T11,66,69,72,65,272,-8,"$163,300.00"
13,Rickie Fowler,T14,67,69,69,68,273,-7,"$117,150.00"
14,Danny Lee,T14,70,69,69,65,273,-7,"$117,150.00"
15,Brian Harman,T14,72,67,64,70,273,-7,"$117,150.00"
16,Tyrone Van Aswegen,T14,67,67,71,68,273,-7,"$117,150.00"
17,Ryan Armour,T14,68,68,66,71,273,-7,"$117,150.00"
18,Bill Haas,T14,67,73,69,64,273,-7,"$117,150.00"
19,Jimmy Walker,T20,68,70,70,66,274,-6,"$64,195.84"
20,Vaughn Taylor,T20,67,70,70,67,274,-6,"$64,195.84"
21,Rory Sabbatini,T20,66,71,71,66,274,-6,"$64,195.84"
22,J.T. Poston,T20,69,68,65,72,274,-6,"$64,195.83"
23,C.T. Pan,T20,68,71,70,65,274,-6,"$64,195.84"
24,Shubhankar Sharma,T20,73,68,66,67,274,-6,"$64,195.83"
25,Satoshi Kodaira,T20,66,67,71,70,274,-6,"$64,195.83"
26,Russell Knox,T20,69,69,67,69,274,-6,"$64,195.83"
27,Joel Dahmen,T20,68,69,68,69,274,-6,"$64,195.83"
28,Harris English,T20,68,67,69,70,274,-6,"$64,195.83"
29,Andrew Putnam,T20,64,72,70,68,274,-6,"$64,195.83"
30,Chesson Hadley,T20,71,71,65,67,274,-6,"$64,195.83"
31,Brian Stuard,T32,70,72,68,65,275,-5,"$36,068.00"
32,Jordan Spieth,T32,69,68,70,68,275,-5,"$36,068.00"
33,Ben Martin,T32,66,71,68,70,275,-5,"$36,068.00"
34,Michael Thompson,T32,70,72,64,69,275,-5,"$36,068.00"
35,Jason Kokrak,T32,69,67,68,71,275,-5,"$36,068.00"
36,William McGirt,T32,70,67,67,71,275,-5,"$36,068.00"
37,Conrad Shindler,T32,73,68,68,66,275,-5,"$36,068.00"
38,Nicholas Lindheim,T32,70,72,69,64,275,-5,"$36,068.00"
39,Steve Stricker,T32,65,72,68,70,275,-5,"$36,068.00"
40,Matt Kuchar,T32,67,73,65,70,275,-5,"$36,068.00"
41,Pat Perez,T42,70,70,71,65,276,-4,"$21,811.20"
42,Tom Hoge,T42,69,66,72,69,276,-4,"$21,811.20"
43,Maverick McNealy,T42,69,72,70,65,276,-4,"$21,811.20"
44,Derek Fathauer,T42,67,70,66,73,276,-4,"$21,811.20"
45,Chad Campbell,T42,69,70,68,69,276,-4,"$21,811.20"
46,"Ted Potter, Jr.",T42,68,72,63,73,276,-4,"$21,811.20"
47,Brandt Snedeker,T42,70,71,68,67,276,-4,"$21,811.20"
48,John Huh,T42,69,71,68,68,276,-4,"$21,811.20"
49,Mackenzie Hughes,T42,73,68,66,69,276,-4,"$21,811.20"
50,Bryson DeChambeau,T42,68,67,71,70,276,-4,"$21,811.20"
51,Robert Streb,T52,72,67,70,68,277,-3,"$16,472.00"
52,Adam Hadwin,T52,68,72,68,69,277,-3,"$16,472.00"
53,Kevin Kisner,T52,72,68,71,66,277,-3,"$16,472.00"
54,Abraham Ancer,T52,70,68,66,73,277,-3,"$16,472.00"
55,Adam Scott,T52,69,73,71,64,277,-3,"$16,472.00"
56,Charley Hoffman,T52,63,73,69,72,277,-3,"$16,472.00"
57,Stewart Cink,T58,67,70,69,72,278,-2,"$15,549.00"
58,Tom Lovelady,T58,67,69,70,72,278,-2,"$15,549.00"
59,Trey Mullinax,T58,69,70,70,69,278,-2,"$15,549.00"
60,Anirban Lahiri,T58,67,74,68,69,278,-2,"$15,549.00"
61,Russell Henley,T58,72,67,69,70,278,-2,"$15,549.00"
62,Whee Kim,T58,71,67,68,72,278,-2,"$15,549.00"
63,Beau Hossler,T64,64,71,71,73,279,-1,"$14,981.00"
64,Patton Kizzire,T64,71,70,68,70,279,-1,"$14,981.00"
65,Shawn Stefani,T66,66,73,70,71,280,E,"$14,484.00"
66,Jim Furyk,T66,70,70,71,69,280,E,"$14,484.00"
67,Alex Cejka,T66,66,69,76,69,280,E,"$14,484.00"
68,Si Woo Kim,T66,69,73,65,73,280,E,"$14,484.00"
69,Brandon Harkins,T66,69,69,73,69,280,E,"$14,484.00"
70,Wesley Bryan,T71,69,73,66,73,281,+1,"$13,987.00"
71,Tyler Duncan,T71,72,69,71,69,281,+1,"$13,987.00"
72,Jhonattan Vegas,73,64,77,70,71,282,+2,"$13,774.00"
73,Richy Werenski,T74,68,73,68,74,283,+3,"$13,561.00"
74,Ollie Schniederjans,T74,69,73,70,71,283,+3,"$13,561.00"
75,Kevin Streelman,76,69,67,72,76,284,+4,"$13,348.00"
76,Martin Piller,T77,67,71,70,78,286,+6,"$13,135.00"
77,John Senden,T77,72,70,71,73,286,+6,"$13,135.00"
78,J.J. Henry,CUT,71,72,,,143,+3,$0.00
79,Sung Kang,CUT,73,78,,,151,+11,$0.00
80,Andrew Landry,CUT,70,77,,,147,+7,$0.00
