,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Tiger Woods,1,65,68,65,71,269,-11,"$1,620,000.00"
1,Billy Horschel,2,71,65,69,66,271,-9,"$972,000.00"
2,Dustin Johnson,3,69,70,67,67,273,-7,"$621,000.00"
3,Webb Simpson,T4,69,70,68,67,274,-6,"$372,000.00"
4,Justin Rose,T4,66,67,68,73,274,-6,"$372,000.00"
5,Hideki Matsuyama,T4,72,66,71,65,274,-6,"$372,000.00"
6,Justin Thomas,T7,67,69,70,69,275,-5,"$279,900.00"
7,Xander Schauffele,T7,68,70,68,69,275,-5,"$279,900.00"
8,Rory McIlroy,T7,67,68,66,74,275,-5,"$279,900.00"
9,Rickie Fowler,T7,65,72,73,65,275,-5,"$279,900.00"
10,Gary Woodland,T11,66,72,68,70,276,-4,"$225,450.00"
11,Tommy Fleetwood,T11,69,69,70,68,276,-4,"$225,450.00"
12,Paul Casey,T11,68,71,66,71,276,-4,"$225,450.00"
13,Jon Rahm,T11,68,68,68,72,276,-4,"$225,450.00"
14,Aaron Wise,T15,70,69,67,71,277,-3,"$190,800.00"
15,Tony Finau,T15,67,71,67,72,277,-3,"$190,800.00"
16,Kyle Stanley,T15,69,68,67,73,277,-3,"$190,800.00"
17,Jason Day,18,68,73,69,68,278,-2,"$180,000.00"
18,Bryson DeChambeau,19,71,75,66,67,279,-1,"$176,400.00"
19,Cameron Smith,20,70,73,69,68,280,E,"$172,800.00"
20,Patrick Cantlay,T21,71,65,76,69,281,+1,"$163,800.00"
21,Marc Leishman,T21,73,69,68,71,281,+1,"$163,800.00"
22,Francesco Molinari,T21,70,75,69,67,281,+1,"$163,800.00"
23,Patton Kizzire,T21,71,71,68,71,281,+1,"$163,800.00"
24,Kevin Na,25,72,68,72,71,283,+3,"$154,800.00"
25,Brooks Koepka,T26,69,78,67,70,284,+4,"$150,300.00"
26,Keegan Bradley,T26,73,73,69,69,284,+4,"$150,300.00"
27,Patrick Reed,28,72,74,72,71,289,+9,"$147,600.00"
28,Bubba Watson,29,70,72,73,75,290,+10,"$145,800.00"
29,Phil Mickelson,30,73,72,76,72,293,+13,"$144,000.00"
