,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jason Day,1,69,67,67,69,272,-12,"$1,386,000.00"
1,Nick Watney,T2,72,67,66,69,274,-10,"$677,600.00"
2,Aaron Wise,T2,68,68,70,68,274,-10,"$677,600.00"
3,Bryson DeChambeau,4,75,65,66,70,276,-8,"$369,600.00"
4,Paul Casey,T5,69,68,69,71,277,-7,"$281,050.00"
5,Phil Mickelson,T5,72,72,64,69,277,-7,"$281,050.00"
6,Peter Uihlein,T5,72,72,62,71,277,-7,"$281,050.00"
7,Patrick Reed,8,71,71,67,69,278,-6,"$238,700.00"
8,Sam Saunders,T9,70,69,68,72,279,-5,"$200,200.00"
9,Charl Schwartzel,T9,70,67,70,72,279,-5,"$200,200.00"
10,Emiliano Grillo,T9,68,71,71,69,279,-5,"$200,200.00"
11,Luke List,T9,70,72,67,70,279,-5,"$200,200.00"
12,Johnson Wagner,T13,67,71,69,73,280,-4,"$148,866.66"
13,Talor Gooch,T13,71,72,66,71,280,-4,"$148,866.67"
14,Kyle Stanley,T13,67,72,71,70,280,-4,"$148,866.67"
15,Adam Hadwin,T16,73,71,65,72,281,-3,"$115,500.00"
16,Rory McIlroy,T16,68,76,66,71,281,-3,"$115,500.00"
17,Francesco Molinari,T16,70,72,68,71,281,-3,"$115,500.00"
18,Chesson Hadley,T16,70,74,66,71,281,-3,"$115,500.00"
19,Joel Dahmen,T16,70,71,70,70,281,-3,"$115,500.00"
20,Greg Chalmers,T21,71,70,70,71,282,-2,"$77,000.00"
21,Charles Howell III,T21,71,68,71,72,282,-2,"$77,000.00"
22,Webb Simpson,T21,72,70,71,69,282,-2,"$77,000.00"
23,Tony Finau,T21,69,76,71,66,282,-2,"$77,000.00"
24,Justin Thomas,T21,73,69,70,70,282,-2,"$77,000.00"
25,Rickie Fowler,T21,72,69,68,73,282,-2,"$77,000.00"
26,Cameron Tringale,T27,70,70,70,73,283,-1,"$52,360.00"
27,Seamus Power,T27,74,71,68,70,283,-1,"$52,360.00"
28,Jonas Blixt,T27,71,71,69,72,283,-1,"$52,360.00"
29,Rory Sabbatini,T27,71,71,73,68,283,-1,"$52,360.00"
30,Graeme McDowell,T27,71,73,67,72,283,-1,"$52,360.00"
31,Alex Cejka,T27,70,71,71,71,283,-1,"$52,360.00"
32,"Ted Potter, Jr.",T27,72,71,69,71,283,-1,"$52,360.00"
33,Peter Malnati,T34,67,68,75,74,284,E,"$37,248.75"
34,Shane Lowry,T34,74,70,71,69,284,E,"$37,248.75"
35,Beau Hossler,T34,68,76,69,71,284,E,"$37,248.75"
36,Tom Lovelady,T34,68,76,72,68,284,E,"$37,248.75"
37,Patrick Rodgers,T34,71,73,72,68,284,E,"$37,248.75"
38,Keith Mitchell,T34,67,74,75,68,284,E,"$37,248.75"
39,Austin Cook,T34,71,72,69,72,284,E,"$37,248.75"
40,Ollie Schniederjans,T34,68,73,73,70,284,E,"$37,248.75"
41,Corey Conners,T42,75,69,69,72,285,+1,"$22,389.23"
42,John Peterson,T42,65,77,72,71,285,+1,"$22,389.23"
43,Robert Streb,T42,73,72,69,71,285,+1,"$22,389.23"
44,Brooks Koepka,T42,72,72,71,70,285,+1,"$22,389.23"
45,Tyrrell Hatton,T42,67,73,72,73,285,+1,"$22,389.23"
46,Shawn Stefani,T42,71,69,73,72,285,+1,"$22,389.23"
47,Michael Thompson,T42,68,73,69,75,285,+1,"$22,389.23"
48,Troy Merritt,T42,72,69,70,74,285,+1,"$22,389.23"
49,Jason Dufner,T42,68,72,73,72,285,+1,"$22,389.23"
50,Jhonattan Vegas,T42,70,74,72,69,285,+1,"$22,389.24"
51,J.B. Holmes,T42,71,73,69,72,285,+1,"$22,389.23"
52,Martin Kaymer,T42,73,67,73,72,285,+1,"$22,389.23"
53,Vaughn Taylor,T42,74,68,71,72,285,+1,"$22,389.23"
54,Sam Burns,T55,69,70,73,74,286,+2,"$17,479.00"
55,Tiger Woods,T55,71,73,68,74,286,+2,"$17,479.00"
56,Harold Varner III,T55,72,72,68,74,286,+2,"$17,479.00"
57,Daniel Berger,T55,73,69,69,75,286,+2,"$17,479.00"
58,T.J. Vogel,T59,69,75,71,72,287,+3,"$16,863.00"
59,Mackenzie Hughes,T59,71,73,70,73,287,+3,"$16,863.00"
60,Grayson Murray,T59,73,71,71,72,287,+3,"$16,863.00"
61,Martin Flores,T59,72,73,71,71,287,+3,"$16,863.00"
62,Ross Fisher,T63,69,73,71,75,288,+4,"$16,247.00"
63,Byeong Hun An,T63,73,70,70,75,288,+4,"$16,247.00"
64,Brandon Harkins,T63,73,71,68,76,288,+4,"$16,247.00"
65,Sean O'Hair,T63,72,70,72,74,288,+4,"$16,247.00"
66,Bud Cauley,T67,69,76,71,73,289,+5,"$15,708.00"
67,Chris Stroud,T67,73,72,71,73,289,+5,"$15,708.00"
68,Blayne Barber,T67,71,73,70,75,289,+5,"$15,708.00"
69,Jonathan Randolph,T70,74,69,72,75,290,+6,"$15,323.00"
70,Xinjun Zhang,T70,71,69,74,76,290,+6,"$15,323.00"
71,Stewart Cink,T72,71,72,72,76,291,+7,"$15,015.00"
72,Xander Schauffele,T72,74,71,71,75,291,+7,"$15,015.00"
73,Brian Harman,74,72,73,68,81,294,+10,"$14,784.00"
74,Brice Garnett,75,71,72,73,88,304,+20,"$14,630.00"
75,Hideki Matsuyama,T76,77,68,72,,217,+4,"$14,168.00"
76,Keegan Bradley,T76,68,77,72,,217,+4,"$14,168.00"
77,Adam Scott,T76,75,70,72,,217,+4,"$14,168.00"
78,C.T. Pan,T76,73,70,74,,217,+4,"$14,168.00"
79,Tom Hoge,T76,73,72,72,,217,+4,"$14,168.00"
80,Billy Hurley III,81,71,74,73,,218,+5,"$13,706.00"
81,Tyrone Van Aswegen,T82,72,73,74,,219,+6,"$13,475.00"
82,Andrew Putnam,T82,74,71,74,,219,+6,"$13,475.00"
83,Tyler Duncan,T84,73,72,75,,220,+7,"$13,013.00"
84,Ryan Blaum,T84,75,70,75,,220,+7,"$13,013.00"
85,Fabián Gómez,T84,71,74,75,,220,+7,"$13,013.00"
86,J.J. Henry,T84,73,72,75,,220,+7,"$13,013.00"
87,Rod Pampling,CUT,71,76,,,147,+5,$0.00
88,Geoff Ogilvy,CUT,68,81,,,149,+7,$0.00
89,Aaron Baddeley,CUT,71,77,,,148,+6,$0.00
90,Kyle Thompson,CUT,74,78,,,152,+10,$0.00
91,Bill Haas,CUT,72,74,,,146,+4,$0.00
92,D.A. Points,CUT,76,71,,,147,+5,$0.00
93,Nick Taylor,CUT,77,70,,,147,+5,$0.00
94,Alex Noren,CUT,73,76,,,149,+7,$0.00
95,Lucas Glover,CUT,74,74,,,148,+6,$0.00
96,Louis Oosthuizen,CUT,74,72,,,146,+4,$0.00
97,Dylan Frittelli,CUT,77,70,,,147,+5,$0.00
98,Rob Oppenheim,CUT,72,79,,,151,+9,$0.00
99,Jonathan Byrd,CUT,71,76,,,147,+5,$0.00
100,Kevin Streelman,CUT,79,71,,,150,+8,$0.00
101,Sam Ryder,CUT,71,75,,,146,+4,$0.00
102,Nicholas Lindheim,CUT,75,75,,,150,+8,$0.00
103,Dru Love,CUT,79,74,,,153,+11,$0.00
104,Ryan Ruffels,CUT,78,72,,,150,+8,$0.00
105,Joaquin Niemann,CUT,72,74,,,146,+4,$0.00
106,Abraham Ancer,CUT,72,78,,,150,+8,$0.00
107,Retief Goosen,CUT,77,69,,,146,+4,$0.00
