,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Justin Thomas,1,65,69,61,68,263,-25,"$1,665,000.00"
1,Patrick Cantlay,2,66,67,68,65,266,-22,"$999,000.00"
2,Hideki Matsuyama,3,69,63,73,63,268,-20,"$629,000.00"
3,Tony Finau,4,67,66,68,69,270,-18,"$444,000.00"
4,Brandt Snedeker,T5,66,71,67,68,272,-16,"$351,500.00"
5,Jon Rahm,T5,68,69,66,69,272,-16,"$351,500.00"
6,Corey Conners,T7,69,66,69,69,273,-15,"$298,312.50"
7,Lucas Glover,T7,66,69,69,69,273,-15,"$298,312.50"
8,Adam Scott,T9,67,71,69,67,274,-14,"$259,000.00"
9,Kevin Kisner,T9,68,68,69,69,274,-14,"$259,000.00"
10,Tommy Fleetwood,T11,70,66,70,69,275,-13,"$196,100.00"
11,Louis Oosthuizen,T11,70,69,68,68,275,-13,"$196,100.00"
12,Sungjae Im,T11,70,72,66,67,275,-13,"$196,100.00"
13,Rickie Fowler,T11,67,70,68,70,275,-13,"$196,100.00"
14,Kevin Tway,T11,69,67,70,69,275,-13,"$196,100.00"
15,J.T. Poston,T16,68,74,66,68,276,-12,"$148,000.00"
16,Vaughn Taylor,T16,73,70,67,66,276,-12,"$148,000.00"
17,Rory Sabbatini,T16,67,68,67,74,276,-12,"$148,000.00"
18,Rory McIlroy,T19,69,67,70,71,277,-11,"$112,110.00"
19,Marc Leishman,T19,72,71,67,67,277,-11,"$112,110.00"
20,Xander Schauffele,T19,67,68,70,72,277,-11,"$112,110.00"
21,Jason Kokrak,T19,65,73,70,69,277,-11,"$112,110.00"
22,Patrick Reed,T19,68,71,68,70,277,-11,"$112,110.00"
23,Joel Dahmen,T24,66,71,69,72,278,-10,"$78,856.25"
24,Brooks Koepka,T24,68,71,72,67,278,-10,"$78,856.25"
25,Webb Simpson,T24,70,72,67,69,278,-10,"$78,856.25"
26,Paul Casey,T24,70,70,67,71,278,-10,"$78,856.25"
27,Si Woo Kim,T28,70,67,71,71,279,-9,"$65,675.00"
28,Byeong Hun An,T28,71,70,69,69,279,-9,"$65,675.00"
29,Abraham Ancer,T28,68,72,69,70,279,-9,"$65,675.00"
30,Joaquin Niemann,T31,74,65,69,72,280,-8,"$53,650.00"
31,Wyndham Clark,T31,69,73,65,73,280,-8,"$53,650.00"
32,Gary Woodland,T31,70,73,64,73,280,-8,"$53,650.00"
33,Emiliano Grillo,T31,72,70,68,70,280,-8,"$53,650.00"
34,Ian Poulter,T31,70,70,71,69,280,-8,"$53,650.00"
35,C.T. Pan,T31,71,67,70,72,280,-8,"$53,650.00"
36,Billy Horschel,T37,71,73,69,68,281,-7,"$40,700.00"
37,Scott Piercy,T37,67,73,70,71,281,-7,"$40,700.00"
38,Ryan Moore,T37,71,69,69,72,281,-7,"$40,700.00"
39,Tiger Woods,T37,71,71,67,72,281,-7,"$40,700.00"
40,Charles Howell III,T37,70,69,73,69,281,-7,"$40,700.00"
41,Jordan Spieth,T37,70,71,70,70,281,-7,"$40,700.00"
42,Keegan Bradley,T43,69,74,68,71,282,-6,"$30,525.00"
43,Troy Merritt,T43,69,76,71,66,282,-6,"$30,525.00"
44,Andrew Putnam,T43,71,69,73,69,282,-6,"$30,525.00"
45,Adam Hadwin,T43,67,68,71,76,282,-6,"$30,525.00"
46,Ryan Palmer,T43,68,72,70,72,282,-6,"$30,525.00"
47,Phil Mickelson,T48,70,73,69,71,283,-5,"$23,865.00"
48,Bryson DeChambeau,T48,71,71,71,70,283,-5,"$23,865.00"
49,Collin Morikawa,T48,67,73,72,71,283,-5,"$23,865.00"
50,Shane Lowry,T48,72,74,68,69,283,-5,"$23,865.00"
51,Keith Mitchell,T52,72,74,67,71,284,-4,"$21,571.00"
52,Justin Rose,T52,68,73,73,70,284,-4,"$21,571.00"
53,Matt Kuchar,T52,71,70,73,70,284,-4,"$21,571.00"
54,Jason Day,T52,70,71,69,74,284,-4,"$21,571.00"
55,Dylan Frittelli,T52,72,69,71,72,284,-4,"$21,571.00"
56,Dustin Johnson,T57,70,72,72,71,285,-3,"$20,627.50"
57,Jim Furyk,T57,66,72,75,72,285,-3,"$20,627.50"
58,Graeme McDowell,T57,69,72,73,71,285,-3,"$20,627.50"
59,Chez Reavie,T57,67,68,74,76,285,-3,"$20,627.50"
60,Francesco Molinari,T61,72,73,68,73,286,-2,"$20,072.50"
61,Max Homa,T61,70,67,71,78,286,-2,"$20,072.50"
62,Rafa Cabrera Bello,T63,69,72,74,72,287,-1,"$19,702.50"
63,Sung Kang,T63,69,73,73,72,287,-1,"$19,702.50"
64,J.B. Holmes,T65,69,71,76,72,288,E,"$19,240.00"
65,Cameron Champ,T65,71,68,78,71,288,E,"$19,240.00"
66,Adam Long,T65,72,70,71,75,288,E,"$19,240.00"
67,Harold Varner III,68,72,74,71,72,289,+1,"$18,870.00"
68,Nate Lashley,69,72,73,70,76,291,+3,"$18,685.00"
