,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Adam Long,1,63,71,63,65,262,-26,"$1,062,000.00"
1,Phil Mickelson,T2,60,68,66,69,263,-25,"$519,200.00"
2,Adam Hadwin,T2,65,66,65,67,263,-25,"$519,200.00"
3,Talor Gooch,4,67,67,66,64,264,-24,"$283,200.00"
4,Dominic Bozzelli,5,67,69,64,66,266,-22,"$236,000.00"
5,Jon Rahm,6,66,66,68,67,267,-21,"$212,400.00"
6,J.T. Poston,T7,68,68,64,69,269,-19,"$190,275.00"
7,Vaughn Taylor,T7,68,66,69,66,269,-19,"$190,275.00"
8,Sean O'Hair,T9,66,67,68,69,270,-18,"$159,300.00"
9,Michael Thompson,T9,68,66,65,71,270,-18,"$159,300.00"
10,Patrick Cantlay,T9,67,66,66,71,270,-18,"$159,300.00"
11,Daniel Berger,T12,67,67,69,68,271,-17,"$112,100.00"
12,Sungjae Im,T12,71,65,64,71,271,-17,"$112,100.00"
13,Nate Lashley,T12,72,68,66,65,271,-17,"$112,100.00"
14,Roger Sloan,T12,70,68,68,65,271,-17,"$112,100.00"
15,Scott Langley,T12,70,65,66,70,271,-17,"$112,100.00"
16,Lucas Glover,T12,68,68,68,67,271,-17,"$112,100.00"
17,Steve Marino,T18,66,65,67,74,272,-16,"$64,723.00"
18,Aaron Baddeley,T18,71,68,68,65,272,-16,"$64,723.00"
19,Peter Malnati,T18,70,65,68,69,272,-16,"$64,723.00"
20,Russell Knox,T18,73,66,64,69,272,-16,"$64,723.00"
21,Jason Kokrak,T18,71,65,66,70,272,-16,"$64,723.00"
22,Adam Svensson,T18,66,68,69,69,272,-16,"$64,723.00"
23,Harold Varner III,T18,68,67,68,69,272,-16,"$64,723.00"
24,Sam Burns,T18,68,66,68,70,272,-16,"$64,723.00"
25,Abraham Ancer,T18,66,67,73,66,272,-16,"$64,723.00"
26,Wyndham Clark,T18,65,67,72,68,272,-16,"$64,723.00"
27,Cam Davis,T28,67,70,67,69,273,-15,"$39,235.00"
28,Dylan Frittelli,T28,72,67,64,70,273,-15,"$39,235.00"
29,Andrew Landry,T28,68,67,69,69,273,-15,"$39,235.00"
30,José de Jesús Rodríguez,T28,67,70,69,67,273,-15,"$39,235.00"
31,Zach Johnson,T28,71,68,64,70,273,-15,"$39,235.00"
32,Chez Reavie,T28,67,68,69,69,273,-15,"$39,235.00"
33,Kevin Streelman,T34,70,66,68,70,274,-14,"$29,795.00"
34,Justin Rose,T34,68,68,68,70,274,-14,"$29,795.00"
35,Charles Howell III,T34,67,69,68,70,274,-14,"$29,795.00"
36,Andrew Putnam,T34,70,69,67,68,274,-14,"$29,795.00"
37,Trey Mullinax,T34,65,71,67,71,274,-14,"$29,795.00"
38,Anders Albertson,T34,68,69,70,67,274,-14,"$29,795.00"
39,Kramer Hickok,T40,67,72,68,68,275,-13,"$19,663.09"
40,Cody Gribble,T40,70,67,68,70,275,-13,"$19,663.10"
41,Si Woo Kim,T40,70,70,67,68,275,-13,"$19,663.09"
42,Sam Ryder,T40,72,66,66,71,275,-13,"$19,663.09"
43,Robert Streb,T40,66,70,68,71,275,-13,"$19,663.09"
44,Julián Etulain,T40,71,66,69,69,275,-13,"$19,663.09"
45,Roberto Castro,T40,71,67,69,68,275,-13,"$19,663.09"
46,Brian Stuard,T40,70,68,68,69,275,-13,"$19,663.09"
47,Alex Cejka,T40,66,68,68,73,275,-13,"$19,663.09"
48,Josh Teater,T40,68,69,67,71,275,-13,"$19,663.09"
49,Nick Taylor,T40,70,66,67,72,275,-13,"$19,663.09"
50,Nick Watney,T51,68,70,68,70,276,-12,"$13,884.67"
51,C.T. Pan,T51,66,70,70,70,276,-12,"$13,884.67"
52,Harris English,T51,70,70,67,69,276,-12,"$13,884.66"
53,Cameron Tringale,T51,70,71,66,69,276,-12,"$13,884.66"
54,J.J. Spaun,T51,69,67,68,72,276,-12,"$13,884.67"
55,Tyler Duncan,T51,73,66,66,71,276,-12,"$13,884.67"
