,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,J.B. Holmes,1,63,69,68,70,270,-14,"$1,332,000.00"
1,Justin Thomas,2,66,65,65,75,271,-13,"$799,200.00"
2,Si Woo Kim,3,68,70,68,66,272,-12,"$503,200.00"
3,Marc Leishman,T4,69,69,67,68,273,-11,"$325,600.00"
4,Rory McIlroy,T4,72,63,69,69,273,-11,"$325,600.00"
5,Charles Howell III,6,69,69,68,69,275,-9,"$266,400.00"
6,Adam Scott,T7,66,65,69,76,276,-8,"$238,650.00"
7,Michael Thompson,T7,69,64,73,70,276,-8,"$238,650.00"
8,Hideki Matsuyama,T9,71,69,70,67,277,-7,"$177,600.00"
9,Dustin Johnson,T9,73,66,69,69,277,-7,"$177,600.00"
10,Carlos Ortiz,T9,67,72,69,69,277,-7,"$177,600.00"
11,Vaughn Taylor,T9,67,69,74,67,277,-7,"$177,600.00"
12,Jon Rahm,T9,67,70,69,71,277,-7,"$177,600.00"
13,Kelly Kraft,T9,69,68,69,71,277,-7,"$177,600.00"
14,Patrick Rodgers,T15,66,67,73,72,278,-6,"$100,788.00"
15,Patrick Cantlay,T15,68,71,70,69,278,-6,"$100,788.00"
16,Bryson DeChambeau,T15,70,68,69,71,278,-6,"$100,788.00"
17,Xander Schauffele,T15,74,68,67,69,278,-6,"$100,788.00"
18,Beau Hossler,T15,68,69,70,71,278,-6,"$100,788.00"
19,Bubba Watson,T15,70,66,69,73,278,-6,"$100,788.00"
20,Tiger Woods,T15,70,71,65,72,278,-6,"$100,788.00"
21,Tony Finau,T15,66,68,72,72,278,-6,"$100,788.00"
22,Luke List,T15,71,66,73,68,278,-6,"$100,788.00"
23,Jonas Blixt,T15,71,68,66,73,278,-6,"$100,788.00"
24,Rafa Cabrera Bello,T25,68,71,69,71,279,-5,"$60,433.34"
25,K.H. Lee,T25,72,69,68,70,279,-5,"$60,433.33"
26,Paul Casey,T25,70,66,71,72,279,-5,"$60,433.33"
27,Matt Kuchar,T28,68,72,69,71,280,-4,"$50,320.00"
28,Ryan Moore,T28,68,72,73,67,280,-4,"$50,320.00"
29,Tommy Fleetwood,T28,70,69,70,71,280,-4,"$50,320.00"
30,Dylan Frittelli,T28,68,72,72,68,280,-4,"$50,320.00"
31,J.T. Poston,T28,67,70,70,73,280,-4,"$50,320.00"
32,Kyle Jones,T33,68,67,70,76,281,-3,"$40,885.00"
33,Danny Willett,T33,71,71,69,70,281,-3,"$40,885.00"
34,Kevin Na,T33,70,70,69,72,281,-3,"$40,885.00"
35,Nick Taylor,T33,70,71,68,72,281,-3,"$40,885.00"
36,Sergio Garcia,T37,75,67,69,71,282,-2,"$31,820.00"
37,Scott Brown,T37,70,71,69,72,282,-2,"$31,820.00"
38,Jim Furyk,T37,67,73,70,72,282,-2,"$31,820.00"
39,Phil Mickelson,T37,72,69,71,70,282,-2,"$31,820.00"
40,Scott Langley,T37,69,70,70,73,282,-2,"$31,820.00"
41,Jason Kokrak,T37,69,73,68,72,282,-2,"$31,820.00"
42,Max Homa,T37,69,70,74,69,282,-2,"$31,820.00"
43,Abraham Ancer,T44,69,71,70,73,283,-1,"$22,999.20"
44,Russell Henley,T44,69,73,66,75,283,-1,"$22,999.20"
45,Joaquin Niemann,T44,71,66,72,74,283,-1,"$22,999.20"
46,Peter Malnati,T44,72,69,70,72,283,-1,"$22,999.20"
47,C.T. Pan,T44,69,73,69,72,283,-1,"$22,999.20"
48,Aaron Baddeley,T49,69,71,71,73,284,E,"$18,944.00"
49,Cameron Smith,T49,72,69,69,74,284,E,"$18,944.00"
50,Alex Cejka,T51,70,70,73,72,285,+1,"$17,523.20"
51,Bill Haas,T51,67,72,71,75,285,+1,"$17,523.20"
52,Jordan Spieth,T51,64,70,70,81,285,+1,"$17,523.20"
53,Keegan Bradley,T51,66,74,75,70,285,+1,"$17,523.20"
54,Brian Harman,T51,69,71,75,70,285,+1,"$17,523.20"
55,Ernie Els,T56,71,71,71,73,286,+2,"$16,650.00"
56,Freddie Jacobson,T56,70,71,68,77,286,+2,"$16,650.00"
57,Pat Perez,T56,69,73,68,76,286,+2,"$16,650.00"
58,Sam Ryder,T56,69,71,75,71,286,+2,"$16,650.00"
59,Brian Gay,T60,71,69,71,76,287,+3,"$16,058.00"
60,Martin Kaymer,T60,71,69,75,72,287,+3,"$16,058.00"
61,Peter Uihlein,T60,69,73,68,77,287,+3,"$16,058.00"
62,Brian Stuard,T60,69,70,73,75,287,+3,"$16,058.00"
63,Shawn Stefani,T64,72,70,73,74,289,+5,"$15,318.00"
64,Seamus Power,T64,70,72,75,72,289,+5,"$15,318.00"
65,Sung Kang,T64,69,72,78,70,289,+5,"$15,318.00"
66,"Ted Potter, Jr.",T64,70,69,77,73,289,+5,"$15,318.00"
67,Robert Garrigus,T64,69,71,73,76,289,+5,"$15,318.00"
68,Kramer Hickok,T64,66,74,71,78,289,+5,"$15,318.00"
69,Stephan Jaeger,T70,71,71,72,76,290,+6,"$14,652.00"
70,Davis Love III,T70,69,71,74,76,290,+6,"$14,652.00"
71,Tae Hee Lee,T70,68,74,75,73,290,+6,"$14,652.00"
