,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Nate Lashley,1,63,67,63,70,263,-25,"$1,314,000.00"
1,Doc Redman,2,68,67,67,67,269,-19,"$788,400.00"
2,Rory Sabbatini,T3,65,69,68,68,270,-18,"$423,400.00"
3,Wes Roach,T3,67,68,67,68,270,-18,"$423,400.00"
4,Patrick Reed,T5,68,68,65,70,271,-17,"$239,075.00"
5,Brian Stuard,T5,66,72,65,68,271,-17,"$239,075.00"
6,Cameron Tringale,T5,68,67,65,71,271,-17,"$239,075.00"
7,"Ted Potter, Jr.",T5,68,67,68,68,271,-17,"$239,075.00"
8,Brandt Snedeker,T5,70,69,65,67,271,-17,"$239,075.00"
9,Joaquin Niemann,T5,68,66,69,68,271,-17,"$239,075.00"
10,J.T. Poston,T11,70,63,66,73,272,-16,"$175,200.00"
11,Sepp Straka,T11,68,67,70,67,272,-16,"$175,200.00"
12,Viktor Hovland,T13,70,69,70,64,273,-15,"$136,875.00"
13,Hideki Matsuyama,T13,68,67,68,70,273,-15,"$136,875.00"
14,Byeong Hun An,T13,68,66,69,70,273,-15,"$136,875.00"
15,J.J. Spaun,T13,66,73,68,66,273,-15,"$136,875.00"
16,Billy Horschel,T17,69,70,71,64,274,-14,"$105,850.00"
17,Brice Garnett,T17,69,67,71,67,274,-14,"$105,850.00"
18,Talor Gooch,T17,65,72,67,70,274,-14,"$105,850.00"
19,Wyndham Clark,T17,68,70,68,68,274,-14,"$105,850.00"
20,Denny McCarthy,T21,69,68,69,69,275,-13,"$68,528.75"
21,Danny Lee,T21,66,71,69,69,275,-13,"$68,528.75"
22,Kyle Stanley,T21,69,69,70,67,275,-13,"$68,528.75"
23,Jimmy Walker,T21,68,71,70,66,275,-13,"$68,528.75"
24,J.B. Holmes,T21,67,68,70,70,275,-13,"$68,528.75"
25,Sungjae Im,T21,69,68,66,72,275,-13,"$68,528.75"
26,Mackenzie Hughes,T21,66,70,72,67,275,-13,"$68,528.75"
27,Roger Sloan,T21,70,68,69,68,275,-13,"$68,528.75"
28,Martin Piller,T29,66,69,71,70,276,-12,"$46,415.83"
29,Jason Kokrak,T29,66,71,68,71,276,-12,"$46,415.83"
30,Peter Malnati,T29,68,66,68,74,276,-12,"$46,415.83"
31,Cameron Smith,T29,70,68,71,67,276,-12,"$46,415.84"
32,Jonas Blixt,T29,67,68,72,69,276,-12,"$46,415.84"
33,Joey Garber,T29,67,72,68,69,276,-12,"$46,415.83"
34,Aaron Wise,T35,69,69,67,72,277,-11,"$34,466.43"
35,Bronson Burgoon,T35,66,70,72,69,277,-11,"$34,466.43"
36,Kevin Streelman,T35,66,70,68,73,277,-11,"$34,466.43"
37,Josh Teater,T35,68,69,73,67,277,-11,"$34,466.43"
38,Nick Taylor,T35,68,70,69,70,277,-11,"$34,466.43"
39,Charles Howell III,T35,65,67,71,74,277,-11,"$34,466.42"
40,Shawn Stefani,T35,69,70,68,70,277,-11,"$34,466.43"
41,Anirban Lahiri,T42,69,68,72,69,278,-10,"$26,280.00"
42,Max Homa,T42,68,69,71,70,278,-10,"$26,280.00"
43,Adam Schenk,T42,65,71,71,71,278,-10,"$26,280.00"
44,Sam Burns,T42,70,67,71,70,278,-10,"$26,280.00"
45,Rickie Fowler,T46,68,68,72,71,279,-9,"$18,980.00"
46,Chase Wright,T46,65,70,73,71,279,-9,"$18,980.00"
47,Vaughn Taylor,T46,70,69,69,71,279,-9,"$18,980.00"
48,Luke Donald,T46,67,69,72,71,279,-9,"$18,980.00"
49,Cameron Champ,T46,66,65,75,73,279,-9,"$18,980.00"
50,Ryan Armour,T46,64,69,74,72,279,-9,"$18,980.00"
51,Nick Watney,T46,64,72,69,74,279,-9,"$18,980.00"
52,Dylan Frittelli,T46,66,70,72,71,279,-9,"$18,980.00"
