,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Xander Schauffele,1,72,67,68,62,269,-23,"$1,300,000.00"
1,Gary Woodland,2,67,67,68,68,270,-22,"$759,000.00"
2,Justin Thomas,3,67,72,70,65,274,-18,"$475,000.00"
3,Dustin Johnson,T4,67,74,69,67,277,-15,"$305,333.34"
4,Rory McIlroy,T4,69,68,68,72,277,-15,"$305,333.33"
5,Marc Leishman,T4,68,70,68,71,277,-15,"$305,333.33"
6,Bryson DeChambeau,7,69,68,70,71,278,-14,"$218,000.00"
7,Jon Rahm,T8,70,71,69,69,279,-13,"$191,000.00"
8,Patton Kizzire,T8,69,71,71,68,279,-13,"$191,000.00"
9,Webb Simpson,T8,70,72,72,65,279,-13,"$191,000.00"
10,Kevin Tway,T11,66,71,72,71,280,-12,"$162,500.00"
11,Cameron Champ,T11,71,68,74,67,280,-12,"$162,500.00"
12,Jason Day,13,69,71,75,66,281,-11,"$147,000.00"
13,Charles Howell III,T14,74,70,69,69,282,-10,"$132,000.00"
14,Andrew Putnam,T14,69,73,70,70,282,-10,"$132,000.00"
15,Paul Casey,T16,73,71,68,71,283,-9,"$113,000.00"
16,Troy Merritt,T16,73,71,69,70,283,-9,"$113,000.00"
17,Ian Poulter,18,71,69,73,71,284,-8,"$102,000.00"
18,Matt Kuchar,T19,72,73,72,69,286,-6,"$92,333.33"
19,Brice Garnett,T19,73,72,73,68,286,-6,"$92,333.34"
20,Scott Piercy,T19,76,72,69,69,286,-6,"$92,333.33"
21,Brandt Snedeker,T22,75,69,71,72,287,-5,"$82,500.00"
22,Andrew Landry,T22,69,75,71,72,287,-5,"$82,500.00"
23,Brooks Koepka,24,76,70,73,69,288,-4,"$78,000.00"
24,Patrick Reed,T25,70,75,72,73,290,-2,"$74,000.00"
25,Billy Horschel,T25,72,75,71,72,290,-2,"$74,000.00"
26,Francesco Molinari,T27,73,71,73,74,291,-1,"$68,250.00"
27,"Ted Potter, Jr.",T27,75,73,71,72,291,-1,"$68,250.00"
28,Keegan Bradley,T27,77,69,72,73,291,-1,"$68,250.00"
29,Aaron Wise,T27,74,71,73,73,291,-1,"$68,250.00"
30,Bubba Watson,31,70,79,74,69,292,E,"$65,000.00"
31,Satoshi Kodaira,T32,77,76,73,70,296,+4,"$63,500.00"
32,Michael Kim,T32,71,72,80,73,296,+4,"$63,500.00"
