,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Bryson DeChambeau,1,66,66,65,66,263,-21,"$1,260,000.00"
1,Patrick Cantlay,2,69,67,63,65,264,-20,"$756,000.00"
2,Sam Ryder,3,66,71,66,62,265,-19,"$476,000.00"
3,Robert Streb,T4,65,66,68,68,267,-17,"$289,333.33"
4,Rickie Fowler,T4,68,67,69,63,267,-17,"$289,333.34"
5,Abraham Ancer,T4,66,66,69,66,267,-17,"$289,333.33"
6,Chesson Hadley,T7,69,67,65,68,269,-15,"$218,166.67"
7,Ryan Palmer,T7,71,65,65,68,269,-15,"$218,166.67"
8,Lucas Glover,T7,67,70,61,71,269,-15,"$218,166.66"
9,Scott Piercy,T10,69,68,68,65,270,-14,"$161,000.00"
10,Bud Cauley,T10,72,66,67,65,270,-14,"$161,000.00"
11,Brandon Harkins,T10,70,66,70,64,270,-14,"$161,000.00"
12,Gary Woodland,T10,69,67,71,63,270,-14,"$161,000.00"
13,Joaquin Niemann,T10,69,68,67,66,270,-14,"$161,000.00"
14,Si Woo Kim,T15,66,70,69,66,271,-13,"$101,675.00"
15,J.J. Spaun,T15,67,69,67,68,271,-13,"$101,675.00"
16,Denny McCarthy,T15,71,65,66,69,271,-13,"$101,675.00"
17,Aaron Wise,T15,72,67,66,66,271,-13,"$101,675.00"
18,Webb Simpson,T15,68,69,68,66,271,-13,"$101,675.00"
19,Harold Varner III,T15,65,67,69,70,271,-13,"$101,675.00"
20,Peter Malnati,T15,70,66,67,68,271,-13,"$101,675.00"
21,Sungjae Im,T15,72,65,69,65,271,-13,"$101,675.00"
22,Beau Hossler,T23,69,68,67,68,272,-12,"$62,300.00"
23,Peter Uihlein,T23,63,66,68,75,272,-12,"$62,300.00"
24,Kevin Tway,T23,67,66,72,67,272,-12,"$62,300.00"
25,Kramer Hickok,T23,66,72,67,67,272,-12,"$62,300.00"
26,Richy Werenski,T23,70,66,68,68,272,-12,"$62,300.00"
27,Anders Albertson,T28,72,65,65,71,273,-11,"$44,581.25"
28,Cam Davis,T28,70,68,68,67,273,-11,"$44,581.25"
29,Cameron Champ,T28,69,65,66,73,273,-11,"$44,581.25"
30,Hudson Swafford,T28,68,67,70,68,273,-11,"$44,581.25"
31,James Hahn,T28,68,70,67,68,273,-11,"$44,581.25"
32,Jhonattan Vegas,T28,71,65,66,71,273,-11,"$44,581.25"
33,Nick Watney,T28,70,68,66,69,273,-11,"$44,581.25"
34,Martin Laird,T28,67,68,71,67,273,-11,"$44,581.25"
35,Ryan Moore,T36,73,65,70,66,274,-10,"$32,970.00"
36,Nick Taylor,T36,72,67,65,70,274,-10,"$32,970.00"
37,Harris English,T36,71,65,68,70,274,-10,"$32,970.00"
38,Tony Finau,T36,69,68,69,68,274,-10,"$32,970.00"
39,George Cunningham,T36,70,67,71,66,274,-10,"$32,970.00"
40,Dominic Bozzelli,T41,70,69,68,68,275,-9,"$22,652.00"
41,Sebastián Muñoz,T41,66,72,68,69,275,-9,"$22,652.00"
42,Danny Lee,T41,68,66,69,72,275,-9,"$22,652.00"
43,Chris Kirk,T41,69,66,69,71,275,-9,"$22,652.00"
44,Satoshi Kodaira,T41,71,68,67,69,275,-9,"$22,652.00"
45,José de Jesús Rodríguez,T41,67,69,69,70,275,-9,"$22,652.00"
46,Patrick Rodgers,T41,69,68,70,68,275,-9,"$22,652.00"
47,Whee Kim,T41,66,65,77,67,275,-9,"$22,652.00"
48,Wes Roach,T41,71,67,69,68,275,-9,"$22,652.00"
49,Graeme McDowell,T41,70,67,68,70,275,-9,"$22,652.00"
50,D.J. Trahan,T51,68,68,70,70,276,-8,"$16,695.00"
51,Kevin Streelman,T51,70,67,72,67,276,-8,"$16,695.00"
52,Roberto Castro,T51,70,67,68,71,276,-8,"$16,695.00"
53,Brian Gay,T51,74,65,69,68,276,-8,"$16,695.00"
54,Chris Stroud,T55,69,69,68,71,277,-7,"$16,030.00"
55,Jordan Spieth,T55,66,68,71,72,277,-7,"$16,030.00"
56,Roberto Díaz,T57,69,69,68,72,278,-6,"$15,260.00"
57,Troy Merritt,T57,72,65,69,72,278,-6,"$15,260.00"
58,Alex Prugh,T57,68,71,70,69,278,-6,"$15,260.00"
59,Matt Jones,T57,68,71,69,70,278,-6,"$15,260.00"
60,Vaughn Taylor,T57,68,69,70,71,278,-6,"$15,260.00"
61,Matt Kuchar,T57,68,69,70,71,278,-6,"$15,260.00"
62,Wyndham Clark,T57,67,72,70,69,278,-6,"$15,260.00"
63,Davis Love III,T57,70,67,70,71,278,-6,"$15,260.00"
64,Ollie Schniederjans,T57,69,70,72,67,278,-6,"$15,260.00"
65,Rod Pampling,T66,69,70,69,71,279,-5,"$14,420.00"
66,Jason Kokrak,T66,71,67,69,72,279,-5,"$14,420.00"
67,Kelly Kraft,T66,70,69,67,73,279,-5,"$14,420.00"
68,Joel Dahmen,T69,71,67,71,71,280,-4,"$14,070.00"
69,Scott Stallings,T69,67,69,67,77,280,-4,"$14,070.00"
70,Kyle Jones,71,71,68,71,72,282,-2,"$13,860.00"
71,John Senden,72,69,70,72,72,283,-1,"$13,720.00"
72,Seth Reeves,73,64,72,72,76,284,E,"$13,580.00"
73,Ryan Blaum,74,69,70,77,71,287,+3,"$13,440.00"
74,Scott Brown,CUT,69,71,,,140,-2,$0.00
75,Anirban Lahiri,CUT,70,70,,,140,-2,$0.00
76,Mackenzie Hughes,CUT,71,69,,,140,-2,$0.00
77,Adam Schenk,CUT,73,67,,,140,-2,$0.00
78,Sung Kang,CUT,69,71,,,140,-2,$0.00
79,Steve Marino,CUT,70,70,,,140,-2,$0.00
80,Josh Teater,CUT,70,70,,,140,-2,$0.00
81,Dylan Meyer,CUT,73,67,,,140,-2,$0.00
82,J.T. Poston,CUT,69,71,,,140,-2,$0.00
83,Curtis Luck,CUT,70,70,,,140,-2,$0.00
84,Doug Ghim,CUT,72,68,,,140,-2,$0.00
85,Wesley Bryan,CUT,72,69,,,141,-1,$0.00
86,Adam Svensson,CUT,71,70,,,141,-1,$0.00
87,Cody Gribble,CUT,71,70,,,141,-1,$0.00
88,Jason Dufner,CUT,68,73,,,141,-1,$0.00
89,Kevin Dougherty,CUT,68,73,,,141,-1,$0.00
90,Russell Henley,CUT,75,66,,,141,-1,$0.00
91,Scott Langley,CUT,70,71,,,141,-1,$0.00
92,Kris Ventura,CUT,72,69,,,141,-1,$0.00
93,K.H. Lee,CUT,71,70,,,141,-1,$0.00
94,Shawn Stefani,CUT,73,68,,,141,-1,$0.00
95,Roger Sloan,CUT,73,68,,,141,-1,$0.00
96,Sangmoon Bae,CUT,73,68,,,141,-1,$0.00
97,Brice Garnett,CUT,72,70,,,142,E,$0.00
98,Chase Wright,CUT,70,72,,,142,E,$0.00
99,Stephan Jaeger,CUT,72,70,,,142,E,$0.00
100,Max Homa,CUT,71,71,,,142,E,$0.00
101,Michael Kim,CUT,70,72,,,142,E,$0.00
102,Brandon Hagy,CUT,70,72,,,142,E,$0.00
103,Austin Cook,CUT,71,72,,,143,+1,$0.00
104,Corey Conners,CUT,74,69,,,143,+1,$0.00
105,Freddie Jacobson,CUT,73,70,,,143,+1,$0.00
106,Alex Cejka,CUT,72,71,,,143,+1,$0.00
107,Kevin Stadler,CUT,71,72,,,143,+1,$0.00
108,Jim Furyk,CUT,71,72,,,143,+1,$0.00
109,Rob Oppenheim,CUT,73,70,,,143,+1,$0.00
110,Martin Trainer,CUT,72,71,,,143,+1,$0.00
111,Kevin Na,CUT,69,74,,,143,+1,$0.00
112,Brendan Steele,CUT,72,71,,,143,+1,$0.00
113,Bronson Burgoon,CUT,72,71,,,143,+1,$0.00
114,Carlos Ortiz,CUT,75,69,,,144,+2,$0.00
115,John Chin,CUT,73,71,,,144,+2,$0.00
116,Jonas Blixt,CUT,71,73,,,144,+2,$0.00
117,Nick Hardy,CUT,75,69,,,144,+2,$0.00
118,Cole Nygren,CUT,76,68,,,144,+2,$0.00
119,Shintaro Ban,CUT,76,68,,,144,+2,$0.00
120,Trey Mullinax,CUT,74,71,,,145,+3,$0.00
121,Hunter Mahan,CUT,73,72,,,145,+3,$0.00
122,John Huh,CUT,74,72,,,146,+4,$0.00
123,Grayson Murray,CUT,73,73,,,146,+4,$0.00
124,Brian Stuard,CUT,76,70,,,146,+4,$0.00
125,Rory Sabbatini,CUT,70,77,,,147,+5,$0.00
126,Kenny Perry,CUT,73,74,,,147,+5,$0.00
127,Sam Burns,CUT,76,71,,,147,+5,$0.00
128,Tom Hoge,CUT,74,74,,,148,+6,$0.00
129,Seamus Power,CUT,75,75,,,150,+8,$0.00
130,Tyler Duncan,CUT,73,80,,,153,+11,$0.00
131,Preston Otte,CUT,85,79,,,164,+22,$0.00
