,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Kevin Kisner,1,67,72,65,0,204,-293,
1,Matt Kuchar,2,59,49,67,0,175,-322,
2,Francesco Molinari,3,39,55,65,0,159,-338,
3,Lucas Bjerregaard,4,63,69,65,0,197,-300,
4,Tiger Woods,T5,67,67,59,0,193,-162,
5,Sergio Garcia,T5,49,53,65,0,167,-188,
6,Kevin Na,T5,64,66,58,0,188,-167,
7,Louis Oosthuizen,T5,65,63,51,0,179,-176,
8,Justin Rose,T9,64,69,69,0,202,-82,
9,Henrik Stenson,T9,63,52,48,0,163,-121,
10,Paul Casey,T9,50,70,49,0,169,-115,
11,Marc Leishman,T9,67,64,48,0,179,-105,
12,Rory McIlroy,T9,53,60,55,0,168,-116,
13,Branden Grace,T9,47,65,64,0,176,-108,
14,Tyrrell Hatton,T9,56,71,60,0,187,-97,
15,Haotong Li,T9,51,71,70,0,192,-92,
16,Abraham Ancer,T17,56,55,51,,162,-51,2-1-0
17,Justin Harding,T17,72,64,63,,199,-14,2-1-0
18,Gary Woodland,T17,67,61,70,,198,-15,2-1-0
19,Ian Poulter,T17,65,71,66,,202,-11,2-1-0
20,Jim Furyk,T17,67,70,53,,190,-23,2-1-0
21,J.B. Holmes,T17,63,66,47,,176,-37,2-1-0
22,Alex Noren,T17,53,54,53,,160,-53,2-1-0
23,Brandt Snedeker,T24,69,65,51,,185,-28,1-1-1
24,Rafa Cabrera Bello,T24,61,72,64,,197,-16,1-1-1
25,Charles Howell III,T24,63,70,57,,190,-23,1-1-1
26,Satoshi Kodaira,T24,44,69,61,,174,-39,1-1-1
27,Hideki Matsuyama,T24,51,55,57,,163,-50,1-1-1
28,Shane Lowry,T24,50,71,62,,183,-30,1-1-1
29,Justin Thomas,T24,65,59,67,,191,-22,1-1-1
30,Jordan Spieth,T24,66,61,70,,197,-16,1-1-1
31,Kyle Stanley,T24,62,58,50,,170,-43,1-1-1
32,Tommy Fleetwood,T24,60,58,56,,174,-39,1-1-1
33,Jon Rahm,T24,39,67,67,,173,-40,1-1-1
34,Patrick Cantlay,T24,69,60,62,,191,-22,1-1-1
35,Billy Horschel,T24,65,65,61,,191,-22,1-1-1
36,Patrick Reed,T24,57,71,63,,191,-22,1-1-1
37,Xander Schauffele,T24,69,71,66,,206,-7,1-1-1
38,Tom Lewis,T24,71,57,69,,197,-16,1-1-1
39,Matt Wallace,T40,72,59,65,,196,-17,1-2-0
40,Aaron Wise,T40,70,66,46,,182,-31,1-2-0
41,Bryson DeChambeau,T40,61,71,53,,185,-28,1-2-0
42,Keith Mitchell,T40,64,71,66,,201,-12,1-2-0
43,Dustin Johnson,T40,57,65,59,,181,-32,1-2-0
44,Kiradech Aphibarnrat,T40,69,68,73,,210,-3,1-2-0
45,Tony Finau,T40,62,69,69,,200,-13,1-2-0
46,Andrew Putnam,T40,60,58,65,,183,-30,1-2-0
47,Byeong Hun An,T40,63,63,44,,170,-43,1-2-0
48,Thorbjørn Olesen,T40,63,60,63,,186,-27,1-2-0
49,Russell Knox,T40,63,65,70,,198,-15,1-2-0
50,Keegan Bradley,T40,74,70,67,,211,-2,0-1-2
51,Emiliano Grillo,T40,66,65,54,,185,-28,1-2-0
52,Luke List,T40,59,68,64,,191,-22,1-2-0
53,Phil Mickelson,T40,64,72,57,,193,-20,1-2-0
54,Bubba Watson,T40,64,67,67,,198,-15,1-2-0
55,Chez Reavie,T56,61,56,66,,183,-30,0-2-1
56,Lee Westwood,T56,69,72,62,,203,-10,0-2-1
57,Webb Simpson,T56,66,69,61,,196,-17,0-2-1
58,Brooks Koepka,T56,70,72,57,,199,-14,0-2-1
59,Eddie Pepperell,T56,68,69,58,,195,-18,0-2-1
60,Cameron Smith,T61,59,57,52,,168,-45,0-3-0
61,Si Woo Kim,T61,44,53,53,,150,-63,0-3-0
62,Matt Fitzpatrick,T61,73,71,57,,201,-12,0-3-0
63,Jason Day,T61,70,56,61,,187,-26,0-3-0
