,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Patrick Cantlay,1,68,69,68,64,269,-19,"$1,638,000.00"
1,Adam Scott,2,71,66,66,68,271,-17,"$982,800.00"
2,Martin Kaymer,3,67,68,66,72,273,-15,"$618,800.00"
3,Kevin Streelman,4,72,68,69,66,275,-13,"$436,800.00"
4,Marc Leishman,5,67,71,69,69,276,-12,"$364,000.00"
5,Hideki Matsuyama,6,71,70,64,72,277,-11,"$327,600.00"
6,Jordan Spieth,T7,66,70,69,73,278,-10,"$293,475.00"
7,Jason Dufner,T7,72,69,68,69,278,-10,"$293,475.00"
8,Tiger Woods,T9,70,72,70,67,279,-9,"$236,600.00"
9,Bud Cauley,T9,67,70,70,72,279,-9,"$236,600.00"
10,Emiliano Grillo,T9,69,68,71,71,279,-9,"$236,600.00"
11,Billy Horschel,T9,71,70,70,68,279,-9,"$236,600.00"
12,Justin Rose,13,75,63,71,71,280,-8,"$191,100.00"
13,Rickie Fowler,T14,69,68,72,72,281,-7,"$163,800.00"
14,Michael Thompson,T14,71,71,71,68,281,-7,"$163,800.00"
15,Xander Schauffele,T14,69,70,72,70,281,-7,"$163,800.00"
16,Troy Merritt,T17,69,66,74,73,282,-6,"$127,400.00"
17,Kiradech Aphibarnrat,T17,70,71,71,70,282,-6,"$127,400.00"
18,Peter Malnati,T17,72,72,69,69,282,-6,"$127,400.00"
19,Andrew Putnam,T17,68,70,74,70,282,-6,"$127,400.00"
20,Byeong Hun An,T17,72,72,70,68,282,-6,"$127,400.00"
21,Aaron Baddeley,T22,72,70,68,73,283,-5,"$87,360.00"
22,Steve Stricker,T22,69,76,67,71,283,-5,"$87,360.00"
23,Ryan Armour,T22,71,71,71,70,283,-5,"$87,360.00"
24,Nick Watney,T22,74,68,69,72,283,-5,"$87,360.00"
25,Bryson DeChambeau,T22,74,70,73,66,283,-5,"$87,360.00"
26,Austin Cook,T27,71,67,76,70,284,-4,"$63,245.00"
27,Joaquin Niemann,T27,72,71,68,73,284,-4,"$63,245.00"
28,Brian Harman,T27,71,69,71,73,284,-4,"$63,245.00"
29,Rory Sabbatini,T27,73,71,70,70,284,-4,"$63,245.00"
30,Danny Willett,T27,69,69,72,74,284,-4,"$63,245.00"
31,Russell Knox,T27,68,73,72,71,284,-4,"$63,245.00"
32,Brian Stuard,T33,78,65,71,71,285,-3,"$50,277.50"
33,Tyrrell Hatton,T33,71,72,72,70,285,-3,"$50,277.50"
34,Jim Furyk,T33,72,69,75,69,285,-3,"$50,277.50"
35,Ryan Moore,T33,65,75,75,70,285,-3,"$50,277.50"
36,Henrik Stenson,T37,70,70,75,71,286,-2,"$41,860.00"
37,K.H. Lee,T37,68,67,72,79,286,-2,"$41,860.00"
38,Haotong Li,T37,69,72,74,71,286,-2,"$41,860.00"
39,Max Homa,T37,70,72,74,70,286,-2,"$41,860.00"
40,Si Woo Kim,T41,69,70,76,72,287,-1,"$31,850.00"
41,David Lingmerth,T41,71,74,71,71,287,-1,"$31,850.00"
42,Kevin Kisner,T41,75,67,73,72,287,-1,"$31,850.00"
43,Matt Jones,T41,75,67,69,76,287,-1,"$31,850.00"
44,Rafa Cabrera Bello,T41,72,71,74,70,287,-1,"$31,850.00"
45,Alex Noren,T41,73,70,69,75,287,-1,"$31,850.00"
46,Brendan Steele,T41,71,73,75,68,287,-1,"$31,850.00"
47,Vaughn Taylor,T48,67,72,72,77,288,E,"$23,478.00"
48,Scott Stallings,T48,69,74,73,72,288,E,"$23,478.00"
49,Keith Mitchell,T48,73,69,70,76,288,E,"$23,478.00"
50,David Lipsky,T48,70,70,76,72,288,E,"$23,478.00"
51,Gary Woodland,T52,69,71,74,75,289,+1,"$21,221.20"
52,Anirban Lahiri,T52,67,76,75,71,289,+1,"$21,221.20"
53,Adam Hadwin,T52,72,73,73,71,289,+1,"$21,221.20"
54,Lucas Glover,T52,72,72,69,76,289,+1,"$21,221.20"
55,J.T. Poston,T52,72,73,71,73,289,+1,"$21,221.20"
56,Sam Ryder,T57,69,71,74,76,290,+2,"$20,202.00"
57,Louis Oosthuizen,T57,73,70,71,76,290,+2,"$20,202.00"
58,Luke Donald,T57,72,73,65,80,290,+2,"$20,202.00"
59,Pat Perez,T57,75,70,71,74,290,+2,"$20,202.00"
60,Sungjae Im,T57,72,70,75,73,290,+2,"$20,202.00"
61,Shubhankar Sharma,T62,73,71,69,78,291,+3,"$19,474.00"
62,Jason Kokrak,T62,71,73,72,75,291,+3,"$19,474.00"
63,Joost Luiten,T62,73,71,74,73,291,+3,"$19,474.00"
64,Adam Schenk,T65,71,74,72,75,292,+4,"$18,928.00"
65,Corey Conners,T65,72,69,74,77,292,+4,"$18,928.00"
66,Abraham Ancer,T65,72,71,75,74,292,+4,"$18,928.00"
67,Matt Fitzpatrick,T68,73,71,74,75,293,+5,"$18,382.00"
68,Norman Xiong,T68,72,73,76,72,293,+5,"$18,382.00"
69,Joel Dahmen,T68,72,70,77,74,293,+5,"$18,382.00"
70,K.J. Choi,T71,76,67,77,77,297,+9,"$17,927.00"
71,Boo Weekley,T71,74,71,79,73,297,+9,"$17,927.00"
72,"Ted Potter, Jr.",73,70,73,77,80,300,+12,"$17,654.00"
73,Luke List,CUT,77,76,,,153,+9,$0.00
74,J.B. Holmes,CUT,76,71,,,147,+3,$0.00
75,Matt Every,CUT,79,72,,,151,+7,$0.00
76,Bronson Burgoon,CUT,73,74,,,147,+3,$0.00
77,Sung Kang,CUT,77,76,,,153,+9,$0.00
78,Jason Day,CUT,75,74,,,149,+5,$0.00
79,Rory McIlroy,CUT,75,71,,,146,+2,$0.00
80,Brice Garnett,CUT,74,72,,,146,+2,$0.00
81,Tony Finau,CUT,77,74,,,151,+7,$0.00
82,Danny Lee,CUT,77,71,,,148,+4,$0.00
83,Ryan Fox,CUT,75,72,,,147,+3,$0.00
84,Branden Grace,CUT,75,72,,,147,+3,$0.00
85,Kyle Stanley,CUT,74,72,,,146,+2,$0.00
86,Bill Haas,CUT,76,72,,,148,+4,$0.00
87,Matt Kuchar,CUT,73,74,,,147,+3,$0.00
88,Charles Howell III,CUT,72,78,,,150,+6,$0.00
89,Charley Hoffman,CUT,73,73,,,146,+2,$0.00
90,Brian Gay,CUT,72,76,,,148,+4,$0.00
91,Robert Streb,CUT,76,73,,,149,+5,$0.00
92,Chesson Hadley,CUT,73,75,,,148,+4,$0.00
93,Alvaro Ortiz,CUT,74,75,,,149,+5,$0.00
94,J.J. Spaun,CUT,71,75,,,146,+2,$0.00
95,Michael Kim,CUT,71,75,,,146,+2,$0.00
96,Harold Varner III,CUT,74,75,,,149,+5,$0.00
97,Adam Long,CUT,76,77,,,153,+9,$0.00
98,Beau Hossler,CUT,82,67,,,149,+5,$0.00
99,Martin Trainer,CUT,75,83,,,158,+14,$0.00
100,Kelly Kraft,CUT,73,77,,,150,+6,$0.00
101,Cameron Smith,CUT,77,74,,,151,+7,$0.00
102,Scott Brown,CUT,75,72,,,147,+3,$0.00
103,Peter Uihlein,CUT,77,71,,,148,+4,$0.00
104,Jhonattan Vegas,CUT,72,74,,,146,+2,$0.00
105,Andrew Landry,CUT,78,73,,,151,+7,$0.00
106,Justin Thomas,CUT,71,80,,,151,+7,$0.00
107,Carlos Ortiz,CUT,75,73,,,148,+4,$0.00
108,Keegan Bradley,CUT,74,74,,,148,+4,$0.00
109,Patton Kizzire,CUT,75,74,,,149,+5,$0.00
110,Phil Mickelson,CUT,70,79,,,149,+5,$0.00
111,Aaron Wise,CUT,74,72,,,146,+2,$0.00
112,Justin Suh,CUT,74,72,,,146,+2,$0.00
113,Jovan Rebula,CUT,78,69,,,147,+3,$0.00
114,Cameron Champ,CUT,72,77,,,149,+5,$0.00
115,Talor Gooch,CUT,76,76,,,152,+8,$0.00
116,Whee Kim,CUT,79,67,,,146,+2,$0.00
117,Will Grimmer,CUT,75,77,,,152,+8,$0.00
118,Sam Burns,W/D,81,,,,81,+9,$0.00
119,Ernie Els,W/D,78,,,,78,+6,$0.00
