,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Lanto Griffin,1,66,74,65,69,274,-14,"$1,350,000.00"
1,Scott Harrington,T2,69,67,72,67,275,-13,"$667,500.00"
2,Mark Hubbard,T2,68,69,69,69,275,-13,"$667,500.00"
3,Talor Gooch,T4,64,72,72,69,277,-11,"$286,875.00"
4,Sepp Straka,T4,65,71,72,69,277,-11,"$286,875.00"
5,Harris English,T4,70,72,69,66,277,-11,"$286,875.00"
6,Carlos Ortiz,T4,70,67,71,69,277,-11,"$286,875.00"
7,Xinjun Zhang,T4,67,76,68,66,277,-11,"$286,875.00"
8,Bud Cauley,T9,72,69,70,67,278,-10,"$196,875.00"
9,Chad Campbell,T9,70,72,68,68,278,-10,"$196,875.00"
10,Stewart Cink,T9,70,68,71,69,278,-10,"$196,875.00"
11,Denny McCarthy,T9,71,72,66,69,278,-10,"$196,875.00"
12,Doc Redman,T13,71,72,69,67,279,-9,"$142,500.00"
13,Cameron Tringale,T13,68,71,68,72,279,-9,"$142,500.00"
14,Beau Hossler,T13,70,69,68,72,279,-9,"$142,500.00"
15,Bronson Burgoon,T13,69,73,71,66,279,-9,"$142,500.00"
16,Brandon Wu,T17,69,70,69,72,280,-8,"$110,625.00"
17,Maverick McNealy,T17,68,74,73,65,280,-8,"$110,625.00"
18,Austin Cook,T17,64,74,70,72,280,-8,"$110,625.00"
19,Peter Malnati,T17,69,65,73,73,280,-8,"$110,625.00"
20,Boo Weekley,T21,70,73,71,67,281,-7,"$88,125.00"
21,Kyle Stanley,T21,70,71,70,70,281,-7,"$88,125.00"
22,James Hahn,T23,69,73,72,68,282,-6,"$67,125.00"
23,Ryan Armour,T23,70,74,67,71,282,-6,"$67,125.00"
24,Andy Zhang,T23,68,73,73,68,282,-6,"$67,125.00"
25,Kramer Hickok,T23,68,73,69,72,282,-6,"$67,125.00"
26,Cameron Champ,T23,69,75,71,67,282,-6,"$67,125.00"
27,Sebastián Muñoz,T28,70,74,72,67,283,-5,"$42,482.14"
28,Sam Ryder,T28,70,69,72,72,283,-5,"$42,482.14"
29,Scottie Scheffler,T28,69,74,69,71,283,-5,"$42,482.14"
30,Wes Roach,T28,69,68,72,74,283,-5,"$42,482.14"
31,Tyler McCumber,T28,66,74,73,70,283,-5,"$42,482.14"
32,Zac Blair,T28,68,76,72,67,283,-5,"$42,482.15"
33,Michael Gligic,T28,67,75,74,67,283,-5,"$42,482.14"
34,Nick Watney,T28,67,73,74,69,283,-5,"$42,482.14"
35,Luke List,T28,71,73,73,66,283,-5,"$42,482.15"
36,Ricky Barnes,T28,71,73,73,66,283,-5,"$42,482.15"
37,Russell Knox,T28,71,70,71,71,283,-5,"$42,482.14"
38,Brendon Todd,T28,76,67,74,66,283,-5,"$42,482.15"
39,Matt Every,T28,70,72,70,71,283,-5,"$42,482.14"
40,Robert Streb,T28,72,68,72,71,283,-5,"$42,482.14"
41,Brice Garnett,T42,71,72,70,71,284,-4,"$28,125.00"
42,Martin Laird,T42,70,73,74,67,284,-4,"$28,125.00"
43,Brian Gay,T42,69,74,69,72,284,-4,"$28,125.00"
44,D.J. Trahan,T45,73,70,71,71,285,-3,"$21,825.00"
45,Rob Oppenheim,T45,71,73,72,69,285,-3,"$21,825.00"
46,Roberto Castro,T45,73,69,72,71,285,-3,"$21,825.00"
47,Ryan Brehm,T45,72,72,71,70,285,-3,"$21,825.00"
48,Henrik Norlander,T45,68,76,69,72,285,-3,"$21,825.00"
49,Lucas Bjerregaard,T45,70,73,70,72,285,-3,"$21,825.00"
50,Bo Hoag,T51,72,71,70,73,286,-2,"$18,262.50"
51,Braden Bailey,T51,67,74,72,73,286,-2,"$18,262.50"
52,Patrick Rodgers,T51,69,70,76,71,286,-2,"$18,262.50"
53,Michael Gellerman,T51,72,72,71,71,286,-2,"$18,262.50"
54,Ben Taylor,T55,71,73,70,73,287,-1,"$17,400.00"
55,Rich Beem,T55,69,71,76,71,287,-1,"$17,400.00"
56,John Huh,T55,67,72,74,74,287,-1,"$17,400.00"
57,Mackenzie Hughes,T55,68,71,74,74,287,-1,"$17,400.00"
58,Rafael Campos,T59,69,74,72,73,288,E,"$16,950.00"
59,Dominic Bozzelli,T59,75,69,74,70,288,E,"$16,950.00"
60,Cole Hammer,T61,67,77,72,73,289,+1,$0.00
61,Russell Henley,T61,66,77,77,69,289,+1,"$16,500.00"
62,Seamus Power,T61,67,76,74,72,289,+1,"$16,500.00"
63,Chris Stroud,T61,73,70,72,74,289,+1,"$16,500.00"
64,J.J. Henry,T61,74,67,73,75,289,+1,"$16,500.00"
65,George McNeill,T66,72,72,72,74,290,+2,"$15,900.00"
66,Shawn Stefani,T66,72,72,73,73,290,+2,"$15,900.00"
67,Sebastian Cappelen,T66,74,68,75,73,290,+2,"$15,900.00"
68,Jeremy Gandon,T66,68,76,73,73,290,+2,"$15,900.00"
69,Chandler Phillips,T70,73,71,71,76,291,+3,"$15,375.00"
70,Graham DeLaet,T70,73,71,77,70,291,+3,"$15,375.00"
71,Robert Garrigus,T70,70,73,73,75,291,+3,"$15,375.00"
72,J.J. Spaun,73,70,74,78,72,294,+6,"$15,075.00"
73,Nelson Ledesma,T74,71,69,80,75,295,+7,"$14,850.00"
74,Joseph Bramlett,T74,69,74,79,73,295,+7,"$14,850.00"
75,Rhein Gibson,76,73,68,77,78,296,+8,"$14,625.00"
76,Jim Herman,77,73,71,77,76,297,+9,"$14,475.00"
77,Bill Haas,78,72,71,77,78,298,+10,"$14,325.00"
78,Josh Teater,CUT,72,73,,,145,+1,$0.00
79,D.A. Points,CUT,71,74,,,145,+1,$0.00
80,Scott Brown,CUT,76,69,,,145,+1,$0.00
81,Peter Uihlein,CUT,71,74,,,145,+1,$0.00
82,Michael Thompson,CUT,72,73,,,145,+1,$0.00
83,Chase Seiffert,CUT,73,72,,,145,+1,$0.00
84,Tyler Duncan,CUT,70,75,,,145,+1,$0.00
85,Matt NeSmith,CUT,74,72,,,146,+2,$0.00
86,Derek Ernst,CUT,71,75,,,146,+2,$0.00
87,Hank Lebioda,CUT,74,72,,,146,+2,$0.00
88,Logan McCracken,CUT,71,75,,,146,+2,$0.00
89,Kevin Chappell,CUT,74,72,,,146,+2,$0.00
90,Patton Kizzire,CUT,71,75,,,146,+2,$0.00
91,David Lingmerth,CUT,71,75,,,146,+2,$0.00
92,Andrew Landry,CUT,74,72,,,146,+2,$0.00
93,David Hearn,CUT,72,74,,,146,+2,$0.00
94,Johnson Wagner,CUT,71,75,,,146,+2,$0.00
95,Omar Uresti,CUT,75,71,,,146,+2,$0.00
96,Dawie van der Walt,CUT,74,72,,,146,+2,$0.00
97,Parker McLachlin,CUT,70,76,,,146,+2,$0.00
98,Henrik Stenson,CUT,72,74,,,146,+2,$0.00
99,Daniel Chopra,CUT,72,74,,,146,+2,$0.00
100,Aaron Baddeley,CUT,72,75,,,147,+3,$0.00
101,Jason Dufner,CUT,73,74,,,147,+3,$0.00
102,Jhonattan Vegas,CUT,71,76,,,147,+3,$0.00
103,Tom Hoge,CUT,70,77,,,147,+3,$0.00
104,Vince Covello,CUT,73,74,,,147,+3,$0.00
105,Scott Stallings,CUT,72,75,,,147,+3,$0.00
106,Richy Werenski,CUT,72,75,,,147,+3,$0.00
107,Tom Lewis,CUT,70,77,,,147,+3,$0.00
