,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Brendon Todd,1,63,68,65,68,264,-20,"$1,296,000.00"
1,Carlos Ortiz,T2,69,65,65,66,265,-19,"$544,800.00"
2,Adam Long,T2,63,69,67,66,265,-19,"$544,800.00"
3,Vaughn Taylor,T2,64,66,67,68,265,-19,"$544,800.00"
4,Harris English,5,65,64,68,70,267,-17,"$295,200.00"
5,Joel Dahmen,T6,69,69,66,65,269,-15,"$252,000.00"
6,Robby Shelton,T6,66,66,72,65,269,-15,"$252,000.00"
7,Abraham Ancer,T8,66,72,65,67,270,-14,"$210,600.00"
8,Pat Perez,T8,68,65,68,69,270,-14,"$210,600.00"
9,Billy Horschel,T8,65,71,66,68,270,-14,"$210,600.00"
10,C.T. Pan,T11,68,70,66,67,271,-13,"$167,400.00"
11,Brice Garnett,T11,71,67,69,64,271,-13,"$167,400.00"
12,Dylan Frittelli,T11,66,69,71,65,271,-13,"$167,400.00"
13,Matt Kuchar,T14,69,68,73,62,272,-12,"$127,800.00"
14,Brian Gay,T14,66,72,69,65,272,-12,"$127,800.00"
15,Robert Streb,T14,71,64,67,70,272,-12,"$127,800.00"
16,Zac Blair,T14,67,73,65,67,272,-12,"$127,800.00"
17,Scottie Scheffler,T18,66,69,70,68,273,-11,"$106,200.00"
18,Chris Stroud,T18,66,70,70,67,273,-11,"$106,200.00"
19,Charles Howell III,T20,70,71,67,66,274,-10,"$88,200.00"
20,Bo Hoag,T20,66,69,71,68,274,-10,"$88,200.00"
21,Ben Martin,T20,67,69,66,72,274,-10,"$88,200.00"
22,Brian Stuard,T23,69,72,64,70,275,-9,"$69,480.00"
23,Zach Johnson,T23,64,70,72,69,275,-9,"$69,480.00"
24,Graeme McDowell,T23,66,71,71,67,275,-9,"$69,480.00"
25,Scott Piercy,T26,70,66,68,72,276,-8,"$51,480.00"
26,Nick Taylor,T26,67,70,70,69,276,-8,"$51,480.00"
27,Chez Reavie,T26,66,70,68,72,276,-8,"$51,480.00"
28,Aaron Baddeley,T26,70,67,72,67,276,-8,"$51,480.00"
29,Danny Lee,T26,62,70,70,74,276,-8,"$51,480.00"
30,Chris Baker,T26,64,69,74,69,276,-8,"$51,480.00"
31,Maverick McNealy,T26,71,69,71,65,276,-8,"$51,480.00"
32,Cameron Champ,T33,70,69,70,68,277,-7,"$36,810.00"
33,Harry Higgs,T33,70,68,71,68,277,-7,"$36,810.00"
34,Russell Knox,T33,69,72,69,67,277,-7,"$36,810.00"
35,Chris Kirk,T33,70,69,67,71,277,-7,"$36,810.00"
36,Bronson Burgoon,T33,66,73,69,69,277,-7,"$36,810.00"
37,Ryan Armour,T33,68,70,69,70,277,-7,"$36,810.00"
38,Rory Sabbatini,T33,69,72,68,68,277,-7,"$36,810.00"
39,Matt Jones,T33,71,69,70,67,277,-7,"$36,810.00"
40,David Hearn,T41,69,70,71,68,278,-6,"$25,560.00"
41,Brendan Steele,T41,68,72,72,66,278,-6,"$25,560.00"
42,Henrik Norlander,T41,67,71,74,66,278,-6,"$25,560.00"
43,Emiliano Grillo,T41,70,67,70,71,278,-6,"$25,560.00"
44,Beau Hossler,T41,70,71,69,68,278,-6,"$25,560.00"
45,J.T. Poston,T41,68,71,74,65,278,-6,"$25,560.00"
46,Chase Seiffert,T41,68,69,73,68,278,-6,"$25,560.00"
47,Tyler Duncan,T48,73,67,66,73,279,-5,"$18,257.14"
48,Matthew NeSmith,T48,67,71,70,71,279,-5,"$18,257.15"
49,Alvaro Ortiz,T48,66,67,68,78,279,-5,"$18,257.14"
50,Denny McCarthy,T48,69,71,72,67,279,-5,"$18,257.15"
51,Calum Hill,T48,69,66,71,73,279,-5,"$18,257.14"
52,Xinjun Zhang,T48,70,71,68,70,279,-5,"$18,257.14"
53,Scott Stallings,T48,70,71,69,69,279,-5,"$18,257.14"
54,Will Gordon,T55,70,70,70,71,281,-3,"$16,776.00"
55,Brandon Wu,T55,68,69,70,74,281,-3,"$16,776.00"
56,Talor Gooch,T55,71,69,71,70,281,-3,"$16,776.00"
57,Harold Varner III,T58,68,69,73,72,282,-2,"$15,984.00"
58,Graham DeLaet,T58,68,71,72,71,282,-2,"$15,984.00"
59,Kevin Chappell,T58,70,71,73,68,282,-2,"$15,984.00"
60,James Hahn,T58,68,73,68,73,282,-2,"$15,984.00"
61,Patton Kizzire,T58,67,71,71,73,282,-2,"$15,984.00"
62,Peter Malnati,T58,72,69,71,70,282,-2,"$15,984.00"
63,Patrick Rodgers,T58,68,71,71,72,282,-2,"$15,984.00"
