,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Dustin Johnson,1,67,60,64,63,254,-30,"$1,710,000.00"
1,Harris English,2,64,66,66,69,265,-19,"$1,035,500.00"
2,Daniel Berger,3,66,66,67,67,266,-18,"$655,500.00"
3,Kevin Kisner,T4,65,66,70,66,267,-17,"$427,500.00"
4,Scottie Scheffler,T4,70,59,67,71,267,-17,"$427,500.00"
5,Jon Rahm,T6,69,67,67,65,268,-16,"$332,500.00"
6,Webb Simpson,T6,70,64,68,66,268,-16,"$332,500.00"
7,Alex Noren,T8,69,68,64,68,269,-15,"$277,875.00"
8,Ryan Palmer,T8,67,67,68,67,269,-15,"$277,875.00"
9,Russell Henley,T8,64,67,70,68,269,-15,"$277,875.00"
10,Harry Higgs,T11,67,66,66,71,270,-14,"$230,375.00"
11,Brian Harman,T11,67,66,73,64,270,-14,"$230,375.00"
12,Louis Oosthuizen,T13,65,65,68,73,271,-13,"$175,275.00"
13,Charley Hoffman,T13,65,68,68,70,271,-13,"$175,275.00"
14,Jason Kokrak,T13,68,68,70,65,271,-13,"$175,275.00"
15,Mackenzie Hughes,T13,68,68,66,69,271,-13,"$175,275.00"
16,Robby Shelton,T13,66,71,71,63,271,-13,"$175,275.00"
17,Viktor Hovland,T18,68,70,68,66,272,-12,"$117,189.29"
18,Talor Gooch,T18,66,72,65,69,272,-12,"$117,189.29"
19,Sebastián Muñoz,T18,65,71,69,67,272,-12,"$117,189.29"
20,Cameron Smith,T18,69,68,66,69,272,-12,"$117,189.28"
21,Matt Kuchar,T18,69,69,66,68,272,-12,"$117,189.29"
22,Bubba Watson,T18,65,68,67,72,272,-12,"$117,189.28"
23,Danny Lee,T18,66,64,69,73,272,-12,"$117,189.28"
24,Justin Rose,T25,69,70,67,67,273,-11,"$76,237.50"
25,Tyrrell Hatton,T25,67,71,63,72,273,-11,"$76,237.50"
26,Corey Conners,T25,72,65,69,67,273,-11,"$76,237.50"
27,Xander Schauffele,T25,68,71,67,67,273,-11,"$76,237.50"
28,Cam Davis,T29,64,65,72,73,274,-10,"$55,860.00"
29,Tyler Duncan,T29,69,69,69,67,274,-10,"$55,860.00"
30,Wyndham Clark,T29,68,71,67,68,274,-10,"$55,860.00"
31,Mark Hubbard,T29,67,71,68,68,274,-10,"$55,860.00"
32,Troy Merritt,T29,72,67,70,65,274,-10,"$55,860.00"
33,K.H. Lee,T29,67,68,69,70,274,-10,"$55,860.00"
34,Hideki Matsuyama,T29,70,69,65,70,274,-10,"$55,860.00"
35,Keegan Bradley,T29,68,67,69,70,274,-10,"$55,860.00"
36,Cameron Tringale,T29,67,72,67,68,274,-10,"$55,860.00"
37,Scott Piercy,T29,65,70,70,69,274,-10,"$55,860.00"
38,Ian Poulter,T39,66,67,73,69,275,-9,"$39,425.00"
39,Kevin Na,T39,71,65,73,66,275,-9,"$39,425.00"
40,Si Woo Kim,T39,68,64,70,73,275,-9,"$39,425.00"
41,J.T. Poston,T39,71,67,66,71,275,-9,"$39,425.00"
42,Adam Schenk,T39,70,66,71,68,275,-9,"$39,425.00"
43,Matthew Wolff,T44,65,67,77,67,276,-8,"$30,001.00"
44,Emiliano Grillo,T44,69,64,73,70,276,-8,"$30,001.00"
45,Charles Howell III,T44,66,70,68,72,276,-8,"$30,001.00"
46,Tommy Fleetwood,T44,66,69,71,70,276,-8,"$30,001.00"
47,Brendan Steele,T44,68,67,69,72,276,-8,"$30,001.00"
48,Chez Reavie,T49,68,70,67,72,277,-7,"$23,169.44"
