,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Adam Scott,1,72,64,67,70,273,-11,"$1,674,000.00"
1,Matt Kuchar,T2,64,69,70,72,275,-9,"$703,700.00"
2,Scott Brown,T2,71,68,68,68,275,-9,"$703,700.00"
3,Sung Kang,T2,69,67,70,69,275,-9,"$703,700.00"
4,Rory McIlroy,T5,68,67,68,73,276,-8,"$318,990.00"
5,Hideki Matsuyama,T5,71,72,64,69,276,-8,"$318,990.00"
6,Joel Dahmen,T5,68,71,66,71,276,-8,"$318,990.00"
7,Max Homa,T5,72,69,65,70,276,-8,"$318,990.00"
8,Bryson DeChambeau,T5,68,70,69,69,276,-8,"$318,990.00"
9,Dustin Johnson,T10,72,66,67,72,277,-7,"$234,825.00"
10,Talor Gooch,T10,70,72,64,71,277,-7,"$234,825.00"
11,Chez Reavie,T10,69,68,71,69,277,-7,"$234,825.00"
12,Vaughn Taylor,T13,69,67,74,68,278,-6,"$176,700.00"
13,Harold Varner III,T13,67,68,69,74,278,-6,"$176,700.00"
14,James Hahn,T13,68,70,70,70,278,-6,"$176,700.00"
15,K.H. Lee,T13,67,73,69,69,278,-6,"$176,700.00"
16,Scott Piercy,T17,70,69,70,70,279,-5,"$127,875.00"
17,Patrick Cantlay,T17,68,72,71,68,279,-5,"$127,875.00"
18,Russell Henley,T17,67,69,68,75,279,-5,"$127,875.00"
19,Rafa Cabrera Bello,T17,68,69,72,70,279,-5,"$127,875.00"
20,Wyndham Clark,T17,67,68,72,72,279,-5,"$127,875.00"
21,Jon Rahm,T17,70,68,69,72,279,-5,"$127,875.00"
22,Sam Burns,T23,73,68,69,70,280,-4,"$89,745.00"
23,Xander Schauffele,T23,72,70,69,69,280,-4,"$89,745.00"
24,Brian Stuard,T23,72,68,69,71,280,-4,"$89,745.00"
25,Adam Hadwin,T26,71,71,69,70,281,-3,"$70,680.00"
26,Carlos Ortiz,T26,68,70,71,72,281,-3,"$70,680.00"
27,Sebastián Muñoz,T26,69,69,70,73,281,-3,"$70,680.00"
28,Collin Morikawa,T26,73,67,68,73,281,-3,"$70,680.00"
29,J.T. Poston,T30,69,72,70,71,282,-2,"$55,733.58"
30,Patrick Rodgers,T30,71,71,70,70,282,-2,"$55,733.57"
31,Luke List,T30,71,68,68,75,282,-2,"$55,733.57"
32,Matt Fitzpatrick,T30,71,70,68,73,282,-2,"$55,733.57"
33,Scottie Scheffler,T30,69,72,71,70,282,-2,"$55,733.57"
34,Ryan Moore,T30,71,71,69,71,282,-2,"$55,733.57"
35,Cameron Tringale,T30,74,69,67,72,282,-2,"$55,733.57"
36,Paul Casey,T37,69,69,70,75,283,-1,"$41,385.00"
37,Sergio Garcia,T37,70,70,71,72,283,-1,"$41,385.00"
38,Si Woo Kim,T37,69,69,72,73,283,-1,"$41,385.00"
39,Andrew Landry,T37,68,72,70,73,283,-1,"$41,385.00"
40,Lanto Griffin,T37,71,70,69,73,283,-1,"$41,385.00"
41,Denny McCarthy,T37,69,72,70,72,283,-1,"$41,385.00"
42,Brooks Koepka,T43,69,73,68,74,284,E,"$32,085.00"
43,Martin Laird,T43,71,71,70,72,284,E,"$32,085.00"
44,Marc Leishman,T43,70,72,68,74,284,E,"$32,085.00"
45,Abraham Ancer,T43,76,67,70,71,284,E,"$32,085.00"
46,Brian Harman,T47,70,69,74,72,285,+1,"$25,482.00"
47,Pat Perez,T47,73,70,69,73,285,+1,"$25,482.00"
48,Martin Trainer,T47,72,71,68,74,285,+1,"$25,482.00"
49,Adam Schenk,T47,67,73,71,74,285,+1,"$25,482.00"
50,Patrick Reed,T51,68,73,71,74,286,+2,"$22,487.40"
51,Bud Cauley,T51,74,69,70,73,286,+2,"$22,487.40"
52,Tony Finau,T51,72,71,71,72,286,+2,"$22,487.40"
53,Joseph Bramlett,T51,74,69,68,75,286,+2,"$22,487.40"
54,J.B. Holmes,T51,69,69,76,72,286,+2,"$22,487.40"
55,Steve Stricker,T56,72,71,71,73,287,+3,"$21,483.00"
56,Justin Rose,T56,69,69,74,75,287,+3,"$21,483.00"
57,Brendon Todd,T56,73,70,71,73,287,+3,"$21,483.00"
58,Jordan Spieth,T59,72,70,70,76,288,+4,"$20,832.00"
59,Rory Sabbatini,T59,72,68,74,74,288,+4,"$20,832.00"
60,Charles Howell III,T59,77,66,75,70,288,+4,"$20,832.00"
61,Alex Noren,T59,71,70,72,75,288,+4,"$20,832.00"
62,J.J. Spaun,63,73,69,73,75,290,+6,"$20,367.00"
63,Kyle Stanley,T64,71,70,78,73,292,+8,"$19,995.00"
64,Jason Dufner,T64,75,68,76,73,292,+8,"$19,995.00"
65,Tyler Duncan,T64,73,69,79,71,292,+8,"$19,995.00"
66,Ryan Palmer,67,71,70,81,72,294,+10,"$19,623.00"
67,Tiger Woods,68,69,73,76,77,295,+11,"$19,437.00"
68,Jim Furyk,CUT,70,74,,,144,+2,$0.00
69,Charley Hoffman,CUT,73,71,,,144,+2,$0.00
70,Sungjae Im,CUT,69,75,,,144,+2,$0.00
71,Jhonattan Vegas,CUT,75,69,,,144,+2,$0.00
72,Ryan Armour,CUT,70,74,,,144,+2,$0.00
73,Troy Merritt,CUT,73,71,,,144,+2,$0.00
74,Aaron Baddeley,CUT,71,73,,,144,+2,$0.00
75,Bubba Watson,CUT,72,72,,,144,+2,$0.00
76,Nick Taylor,CUT,71,73,,,144,+2,$0.00
77,Scott Stallings,CUT,69,75,,,144,+2,$0.00
78,Dylan Frittelli,CUT,74,70,,,144,+2,$0.00
79,Jason Day,CUT,68,76,,,144,+2,$0.00
80,Danny Willett,CUT,73,71,,,144,+2,$0.00
81,Russell Knox,CUT,74,70,,,144,+2,$0.00
82,Joaquin Niemann,CUT,72,72,,,144,+2,$0.00
83,Adam Long,CUT,71,73,,,144,+2,$0.00
84,Sepp Straka,CUT,71,73,,,144,+2,$0.00
85,Justin Thomas,CUT,74,71,,,145,+3,$0.00
86,Corey Conners,CUT,70,75,,,145,+3,$0.00
87,Kevin Tway,CUT,72,73,,,145,+3,$0.00
88,Kevin Chappell,CUT,71,74,,,145,+3,$0.00
89,Emiliano Grillo,CUT,71,74,,,145,+3,$0.00
90,Jason Kokrak,CUT,72,73,,,145,+3,$0.00
91,Chris Stroud,CUT,71,74,,,145,+3,$0.00
92,Danny Lee,CUT,72,73,,,145,+3,$0.00
93,Michael Thompson,CUT,69,76,,,145,+3,$0.00
94,Nick Watney,CUT,71,74,,,145,+3,$0.00
95,Erik van Rooyen,CUT,71,74,,,145,+3,$0.00
96,Brian Gay,CUT,72,74,,,146,+4,$0.00
97,Phil Mickelson,CUT,72,74,,,146,+4,$0.00
98,Kiradech Aphibarnrat,CUT,71,75,,,146,+4,$0.00
99,Jimmy Walker,CUT,75,71,,,146,+4,$0.00
100,Branden Grace,CUT,73,73,,,146,+4,$0.00
101,Jim Herman,CUT,73,73,,,146,+4,$0.00
102,Bronson Burgoon,CUT,71,75,,,146,+4,$0.00
103,Cameron Smith,CUT,74,72,,,146,+4,$0.00
104,Peter Malnati,CUT,74,72,,,146,+4,$0.00
105,Nate Lashley,CUT,76,71,,,147,+5,$0.00
106,Kevin Na,CUT,74,73,,,147,+5,$0.00
107,C.T. Pan,CUT,72,75,,,147,+5,$0.00
108,Matthew Wolff,CUT,74,73,,,147,+5,$0.00
109,Cameron Champ,CUT,75,73,,,148,+6,$0.00
110,Aaron Wise,CUT,73,75,,,148,+6,$0.00
111,Keegan Bradley,CUT,75,73,,,148,+6,$0.00
112,Sam Ryder,CUT,76,72,,,148,+6,$0.00
113,Andrew Putnam,CUT,72,77,,,149,+7,$0.00
114,Matt Jones,CUT,79,70,,,149,+7,$0.00
115,Matt Every,CUT,73,76,,,149,+7,$0.00
116,Roger Sloan,CUT,74,76,,,150,+8,$0.00
117,Francesco Molinari,CUT,75,75,,,150,+8,$0.00
118,Sean Yu,CUT,78,73,,,151,+9,$0.00
119,Kyongjun Moon,CUT,80,72,,,152,+10,$0.00
