,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Tiger Woods,1,64,64,66,67,261,-19,"$1,755,000.00"
1,Hideki Matsuyama,2,65,67,65,67,264,-16,"$1,053,000.00"
2,Sungjae Im,T3,71,64,67,65,267,-13,"$565,500.00"
3,Rory McIlroy,T3,72,65,63,67,267,-13,"$565,500.00"
4,Gary Woodland,5,64,66,68,70,268,-12,"$390,000.00"
5,Corey Conners,T6,69,64,66,70,269,-11,"$338,812.50"
6,Billy Horschel,T6,68,67,64,70,269,-11,"$338,812.50"
7,Charles Howell III,T8,70,65,66,69,270,-10,"$292,500.00"
8,Byeong Hun An,T8,70,68,66,66,270,-10,"$292,500.00"
9,Ryan Palmer,T10,67,68,69,67,271,-9,"$243,750.00"
10,Danny Lee,T10,70,65,68,68,271,-9,"$243,750.00"
11,Xander Schauffele,T10,68,66,65,72,271,-9,"$243,750.00"
12,Matthew Wolff,T13,69,65,67,71,272,-8,"$181,837.50"
13,Ian Poulter,T13,71,71,64,66,272,-8,"$181,837.50"
14,Keegan Bradley,T13,69,63,71,69,272,-8,"$181,837.50"
15,Shane Lowry,T13,71,69,67,65,272,-8,"$181,837.50"
16,Justin Thomas,T17,70,69,69,65,273,-7,"$134,160.00"
17,Daniel Berger,T17,67,66,70,70,273,-7,"$134,160.00"
18,Patrick Reed,T17,72,68,65,68,273,-7,"$134,160.00"
19,Paul Casey,T17,69,69,68,67,273,-7,"$134,160.00"
20,Sung Kang,T17,67,69,70,67,273,-7,"$134,160.00"
21,Jason Day,T22,73,66,67,68,274,-6,"$91,260.00"
22,Dylan Frittelli,T22,71,69,67,67,274,-6,"$91,260.00"
23,Tommy Fleetwood,T22,71,69,67,67,274,-6,"$91,260.00"
24,Adam Schenk,T22,69,67,68,70,274,-6,"$91,260.00"
25,Collin Morikawa,T22,71,64,69,70,274,-6,"$91,260.00"
26,J.T. Poston,T27,70,65,72,68,275,-5,"$69,810.00"
27,Keith Mitchell,T27,69,68,71,67,275,-5,"$69,810.00"
28,Harold Varner III,T27,72,70,69,64,275,-5,"$69,810.00"
29,Emiliano Grillo,T30,69,69,68,70,276,-4,"$61,035.00"
30,Troy Merritt,T30,71,68,70,67,276,-4,"$61,035.00"
31,Rafa Cabrera Bello,T30,73,66,70,67,276,-4,"$61,035.00"
32,Rory Sabbatini,T33,71,68,68,70,277,-3,"$51,528.75"
33,Adam Scott,T33,73,67,66,71,277,-3,"$51,528.75"
34,Sergio Garcia,T33,70,71,67,69,277,-3,"$51,528.75"
35,Joaquin Niemann,T33,68,68,67,74,277,-3,"$51,528.75"
36,Si Woo Kim,T37,76,67,66,69,278,-2,"$42,510.00"
37,Satoshi Kodaira,T37,69,66,69,74,278,-2,"$42,510.00"
38,Kevin Tway,T37,69,72,71,66,278,-2,"$42,510.00"
39,Lucas Glover,T37,72,69,68,69,278,-2,"$42,510.00"
40,Vaughn Taylor,T41,70,73,71,65,279,-1,"$33,735.00"
41,Adam Hadwin,T41,71,69,71,68,279,-1,"$33,735.00"
42,Chan Kim,T41,71,69,72,67,279,-1,"$33,735.00"
43,Abraham Ancer,T41,74,68,68,69,279,-1,"$33,735.00"
44,Viktor Hovland,T41,75,65,67,72,279,-1,"$33,735.00"
45,Max Homa,T46,71,68,66,75,280,E,"$24,687.00"
46,Tomoharu Otsuki,T46,70,68,67,75,280,E,"$24,687.00"
47,Louis Oosthuizen,T46,69,69,71,71,280,E,"$24,687.00"
48,Kevin Na,T46,71,70,68,71,280,E,"$24,687.00"
49,Wyndham Clark,T46,74,68,70,68,280,E,"$24,687.00"
50,Bubba Watson,T51,69,69,68,75,281,+1,"$20,605.00"
51,Shaun Norris,T51,73,67,72,69,281,+1,"$20,605.00"
52,Pat Perez,T51,72,70,69,70,281,+1,"$20,605.00"
53,Ryo Ishikawa,T51,68,68,70,75,281,+1,"$20,605.00"
54,Adam Long,T51,71,70,74,66,281,+1,"$20,605.00"
55,Rikuya Hoshino,T51,68,71,72,70,281,+1,"$20,605.00"
56,Jazz Janewattananond,T57,74,67,71,70,282,+2,"$19,597.50"
57,Jinichiro Kozuma,T57,75,69,71,67,282,+2,"$19,597.50"
58,Shugo Imahira,T59,74,69,72,68,283,+3,"$19,012.50"
59,Andrew Putnam,T59,68,72,73,70,283,+3,"$19,012.50"
60,Tony Finau,T59,72,69,69,73,283,+3,"$19,012.50"
61,C.T. Pan,T59,68,75,71,69,283,+3,"$19,012.50"
62,Steve Han,T63,72,69,68,75,284,+4,"$18,330.00"
63,Sanghyun Park,T63,71,70,74,69,284,+4,"$18,330.00"
64,Yosuke Asaji,T63,72,67,70,75,284,+4,"$18,330.00"
65,Jordan Spieth,T66,74,71,69,71,285,+5,"$17,745.00"
66,Kevin Kisner,T66,75,70,68,72,285,+5,"$17,745.00"
67,Scott Piercy,T66,78,68,68,71,285,+5,"$17,745.00"
68,Marc Leishman,69,76,70,69,71,286,+6,"$17,355.00"
69,Chez Reavie,70,77,70,66,74,287,+7,"$17,160.00"
70,Jason Kokrak,71,74,70,70,74,288,+8,"$16,965.00"
71,Ryan Moore,T72,72,69,72,76,289,+9,"$16,672.50"
72,Mikumu Horikawa,T72,72,75,68,74,289,+9,"$16,672.50"
73,Kevin Streelman,74,78,69,72,72,291,+11,"$16,380.00"
74,Matt Fitzpatrick,75,71,75,74,72,292,+12,"$16,185.00"
75,Joel Dahmen,76,72,76,72,78,298,+18,"$15,990.00"
76,Nate Lashley,W/D,73,,,,73,+3,$0.00
77,Graeme McDowell,W/D,81,,,,81,+11,$0.00
