,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Brian Gay,1,70,68,67,64,269,-15,"$720,000.00"
1,Wyndham Clark,2,66,68,70,65,269,-15,"$436,000.00"
2,Ollie Schniederjans,3,66,70,69,66,271,-13,"$276,000.00"
3,Denny McCarthy,T4,70,67,72,63,272,-12,"$160,000.00"
4,Doc Redman,T4,65,71,67,69,272,-12,"$160,000.00"
5,Stewart Cink,T4,66,74,68,64,272,-12,"$160,000.00"
6,Matt Jones,T4,68,71,66,67,272,-12,"$160,000.00"
7,David Hearn,T8,68,72,67,66,273,-11,"$117,000.00"
8,Ryan Armour,T8,64,70,70,69,273,-11,"$117,000.00"
9,Kramer Hickok,T8,67,68,69,69,273,-11,"$117,000.00"
10,Kiradech Aphibarnrat,T11,71,66,69,68,274,-10,"$93,000.00"
11,Anirban Lahiri,T11,68,70,69,67,274,-10,"$93,000.00"
12,Michael Gligic,T11,68,71,69,66,274,-10,"$93,000.00"
13,Scott Piercy,T14,67,70,72,66,275,-9,"$75,000.00"
14,Doug Ghim,T14,64,74,68,69,275,-9,"$75,000.00"
15,Hank Lebioda,T16,68,72,69,67,276,-8,"$61,000.00"
16,Will Zalatoris,T16,69,72,67,68,276,-8,"$61,000.00"
17,Russell Knox,T16,67,74,67,68,276,-8,"$61,000.00"
18,Roger Sloan,T16,67,70,71,68,276,-8,"$61,000.00"
19,Chesson Hadley,T16,68,71,71,66,276,-8,"$61,000.00"
20,Andrew Putnam,T21,69,73,67,68,277,-7,"$41,960.00"
21,Peter Malnati,T21,63,74,70,70,277,-7,"$41,960.00"
22,Brice Garnett,T21,68,70,74,65,277,-7,"$41,960.00"
23,Maverick McNealy,T21,69,71,69,68,277,-7,"$41,960.00"
24,Sepp Straka,T21,70,70,69,68,277,-7,"$41,960.00"
25,Aaron Wise,T26,68,73,69,68,278,-6,"$28,000.00"
26,Adam Schenk,T26,69,71,66,72,278,-6,"$28,000.00"
27,Scott Stallings,T26,68,73,70,67,278,-6,"$28,000.00"
28,Mark Anderson,T26,69,70,69,70,278,-6,"$28,000.00"
29,Beau Hossler,T26,71,68,69,70,278,-6,"$28,000.00"
30,Ryan Brehm,T26,68,74,65,71,278,-6,"$28,000.00"
31,Padraig Harrington,T26,67,71,71,69,278,-6,"$28,000.00"
32,Cameron Percy,T26,70,72,71,65,278,-6,"$28,000.00"
33,Emiliano Grillo,T34,66,72,70,71,279,-5,"$21,800.00"
34,Max Homa,T34,69,71,72,67,279,-5,"$21,800.00"
35,Will Gordon,T34,69,72,68,70,279,-5,"$21,800.00"
36,Rasmus Højgaard,T37,70,71,70,69,280,-4,"$19,000.00"
37,Peter Uihlein,T37,72,67,72,69,280,-4,"$19,000.00"
38,Seamus Power,T37,69,74,68,69,280,-4,"$19,000.00"
39,Vaughn Taylor,T40,65,75,71,70,281,-3,"$15,800.00"
40,Luke Donald,T40,69,68,71,73,281,-3,"$15,800.00"
41,Branden Grace,T40,73,70,71,67,281,-3,"$15,800.00"
42,Troy Merritt,T40,69,70,71,71,281,-3,"$15,800.00"
43,Kevin Tway,T40,68,74,69,70,281,-3,"$15,800.00"
44,Joseph Bramlett,T45,69,73,71,69,282,-2,"$12,240.00"
45,D.J. Trahan,T45,67,75,72,68,282,-2,"$12,240.00"
46,D.A. Points,T45,70,72,69,71,282,-2,"$12,240.00"
47,Johnson Wagner,T45,66,74,69,73,282,-2,"$12,240.00"
48,John Senden,T49,68,74,69,72,283,-1,"$10,180.00"
49,Keith Mitchell,T49,70,73,74,66,283,-1,"$10,180.00"
50,Ben Taylor,T49,71,72,70,70,283,-1,"$10,180.00"
51,Michael Miller,T49,71,72,72,68,283,-1,"$10,180.00"
52,Jonathan Byrd,T53,70,73,71,70,284,E,"$9,560.00"
53,Luke List,T53,68,72,72,72,284,E,"$9,560.00"
54,Camilo Villegas,T55,72,71,71,71,285,+1,"$9,320.00"
55,Robert Streb,T55,67,74,72,72,285,+1,"$9,320.00"
56,Danny Willett,T55,67,74,72,72,285,+1,"$9,320.00"
57,Jason Dufner,58,71,72,69,74,286,+2,"$9,160.00"
58,Jhonattan Vegas,T59,67,76,75,69,287,+3,"$9,000.00"
59,Fred Funk,T59,69,72,75,71,287,+3,"$9,000.00"
60,Patrick Rodgers,T59,68,73,74,72,287,+3,"$9,000.00"
61,K.H. Lee,62,70,70,76,72,288,+4,"$8,840.00"
62,Hudson Swafford,T63,67,75,71,76,289,+5,"$8,720.00"
63,Ricky Barnes,T63,71,71,75,72,289,+5,"$8,720.00"
64,Hunter Mahan,T65,66,75,74,77,292,+8,"$8,560.00"
65,Kyle Stanley,T65,70,73,76,73,292,+8,"$8,560.00"
66,Matthew Borchert,67,73,70,75,76,294,+10,"$8,440.00"
67,Eric Dugas,68,66,74,82,76,298,+14,"$8,360.00"
68,Rhein Gibson,CUT,68,76,,,144,+2,$0.00
69,Cameron Tringale,CUT,70,74,,,144,+2,$0.00
70,Kris Ventura,CUT,70,74,,,144,+2,$0.00
71,Nick Watney,CUT,73,71,,,144,+2,$0.00
72,Rafa Cabrera Bello,CUT,71,73,,,144,+2,$0.00
73,Justin Suh,CUT,69,75,,,144,+2,$0.00
74,John Oda,CUT,73,72,,,145,+3,$0.00
75,Tyler McCumber,CUT,68,77,,,145,+3,$0.00
76,Ryan Blaum,CUT,71,74,,,145,+3,$0.00
77,Bill Haas,CUT,74,71,,,145,+3,$0.00
78,Tim Wilkinson,CUT,71,74,,,145,+3,$0.00
79,Bo Van Pelt,CUT,71,74,,,145,+3,$0.00
80,Arjun Atwal,CUT,75,70,,,145,+3,$0.00
81,Chase Seiffert,CUT,65,80,,,145,+3,$0.00
82,Ben Martin,CUT,73,72,,,145,+3,$0.00
83,Henrik Norlander,CUT,70,75,,,145,+3,$0.00
84,Brian Stuard,CUT,67,78,,,145,+3,$0.00
85,Rafael Campos,CUT,75,71,,,146,+4,$0.00
86,Shawn Stefani,CUT,68,78,,,146,+4,$0.00
87,Michael Kim,CUT,75,71,,,146,+4,$0.00
88,Brendon Todd,CUT,71,75,,,146,+4,$0.00
89,Nelson Ledesma,CUT,68,78,,,146,+4,$0.00
90,Bo Hoag,CUT,71,75,,,146,+4,$0.00
91,Jamie Lovemark,CUT,71,75,,,146,+4,$0.00
92,Rob Oppenheim,CUT,68,78,,,146,+4,$0.00
93,Josh Teater,CUT,66,80,,,146,+4,$0.00
94,Seth Reeves,CUT,69,77,,,146,+4,$0.00
95,Danny Walker,CUT,73,73,,,146,+4,$0.00
96,Vince Whaley,CUT,70,76,,,146,+4,$0.00
97,Michael Sims,CUT,73,74,,,147,+5,$0.00
98,Lucas Bjerregaard,CUT,71,76,,,147,+5,$0.00
99,Tom Lewis,CUT,71,77,,,148,+6,$0.00
