,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Patrick Reed,1,64,72,70,68,274,-14,"$1,350,000.00"
1,Tony Finau,T2,69,67,74,69,279,-9,"$456,375.00"
2,Henrik Norlander,T2,73,69,68,69,279,-9,"$456,375.00"
3,Ryan Palmer,T2,66,70,73,70,279,-9,"$456,375.00"
4,Viktor Hovland,T2,70,65,73,71,279,-9,"$456,375.00"
5,Xander Schauffele,T2,70,72,68,69,279,-9,"$456,375.00"
6,Jon Rahm,T7,69,67,72,72,280,-8,"$235,625.00"
7,Will Zalatoris,T7,68,71,70,71,280,-8,"$235,625.00"
8,Lanto Griffin,T7,66,70,72,72,280,-8,"$235,625.00"
9,Peter Malnati,T10,66,71,73,71,281,-7,"$168,125.00"
10,Rory Sabbatini,T10,72,67,72,70,281,-7,"$168,125.00"
11,Adam Scott,T10,67,69,72,73,281,-7,"$168,125.00"
12,Francesco Molinari,T10,72,71,72,66,281,-7,"$168,125.00"
13,Luke List,T10,66,77,72,66,281,-7,"$168,125.00"
14,Sam Ryder,T10,71,69,69,72,281,-7,"$168,125.00"
15,Robby Shelton,T16,73,64,73,72,282,-6,"$125,625.00"
16,Rory McIlroy,T16,68,71,70,73,282,-6,"$125,625.00"
17,Kyle Stanley,T18,72,70,70,71,283,-5,"$80,761.36"
18,Joseph Bramlett,T18,69,73,74,67,283,-5,"$80,761.37"
19,Adam Hadwin,T18,69,70,73,71,283,-5,"$80,761.36"
20,Cameron Tringale,T18,72,69,72,70,283,-5,"$80,761.36"
21,Bo Hoag,T18,72,69,71,71,283,-5,"$80,761.36"
22,Marc Leishman,T18,71,70,72,70,283,-5,"$80,761.37"
23,Charl Schwartzel,T18,70,72,73,68,283,-5,"$80,761.37"
24,"Ted Potter, Jr.",T18,71,69,72,71,283,-5,"$80,761.36"
25,Max Homa,T18,71,68,72,72,283,-5,"$80,761.36"
26,Sam Burns,T18,66,72,70,75,283,-5,"$80,761.36"
27,J.T. Poston,T18,69,74,71,69,283,-5,"$80,761.37"
28,Louis Oosthuizen,T29,72,71,70,71,284,-4,"$51,375.00"
29,Carlos Ortiz,T29,72,68,66,78,284,-4,"$51,375.00"
30,Jason Kokrak,T29,70,69,74,71,284,-4,"$51,375.00"
31,Brandt Snedeker,T32,69,70,77,69,285,-3,"$42,825.00"
32,Sepp Straka,T32,69,74,77,65,285,-3,"$42,825.00"
33,Wyndham Clark,T32,67,73,73,72,285,-3,"$42,825.00"
34,Sungjae Im,T32,69,74,69,73,285,-3,"$42,825.00"
35,Cam Davis,T32,70,71,71,73,285,-3,"$42,825.00"
36,Corey Conners,T37,72,71,73,70,286,-2,"$34,125.00"
37,Kevin Streelman,T37,68,75,73,70,286,-2,"$34,125.00"
38,Alex Noren,T37,64,74,75,73,286,-2,"$34,125.00"
39,Justin Suh,T37,71,72,73,70,286,-2,"$34,125.00"
40,Doug Ghim,T37,70,71,73,72,286,-2,"$34,125.00"
41,Will Gordon,T42,67,70,75,75,287,-1,"$25,875.00"
42,Bill Haas,T42,71,71,72,73,287,-1,"$25,875.00"
43,Lucas Glover,T42,68,72,75,72,287,-1,"$25,875.00"
44,Bronson Burgoon,T42,69,74,74,70,287,-1,"$25,875.00"
45,Tom Lewis,T42,68,75,71,73,287,-1,"$25,875.00"
46,Brandon Hagy,T42,66,75,73,73,287,-1,"$25,875.00"
47,Talor Gooch,T48,66,74,77,71,288,E,"$19,455.00"
48,Matthew NeSmith,T48,70,73,76,69,288,E,"$19,455.00"
49,Gary Woodland,T48,66,75,77,70,288,E,"$19,455.00"
50,Matt Jones,T48,70,73,74,71,288,E,"$19,455.00"
51,Cameron Percy,T48,71,72,73,72,288,E,"$19,455.00"
52,Phil Mickelson,T53,71,72,74,72,289,+1,"$17,496.43"
53,Rhein Gibson,T53,66,76,73,74,289,+1,"$17,496.43"
54,Rickie Fowler,T53,70,73,73,73,289,+1,"$17,496.43"
55,Dylan Frittelli,T53,70,73,71,75,289,+1,"$17,496.43"
56,Roger Sloan,T53,68,73,78,70,289,+1,"$17,496.42"
57,Hideki Matsuyama,T53,74,68,74,73,289,+1,"$17,496.43"
58,Michael Kim,T53,69,74,74,72,289,+1,"$17,496.43"
59,Kelly Kraft,T60,73,69,79,69,290,+2,"$16,575.00"
60,Chase Seiffert,T60,72,68,76,74,290,+2,"$16,575.00"
61,Richy Werenski,T60,69,69,73,79,290,+2,"$16,575.00"
62,Xinjun Zhang,T60,70,73,74,73,290,+2,"$16,575.00"
63,Steve Stricker,T60,72,70,77,71,290,+2,"$16,575.00"
64,Danny Lee,T65,74,67,76,74,291,+3,"$15,900.00"
65,Harry Higgs,T65,71,69,76,75,291,+3,"$15,900.00"
66,John Huh,T65,69,72,76,74,291,+3,"$15,900.00"
67,Kyle Mendoza,T65,73,69,77,72,291,+3,"$15,900.00"
68,Tain Lee,T69,71,72,75,74,292,+4,"$15,375.00"
69,K.J. Choi,T69,66,76,77,73,292,+4,"$15,375.00"
70,Pat Perez,T69,71,70,77,74,292,+4,"$15,375.00"
71,Troy Merritt,72,71,72,76,74,293,+5,"$15,075.00"
72,Tim Wilkinson,T73,67,76,80,71,294,+6,"$14,850.00"
73,Denny McCarthy,T73,67,75,73,79,294,+6,"$14,850.00"
74,Tyler McCumber,T75,76,67,78,75,296,+8,"$14,550.00"
75,Byeong Hun An,T75,72,71,75,78,296,+8,"$14,550.00"
76,Jason Dufner,T77,74,69,78,76,297,+9,"$14,250.00"
77,Kevin Stadler,T77,71,72,77,77,297,+9,"$14,250.00"
78,Grayson Murray,79,69,73,81,75,298,+10,"$14,025.00"
