,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Dustin Johnson,1,65,70,65,68,268,-20,"$2,070,000.00"
1,Cameron Smith,T2,67,68,69,69,273,-15,"$1,012,000.00"
2,Sungjae Im,T2,66,70,68,69,273,-15,"$1,012,000.00"
3,Justin Thomas,4,66,69,71,70,276,-12,"$552,000.00"
4,Dylan Frittelli,T5,65,73,67,72,277,-11,"$437,000.00"
5,Rory McIlroy,T5,75,66,67,69,277,-11,"$437,000.00"
6,C.T. Pan,T7,70,66,74,68,278,-10,"$358,417.00"
7,Brooks Koepka,T7,70,69,69,70,278,-10,"$358,417.00"
8,Jon Rahm,T7,69,66,72,71,278,-10,"$358,417.00"
9,Patrick Reed,T10,68,68,71,72,279,-9,"$287,500.00"
10,Corey Conners,T10,74,65,71,69,279,-9,"$287,500.00"
11,Webb Simpson,T10,67,73,71,68,279,-9,"$287,500.00"
12,Marc Leishman,T13,70,72,70,68,280,-8,"$215,625.00"
13,Kevin Na,T13,73,68,69,70,280,-8,"$215,625.00"
14,Hideki Matsuyama,T13,68,68,72,72,280,-8,"$215,625.00"
15,Abraham Ancer,T13,68,67,69,76,280,-8,"$215,625.00"
16,Xander Schauffele,T17,67,73,71,70,281,-7,"$178,250.00"
17,Patrick Cantlay,T17,70,66,73,72,281,-7,"$178,250.00"
18,Sebastián Muñoz,T19,70,68,69,75,282,-6,"$144,325.00"
19,Scottie Scheffler,T19,71,68,72,71,282,-6,"$144,325.00"
20,Cameron Champ,T19,68,74,68,72,282,-6,"$144,325.00"
21,Tommy Fleetwood,T19,71,66,71,74,282,-6,"$144,325.00"
22,Louis Oosthuizen,T23,68,70,75,70,283,-5,"$115,000.00"
23,Justin Rose,T23,67,70,76,70,283,-5,"$115,000.00"
24,Ian Poulter,T25,72,71,71,70,284,-4,"$91,713.00"
25,Charl Schwartzel,T25,73,71,69,71,284,-4,"$91,713.00"
26,Shane Lowry,T25,74,69,68,73,284,-4,"$91,713.00"
27,Danny Willett,T25,71,66,74,73,284,-4,"$91,713.00"
28,Rickie Fowler,T29,70,70,75,70,285,-3,"$74,750.00"
29,Chez Reavie,T29,71,72,72,70,285,-3,"$74,750.00"
30,Sung Kang,T29,75,69,71,70,285,-3,"$74,750.00"
31,Nick Taylor,T29,72,72,69,72,285,-3,"$74,750.00"
32,Bernhard Langer,T29,68,73,73,71,285,-3,"$74,750.00"
33,Adam Scott,T34,70,72,71,73,286,-2,"$62,100.00"
34,Si Woo Kim,T34,70,71,73,72,286,-2,"$62,100.00"
35,Bryson DeChambeau,T34,70,74,69,73,286,-2,"$62,100.00"
36,Andy Ogletree,T34,73,70,71,72,286,-2,$0.00
37,Christiaan Bezuidenhout,T38,69,73,74,71,287,-1,"$50,600.00"
38,Paul Casey,T38,65,74,71,77,287,-1,"$50,600.00"
39,Lee Westwood,T38,68,74,71,74,287,-1,"$50,600.00"
40,Tiger Woods,T38,68,71,72,76,287,-1,"$50,600.00"
41,Billy Horschel,T38,70,70,72,75,287,-1,"$50,600.00"
42,Tony Finau,T38,69,75,71,72,287,-1,"$50,600.00"
43,Collin Morikawa,T44,70,74,70,74,288,E,"$41,400.00"
44,Shugo Imahira,T44,72,70,72,74,288,E,"$41,400.00"
45,Jordan Spieth,T46,74,70,73,72,289,+1,"$33,672.00"
46,Matt Fitzpatrick,T46,74,70,73,72,289,+1,"$33,672.00"
47,Victor Perez,T46,70,71,76,72,289,+1,"$33,672.00"
48,Matt Wallace,T46,69,73,70,77,289,+1,"$33,672.00"
49,Charles Howell III,T46,71,70,74,74,289,+1,"$33,672.00"
50,Mike Weir,T51,71,72,71,76,290,+2,"$28,003.00"
51,Zach Johnson,T51,73,71,73,73,290,+2,"$28,003.00"
52,Rafa Cabrera Bello,T51,73,71,74,72,290,+2,"$28,003.00"
53,Jazz Janewattananond,T51,69,71,75,75,290,+2,"$28,003.00"
54,John Augenstein,T55,69,72,75,75,291,+3,$0.00
55,Phil Mickelson,T55,69,70,79,73,291,+3,"$26,680.00"
56,Bubba Watson,57,74,69,71,78,292,+4,"$26,450.00"
57,Bernd Wiesberger,58,71,72,78,73,294,+6,"$26,220.00"
58,Brandt Snedeker,59,71,71,79,74,295,+7,"$25,990.00"
