,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Garrick Higgo,1,68,69,68,68,273,-11,"$1,314,000.00"
1,Doc Redman,T2,65,72,70,67,274,-10,"$411,233.34"
2,Bo Van Pelt,T2,69,71,66,68,274,-10,"$411,233.33"
3,Jhonattan Vegas,T2,66,72,69,67,274,-10,"$411,233.33"
4,Hudson Swafford,T2,68,70,70,66,274,-10,"$411,233.34"
5,Tyrrell Hatton,T2,71,68,67,68,274,-10,"$411,233.33"
6,Chesson Hadley,T2,65,66,68,75,274,-10,"$411,233.33"
7,David Lipsky,T8,71,70,67,67,275,-9,"$220,825.00"
8,Ryan Armour,T8,71,69,71,64,275,-9,"$220,825.00"
9,Pat Perez,T10,70,66,71,69,276,-8,"$177,025.00"
10,Dustin Johnson,T10,65,68,73,70,276,-8,"$177,025.00"
11,Erik van Rooyen,T10,65,71,72,68,276,-8,"$177,025.00"
12,Matt Fitzpatrick,T10,71,70,69,66,276,-8,"$177,025.00"
13,Tain Lee,T14,67,68,71,71,277,-7,"$125,925.00"
14,Wilco Nienaber,T14,68,68,74,67,277,-7,"$125,925.00"
15,Will Gordon,T14,68,75,70,64,277,-7,"$125,925.00"
16,Harris English,T14,67,69,67,74,277,-7,"$125,925.00"
17,Chez Reavie,T14,67,69,73,68,277,-7,"$125,925.00"
18,Scott Piercy,T19,71,70,69,68,278,-6,"$86,505.00"
19,Seamus Power,T19,70,66,71,71,278,-6,"$86,505.00"
20,Rob Oppenheim,T19,69,68,71,70,278,-6,"$86,505.00"
21,Satoshi Kodaira,T19,69,72,68,69,278,-6,"$86,505.00"
22,Beau Hossler,T19,71,71,68,68,278,-6,"$86,505.00"
23,Danny Lee,T19,67,73,67,71,278,-6,"$86,505.00"
24,Henrik Norlander,T25,70,68,73,68,279,-5,"$56,088.34"
25,Anirban Lahiri,T25,69,73,70,67,279,-5,"$56,088.34"
26,Rhein Gibson,T25,70,71,68,70,279,-5,"$56,088.33"
27,Joseph Bramlett,T25,71,72,68,68,279,-5,"$56,088.33"
28,Ian Poulter,T25,68,72,69,70,279,-5,"$56,088.33"
29,Bill Haas,T25,71,70,70,68,279,-5,"$56,088.33"
30,Luke Donald,T31,71,69,67,73,280,-4,"$44,621.25"
31,C.T. Pan,T31,69,72,69,70,280,-4,"$44,621.25"
32,Hank Lebioda,T31,68,74,71,67,280,-4,"$44,621.25"
33,Austin Cook,T31,70,69,70,71,280,-4,"$44,621.25"
34,Matthew NeSmith,T35,72,69,75,65,281,-3,"$33,336.67"
35,Chase Seiffert,T35,70,71,71,69,281,-3,"$33,336.67"
36,Sungjae Im,T35,75,68,71,67,281,-3,"$33,336.67"
37,Ben Taylor,T35,72,70,69,70,281,-3,"$33,336.66"
38,Bryson Nimmer,T35,68,75,67,71,281,-3,"$33,336.66"
39,Broc Everett,T35,69,72,69,71,281,-3,"$33,336.66"
40,Davis Thompson,T35,71,69,71,70,281,-3,"$33,336.67"
41,Tommy Fleetwood,T35,68,75,70,68,281,-3,"$33,336.67"
42,Russell Knox,T35,71,71,71,68,281,-3,"$33,336.67"
43,Kevin Chappell,T44,68,72,69,73,282,-2,"$22,435.33"
44,Peter Uihlein,T44,73,70,71,68,282,-2,"$22,435.34"
45,Wes Roach,T44,64,77,67,74,282,-2,"$22,435.33"
46,Nick Taylor,T44,67,73,70,72,282,-2,"$22,435.33"
47,Aaron Baddeley,T44,70,73,68,71,282,-2,"$22,435.34"
48,Scott Harrington,T44,70,71,67,74,282,-2,"$22,435.33"
49,J.B. Holmes,T50,69,74,72,68,283,-1,"$18,542.00"
50,Patrick Rodgers,T50,67,70,73,73,283,-1,"$18,542.00"
51,Sam Ryder,T52,67,74,68,75,284,E,"$17,483.50"
52,Vaughn Taylor,T52,67,72,72,73,284,E,"$17,483.50"
