,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Stewart Cink,1,67,70,65,65,267,-21,"$1,188,000.00"
1,Harry Higgs,2,69,62,70,68,269,-19,"$719,400.00"
2,Brian Stuard,T3,67,67,66,70,270,-18,"$322,162.50"
3,Chez Reavie,T3,67,71,66,66,270,-18,"$322,162.50"
4,Kevin Streelman,T3,72,66,65,67,270,-18,"$322,162.50"
5,Doc Redman,T3,70,69,69,62,270,-18,"$322,162.50"
6,Sam Burns,T7,64,65,72,70,271,-17,"$214,500.00"
7,Kris Ventura,T7,69,66,66,70,271,-17,"$214,500.00"
8,J.J. Spaun,T9,70,68,66,68,272,-16,"$166,650.00"
9,Akshay Bhatia,T9,66,72,66,68,272,-16,"$166,650.00"
10,Pat Perez,T9,65,69,69,69,272,-16,"$166,650.00"
11,James Hahn,T9,68,65,67,72,272,-16,"$166,650.00"
12,Russell Knox,T9,63,69,70,70,272,-16,"$166,650.00"
13,Chesson Hadley,T14,70,67,69,67,273,-15,"$100,650.00"
14,Michael Gligic,T14,70,68,67,68,273,-15,"$100,650.00"
15,Xinjun Zhang,T14,69,67,67,70,273,-15,"$100,650.00"
16,D.J. Trahan,T14,67,65,70,71,273,-15,"$100,650.00"
17,David Hearn,T14,69,69,66,69,273,-15,"$100,650.00"
18,Sahith Theegala,T14,71,68,64,70,273,-15,"$100,650.00"
19,Sepp Straka,T14,70,66,68,69,273,-15,"$100,650.00"
20,Bud Cauley,T14,68,68,69,68,273,-15,"$100,650.00"
21,Doug Ghim,T14,67,66,69,71,273,-15,"$100,650.00"
22,Vince Whaley,T23,69,70,66,69,274,-14,"$57,420.00"
23,Charl Schwartzel,T23,68,68,68,70,274,-14,"$57,420.00"
24,Cameron Percy,T23,64,68,68,74,274,-14,"$57,420.00"
25,Ricky Barnes,T23,69,66,69,70,274,-14,"$57,420.00"
26,Nelson Ledesma,T23,69,68,67,70,274,-14,"$57,420.00"
27,Beau Hossler,T23,73,65,69,67,274,-14,"$57,420.00"
28,Tom Hoge,T29,66,68,70,71,275,-13,"$41,391.43"
29,Bo Hoag,T29,64,72,71,68,275,-13,"$41,391.43"
30,Emiliano Grillo,T29,69,68,65,73,275,-13,"$41,391.42"
31,Brendan Steele,T29,65,70,69,71,275,-13,"$41,391.43"
32,Branden Grace,T29,68,71,68,68,275,-13,"$41,391.43"
33,Jason Dufner,T29,70,67,67,71,275,-13,"$41,391.43"
34,Harold Varner III,T29,67,71,71,66,275,-13,"$41,391.43"
35,Ben Taylor,T36,69,67,67,73,276,-12,"$29,411.25"
36,Cam Davis,T36,71,68,70,67,276,-12,"$29,411.25"
37,Tim Wilkinson,T36,67,68,68,73,276,-12,"$29,411.25"
38,Rob Oppenheim,T36,68,66,73,69,276,-12,"$29,411.25"
39,Scott Harrington,T36,66,70,70,70,276,-12,"$29,411.25"
40,Anirban Lahiri,T36,74,65,67,70,276,-12,"$29,411.25"
41,Mark Anderson,T36,68,69,71,68,276,-12,"$29,411.25"
42,Andrew Putnam,T36,70,68,69,69,276,-12,"$29,411.25"
43,Phil Mickelson,T44,71,67,70,70,278,-10,"$22,770.00"
44,Si Woo Kim,T44,70,65,77,66,278,-10,"$22,770.00"
45,Patrick Rodgers,T46,67,72,70,70,279,-9,"$18,282.00"
46,Jim Furyk,T46,72,66,71,70,279,-9,"$18,282.00"
47,Nick Watney,T46,72,65,74,68,279,-9,"$18,282.00"
48,Carlos Ortiz,T46,67,70,68,74,279,-9,"$18,282.00"
49,Kyle Stanley,T46,70,69,68,72,279,-9,"$18,282.00"
50,J.B. Holmes,T46,70,68,70,71,279,-9,"$18,282.00"
51,Joel Dahmen,T52,71,68,71,70,280,-8,"$15,807.00"
52,Jhonattan Vegas,T52,70,68,69,73,280,-8,"$15,807.00"
53,Ryan Blaum,T52,71,67,72,70,280,-8,"$15,807.00"
54,Austin Cook,T52,68,71,71,70,280,-8,"$15,807.00"
55,Isaiah Salinda,T56,71,68,69,73,281,-7,"$15,114.00"
56,Jamie Lovemark,T56,69,69,71,72,281,-7,"$15,114.00"
57,Charley Hoffman,T56,67,71,71,72,281,-7,"$15,114.00"
58,Hudson Swafford,T56,70,68,72,71,281,-7,"$15,114.00"
59,Kevin Chappell,T56,69,70,73,69,281,-7,"$15,114.00"
60,C.T. Pan,T61,69,70,71,72,282,-6,"$14,520.00"
61,Jonathan Byrd,T61,69,69,71,73,282,-6,"$14,520.00"
62,Will Gordon,T61,72,67,70,73,282,-6,"$14,520.00"
63,Adam Schenk,T61,68,71,71,72,282,-6,"$14,520.00"
64,Lucas Glover,T65,69,67,74,73,283,-5,"$14,124.00"
65,Luke List,T65,70,69,70,74,283,-5,"$14,124.00"
66,Brice Garnett,T67,69,70,73,72,284,-4,"$13,728.00"
67,William McGirt,T67,69,69,77,69,284,-4,"$13,728.00"
68,Brandon Hagy,T67,69,70,74,71,284,-4,"$13,728.00"
69,Tom Kim,T67,67,72,75,70,284,-4,"$13,728.00"
70,Andy Zhang,71,66,72,70,78,286,-2,"$13,398.00"
71,MJ Daffue,72,71,65,74,78,288,E,"$13,266.00"
72,Rhein Gibson,73,73,66,76,76,291,+3,"$13,134.00"
73,Troy Merritt,CUT,75,66,,,141,-3,$0.00
74,Patton Kizzire,CUT,72,71,,,143,-1,$0.00
75,K.H. Lee,CUT,74,69,,,143,-1,$0.00
76,Kevin Tway,CUT,70,72,,,142,-2,$0.00
77,Rafael Campos,CUT,70,72,,,142,-2,$0.00
78,Roberto Castro,CUT,76,71,,,147,+3,$0.00
79,Henrik Norlander,CUT,75,71,,,146,+2,$0.00
80,Scott Stallings,CUT,71,73,,,144,E,$0.00
81,Kiradech Aphibarnrat,CUT,70,74,,,144,E,$0.00
82,Sebastian Cappelen,CUT,72,70,,,142,-2,$0.00
83,Robert Streb,CUT,74,70,,,144,E,$0.00
84,Peter Malnati,CUT,71,70,,,141,-3,$0.00
85,Grayson Murray,CUT,73,67,,,140,-4,$0.00
86,Joseph Bramlett,CUT,75,72,,,147,+3,$0.00
87,Martin Trainer,CUT,71,73,,,144,E,$0.00
88,Keegan Bradley,CUT,68,72,,,140,-4,$0.00
89,Shane Lowry,CUT,68,73,,,141,-3,$0.00
90,Chris Baker,CUT,70,70,,,140,-4,$0.00
91,Shawn Stefani,CUT,77,73,,,150,+6,$0.00
92,Cameron Tringale,CUT,70,71,,,141,-3,$0.00
93,Zack Sucher,CUT,73,68,,,141,-3,$0.00
94,Roger Sloan,CUT,73,67,,,140,-4,$0.00
95,Josh Teater,CUT,71,69,,,140,-4,$0.00
96,Graham DeLaet,CUT,74,75,,,149,+5,$0.00
97,Johnson Wagner,CUT,72,72,,,144,E,$0.00
98,Rafa Cabrera Bello,CUT,74,70,,,144,E,$0.00
99,Scott Brown,CUT,74,69,,,143,-1,$0.00
100,Peter Uihlein,CUT,72,71,,,143,-1,$0.00
101,"Ted Potter, Jr.",CUT,72,68,,,140,-4,$0.00
102,Brandt Snedeker,CUT,73,70,,,143,-1,$0.00
103,Camilo Villegas,CUT,72,69,,,141,-3,$0.00
104,Martin Laird,CUT,68,75,,,143,-1,$0.00
105,Chris Stroud,CUT,70,70,,,140,-4,$0.00
106,Seamus Power,CUT,75,71,,,146,+2,$0.00
107,Sangmoon Bae,CUT,71,76,,,147,+3,$0.00
108,Matt Every,CUT,74,73,,,147,+3,$0.00
