,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jason Kokrak,1,70,66,68,64,268,-20,"$1,755,000.00"
1,Xander Schauffele,2,66,64,74,66,270,-18,"$1,053,000.00"
2,Russell Henley,T3,66,68,67,70,271,-17,"$565,500.00"
3,Tyrrell Hatton,T3,65,68,73,65,271,-17,"$565,500.00"
4,Talor Gooch,5,70,65,69,68,272,-16,"$390,000.00"
5,Joaquin Niemann,6,72,68,69,66,275,-13,"$351,000.00"
6,Lanto Griffin,T7,70,68,66,72,276,-12,"$314,437.50"
7,Bubba Watson,T7,74,69,65,68,276,-12,"$314,437.50"
8,Sebastián Muñoz,9,71,70,67,69,277,-11,"$282,750.00"
9,Harris English,10,75,66,69,68,278,-10,"$263,250.00"
10,Cameron Smith,11,69,74,68,68,279,-9,"$243,750.00"
11,Viktor Hovland,T12,75,66,69,70,280,-8,"$190,320.00"
12,Matt Fitzpatrick,T12,69,68,72,71,280,-8,"$190,320.00"
13,Ian Poulter,T12,69,70,73,68,280,-8,"$190,320.00"
14,Justin Thomas,T12,72,66,68,74,280,-8,"$190,320.00"
15,Collin Morikawa,T12,71,65,71,73,280,-8,"$190,320.00"
16,Ryan Palmer,T17,68,76,66,71,281,-7,"$139,035.00"
17,Jon Rahm,T17,67,73,69,72,281,-7,"$139,035.00"
18,Mark Hubbard,T17,70,71,70,70,281,-7,"$139,035.00"
19,Si Woo Kim,T17,69,74,69,69,281,-7,"$139,035.00"
20,Robby Shelton,T21,73,70,70,69,282,-6,"$91,956.43"
21,Danny Lee,T21,71,72,73,66,282,-6,"$91,956.43"
22,Harry Higgs,T21,72,67,70,73,282,-6,"$91,956.43"
23,Hideki Matsuyama,T21,70,68,70,74,282,-6,"$91,956.43"
24,Sergio Garcia,T21,71,70,72,69,282,-6,"$91,956.43"
25,Kevin Streelman,T21,68,70,72,72,282,-6,"$91,956.43"
26,Rory McIlroy,T21,73,69,66,74,282,-6,"$91,956.42"
27,Billy Horschel,T28,70,70,72,71,283,-5,"$57,135.00"
28,Brian Harman,T28,71,71,71,70,283,-5,"$57,135.00"
29,Rickie Fowler,T28,74,68,68,73,283,-5,"$57,135.00"
30,Shane Lowry,T28,72,74,70,67,283,-5,"$57,135.00"
31,Adam Hadwin,T28,75,69,69,70,283,-5,"$57,135.00"
32,Daniel Berger,T28,71,70,70,72,283,-5,"$57,135.00"
33,Abraham Ancer,T28,69,73,70,71,283,-5,"$57,135.00"
34,Tyler Duncan,T28,67,71,72,73,283,-5,"$57,135.00"
35,Richy Werenski,T28,74,68,70,71,283,-5,"$57,135.00"
36,Brooks Koepka,T28,74,68,68,73,283,-5,"$57,135.00"
37,Patrick Cantlay,T38,71,72,74,67,284,-4,"$40,560.00"
38,Jordan Spieth,T38,74,74,69,67,284,-4,"$40,560.00"
39,Joel Dahmen,T38,68,75,73,68,284,-4,"$40,560.00"
40,Tom Hoge,T38,73,70,73,68,284,-4,"$40,560.00"
41,Byeong Hun An,T42,73,73,68,71,285,-3,"$33,735.00"
42,Keegan Bradley,T42,75,70,68,72,285,-3,"$33,735.00"
43,Cameron Champ,T42,74,69,74,68,285,-3,"$33,735.00"
44,Kevin Kisner,T45,77,71,67,71,286,-2,"$27,885.00"
45,Kevin Na,T45,76,66,73,71,286,-2,"$27,885.00"
46,Sungjae Im,T45,78,69,72,67,286,-2,"$27,885.00"
47,Hanbyeol Kim,T48,74,69,73,71,287,-1,"$23,205.00"
48,Louis Oosthuizen,T48,70,73,74,70,287,-1,"$23,205.00"
49,Carlos Ortiz,T48,72,71,72,72,287,-1,"$23,205.00"
50,J.T. Poston,51,78,70,71,69,288,E,"$21,645.00"
51,S.H. Kim,T52,77,70,69,73,289,+1,"$20,168.57"
52,Brendon Todd,T52,77,73,70,69,289,+1,"$20,168.57"
53,Marc Leishman,T52,73,71,70,75,289,+1,"$20,168.58"
54,Justin Rose,T52,74,72,68,75,289,+1,"$20,168.57"
55,Matt Kuchar,T52,76,68,74,71,289,+1,"$20,168.57"
56,Scottie Scheffler,T52,71,77,71,70,289,+1,"$20,168.57"
57,K.H. Lee,T52,78,73,70,68,289,+1,"$20,168.57"
58,Jaekyeong Lee,T59,77,76,71,66,290,+2,"$19,207.50"
59,Tommy Fleetwood,T59,77,71,72,70,290,+2,"$19,207.50"
60,Andrew Landry,T61,71,69,74,77,291,+3,"$18,720.00"
61,Nick Taylor,T61,71,74,72,74,291,+3,"$18,720.00"
62,Corey Conners,T61,77,70,72,72,291,+3,"$18,720.00"
63,Tom Kim,64,75,71,74,72,292,+4,"$18,330.00"
64,Mackenzie Hughes,T65,73,75,69,77,294,+6,"$17,842.50"
65,Brendan Steele,T65,73,79,73,69,294,+6,"$17,842.50"
66,Michael Thompson,T65,75,77,74,68,294,+6,"$17,842.50"
67,Jim Herman,T65,78,69,72,75,294,+6,"$17,842.50"
68,Dylan Frittelli,T69,74,72,74,75,295,+7,"$17,257.50"
69,Paul Casey,T69,75,77,67,76,295,+7,"$17,257.50"
70,Jeongwoo Ham,71,79,71,70,76,296,+8,"$16,965.00"
71,Gary Woodland,72,73,75,78,71,297,+9,"$16,770.00"
72,Matthew Wolff,73,80,73,69,77,299,+11,"$16,575.00"
73,Adam Long,74,78,72,72,78,300,+12,"$16,380.00"
74,Sung Kang,75,73,71,82,75,301,+13,"$16,185.00"
75,Alex Noren,76,77,73,79,76,305,+17,"$15,990.00"
76,Tae Hee Lee,77,75,75,82,74,306,+18,"$15,795.00"
77,Jason Day,W/D,70,70,66,,206,-10,$0.00
