,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Si Woo Kim,1,66,68,67,64,265,-23,"$1,206,000.00"
1,Patrick Cantlay,2,69,71,65,61,266,-22,"$730,300.00"
2,Cam Davis,3,68,70,66,64,268,-20,"$462,300.00"
3,Tony Finau,4,68,66,67,68,269,-19,"$328,300.00"
4,Michael Thompson,T5,67,72,68,66,273,-15,"$247,900.00"
5,Abraham Ancer,T5,69,65,73,66,273,-15,"$247,900.00"
6,Doug Ghim,T5,67,68,69,69,273,-15,"$247,900.00"
7,Byeong Hun An,T8,65,73,67,69,274,-14,"$189,275.00"
8,Brian Harman,T8,68,68,67,71,274,-14,"$189,275.00"
9,Francesco Molinari,T8,69,66,69,70,274,-14,"$189,275.00"
10,Paul Casey,T8,72,65,68,69,274,-14,"$189,275.00"
11,Rory Sabbatini,T12,68,69,67,71,275,-13,"$137,350.00"
12,Henrik Norlander,T12,71,68,70,66,275,-13,"$137,350.00"
13,Chase Seiffert,T12,72,67,65,71,275,-13,"$137,350.00"
14,Sungjae Im,T12,68,65,73,69,275,-13,"$137,350.00"
15,Chris Kirk,T16,68,70,70,68,276,-12,"$102,175.00"
16,Gary Woodland,T16,70,68,68,70,276,-12,"$102,175.00"
17,Russell Knox,T16,69,70,64,73,276,-12,"$102,175.00"
18,Bo Hoag,T16,71,69,68,68,276,-12,"$102,175.00"
19,Ryan Armour,T16,70,67,73,66,276,-12,"$102,175.00"
20,Matt Jones,T21,70,68,67,72,277,-11,"$58,625.00"
21,Luke List,T21,69,68,68,72,277,-11,"$58,625.00"
22,Brendan Steele,T21,68,68,72,69,277,-11,"$58,625.00"
23,John Huh,T21,68,68,70,71,277,-11,"$58,625.00"
24,Andrew Putnam,T21,67,69,70,71,277,-11,"$58,625.00"
25,Rickie Fowler,T21,73,66,70,68,277,-11,"$58,625.00"
26,Max Homa,T21,66,70,65,76,277,-11,"$58,625.00"
27,Talor Gooch,T21,74,66,65,72,277,-11,"$58,625.00"
28,Brandon Hagy,T21,64,70,72,71,277,-11,"$58,625.00"
29,Richy Werenski,T21,69,68,65,75,277,-11,"$58,625.00"
30,Kramer Hickok,T21,70,69,69,69,277,-11,"$58,625.00"
31,Austin Cook,T32,68,70,74,66,278,-10,"$38,257.00"
32,Adam Hadwin,T32,72,66,74,66,278,-10,"$38,257.00"
33,James Hahn,T32,68,69,70,71,278,-10,"$38,257.00"
34,K.H. Lee,T32,68,71,71,68,278,-10,"$38,257.00"
35,Kyle Stanley,T32,70,68,70,70,278,-10,"$38,257.00"
36,Bronson Burgoon,T37,71,68,70,70,279,-9,"$31,825.00"
37,Emiliano Grillo,T37,69,66,68,76,279,-9,"$31,825.00"
38,Adam Schenk,T37,68,68,71,72,279,-9,"$31,825.00"
39,Tyler McCumber,T40,69,70,73,68,280,-8,"$25,125.00"
40,Matthew Wolff,T40,72,67,71,70,280,-8,"$25,125.00"
41,Rhein Gibson,T40,70,70,69,71,280,-8,"$25,125.00"
42,Roger Sloan,T40,69,67,69,75,280,-8,"$25,125.00"
43,Jamie Lovemark,T40,68,71,70,71,280,-8,"$25,125.00"
44,Josh Teater,T40,68,69,71,72,280,-8,"$25,125.00"
45,Alex Noren,T40,67,71,70,72,280,-8,"$25,125.00"
46,Martin Laird,T47,66,74,69,72,281,-7,"$17,777.33"
47,Rob Oppenheim,T47,69,71,67,74,281,-7,"$17,777.34"
48,Nick Taylor,T47,68,66,74,73,281,-7,"$17,777.34"
49,Brian Stuard,T47,74,65,72,70,281,-7,"$17,777.33"
50,Harry Hall,T47,70,70,72,69,281,-7,"$17,777.33"
51,Sam Ryder,T47,67,70,72,72,281,-7,"$17,777.33"
52,Patton Kizzire,53,69,70,70,73,282,-6,"$16,147.00"
53,Charl Schwartzel,T54,67,72,72,72,283,-5,"$15,812.00"
54,Wyndham Clark,T54,70,70,73,70,283,-5,"$15,812.00"
55,Erik van Rooyen,T56,70,69,76,69,284,-4,"$15,410.00"
56,Tyler Duncan,T56,67,72,73,72,284,-4,"$15,410.00"
57,Ben Martin,T56,67,71,69,77,284,-4,"$15,410.00"
58,Cameron Tringale,T56,68,72,72,72,284,-4,"$15,410.00"
59,Jimmy Walker,T60,69,70,70,76,285,-3,"$15,008.00"
60,Vaughn Taylor,T60,73,67,74,71,285,-3,"$15,008.00"
61,Zach Johnson,T62,72,68,71,75,286,-2,"$14,740.00"
62,Hank Lebioda,T62,69,71,70,76,286,-2,"$14,740.00"
63,Will Gordon,T64,72,68,75,72,287,-1,"$14,338.00"
64,David Hearn,T64,68,71,75,73,287,-1,"$14,338.00"
65,Sebastian Cappelen,T64,70,70,78,69,287,-1,"$14,338.00"
66,Andrew Landry,T64,70,69,74,74,287,-1,"$14,338.00"
67,Nelson Ledesma,68,70,70,79,69,288,E,"$14,003.00"
68,Adam Long,69,68,70,76,75,289,+1,"$13,869.00"
69,Doc Redman,70,70,70,76,74,290,+2,"$13,735.00"
70,Maverick McNealy,71,67,73,79,72,291,+3,"$13,601.00"
71,Vince Whaley,CUT,69,72,,,141,-3,$0.00
72,Scottie Scheffler,CUT,70,71,,,141,-3,$0.00
73,Scott Stallings,CUT,74,67,,,141,-3,$0.00
74,Anirban Lahiri,CUT,68,73,,,141,-3,$0.00
75,Bill Haas,CUT,70,71,,,141,-3,$0.00
76,C.T. Pan,CUT,70,71,,,141,-3,$0.00
77,Pat Perez,CUT,70,71,,,141,-3,$0.00
78,Tim Wilkinson,CUT,70,71,,,141,-3,$0.00
79,Chez Reavie,CUT,71,70,,,141,-3,$0.00
80,Ryan Moore,CUT,70,71,,,141,-3,$0.00
81,Jason Dufner,CUT,74,68,,,142,-2,$0.00
82,Luke Donald,CUT,72,70,,,142,-2,$0.00
83,Brian Gay,CUT,74,68,,,142,-2,$0.00
84,Charles Howell III,CUT,72,70,,,142,-2,$0.00
85,Danny Lee,CUT,70,72,,,142,-2,$0.00
86,Fabián Gómez,CUT,70,72,,,142,-2,$0.00
87,Xinjun Zhang,CUT,70,72,,,142,-2,$0.00
88,Troy Merritt,CUT,69,73,,,142,-2,$0.00
89,Lanto Griffin,CUT,69,73,,,142,-2,$0.00
90,Tom Kim,CUT,69,73,,,142,-2,$0.00
91,Akshay Bhatia,CUT,72,70,,,142,-2,$0.00
92,Ben Taylor,CUT,71,72,,,143,-1,$0.00
93,Sam Burns,CUT,77,66,,,143,-1,$0.00
94,Denny McCarthy,CUT,73,70,,,143,-1,$0.00
95,J.J. Spaun,CUT,70,73,,,143,-1,$0.00
96,Brooks Koepka,CUT,72,71,,,143,-1,$0.00
97,Patrick Reed,CUT,68,75,,,143,-1,$0.00
98,Kris Ventura,CUT,68,75,,,143,-1,$0.00
99,Joel Dahmen,CUT,69,74,,,143,-1,$0.00
100,Russell Henley,CUT,72,71,,,143,-1,$0.00
101,Satoshi Kodaira,CUT,69,74,,,143,-1,$0.00
102,Jim Herman,CUT,73,70,,,143,-1,$0.00
103,"Ted Potter, Jr.",CUT,72,71,,,143,-1,$0.00
104,Aaron Baddeley,CUT,68,75,,,143,-1,$0.00
105,Kevin Stadler,CUT,72,71,,,143,-1,$0.00
106,Scott Piercy,CUT,70,74,,,144,E,$0.00
107,Lucas Glover,CUT,71,73,,,144,E,$0.00
108,Kevin Na,CUT,75,69,,,144,E,$0.00
109,Sean O'Hair,CUT,71,73,,,144,E,$0.00
110,Cameron Percy,CUT,73,71,,,144,E,$0.00
111,Kevin Streelman,CUT,68,76,,,144,E,$0.00
112,Kevin Tway,CUT,72,72,,,144,E,$0.00
113,Grayson Murray,CUT,69,75,,,144,E,$0.00
114,Kelly Kraft,CUT,70,74,,,144,E,$0.00
115,Patrick Rodgers,CUT,69,75,,,144,E,$0.00
116,Mark Hubbard,CUT,68,76,,,144,E,$0.00
117,John Augenstein,CUT,72,72,,,144,E,$0.00
118,Aaron Wise,CUT,71,74,,,145,+1,$0.00
119,Beau Hossler,CUT,73,72,,,145,+1,$0.00
120,Peter Malnati,CUT,73,72,,,145,+1,$0.00
121,Mark Anderson,CUT,70,75,,,145,+1,$0.00
122,Bo Van Pelt,CUT,75,70,,,145,+1,$0.00
123,Phil Mickelson,CUT,74,72,,,146,+2,$0.00
124,S.Y. Noh,CUT,74,72,,,146,+2,$0.00
125,Tom Hoge,CUT,71,75,,,146,+2,$0.00
126,Martin Trainer,CUT,70,77,,,147,+3,$0.00
127,Hudson Swafford,CUT,71,76,,,147,+3,$0.00
128,Scott Brown,CUT,72,75,,,147,+3,$0.00
129,Nick Watney,CUT,74,73,,,147,+3,$0.00
130,Brandt Snedeker,CUT,73,74,,,147,+3,$0.00
131,Michael Block,CUT,74,73,,,147,+3,$0.00
132,Robby Shelton,CUT,74,73,,,147,+3,$0.00
133,Camilo Villegas,CUT,69,79,,,148,+4,$0.00
134,Scott Harrington,CUT,73,75,,,148,+4,$0.00
135,Brice Garnett,CUT,70,78,,,148,+4,$0.00
136,Michael Gligic,CUT,71,77,,,148,+4,$0.00
137,Chris Baker,CUT,77,71,,,148,+4,$0.00
138,Steve Stricker,CUT,75,74,,,149,+5,$0.00
139,Sepp Straka,CUT,72,77,,,149,+5,$0.00
140,J.T. Poston,CUT,70,80,,,150,+6,$0.00
141,Keegan Bradley,CUT,73,77,,,150,+6,$0.00
142,Chesson Hadley,CUT,77,73,,,150,+6,$0.00
143,Rafael Campos,CUT,74,77,,,151,+7,$0.00
144,Nate Lashley,CUT,73,78,,,151,+7,$0.00
145,Michael Kim,CUT,78,73,,,151,+7,$0.00
146,Michael Gellerman,CUT,72,80,,,152,+8,$0.00
147,Cameron Champ,CUT,77,75,,,152,+8,$0.00
148,Matthew NeSmith,CUT,78,75,,,153,+9,$0.00
149,Steve Jones,CUT,73,80,,,153,+9,$0.00
150,Hunter Mahan,CUT,76,77,,,153,+9,$0.00
151,Sung Kang,CUT,77,77,,,154,+10,$0.00
152,John Senden,CUT,81,74,,,155,+11,$0.00
153,Joseph Bramlett,CUT,79,76,,,155,+11,$0.00
154,Matt Every,CUT,84,72,,,156,+12,$0.00
155,Charley Hoffman,W/D,70,66,,,136,-8,$0.00
