,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Brooks Koepka,1,68,66,66,65,265,-19,"$1,314,000.00"
1,K.H. Lee,T2,66,66,66,68,266,-18,"$649,700.00"
2,Xander Schauffele,T2,66,64,65,71,266,-18,"$649,700.00"
3,Carlos Ortiz,T4,67,67,69,64,267,-17,"$307,208.34"
4,Jordan Spieth,T4,67,67,61,72,267,-17,"$307,208.33"
5,Steve Stricker,T4,65,66,69,67,267,-17,"$307,208.33"
6,Andrew Putnam,T7,67,69,67,65,268,-16,"$229,341.67"
7,Matthew NeSmith,T7,63,71,68,66,268,-16,"$229,341.67"
8,Scottie Scheffler,T7,67,65,66,70,268,-16,"$229,341.66"
9,James Hahn,10,67,67,66,69,269,-15,"$198,925.00"
10,Louis Oosthuizen,T11,69,67,63,71,270,-14,"$177,025.00"
11,J.T. Poston,T11,68,66,67,69,270,-14,"$177,025.00"
12,Jon Rahm,T13,68,69,66,68,271,-13,"$138,700.00"
13,Rory McIlroy,T13,70,67,70,64,271,-13,"$138,700.00"
14,Harold Varner III,T13,68,68,67,68,271,-13,"$138,700.00"
15,Justin Thomas,T13,70,65,64,72,271,-13,"$138,700.00"
16,Cameron Tringale,T17,71,64,69,68,272,-12,"$104,025.00"
17,Nate Lashley,T17,64,69,69,70,272,-12,"$104,025.00"
18,Will Zalatoris,T17,71,66,64,71,272,-12,"$104,025.00"
19,Sungjae Im,T17,72,67,68,65,272,-12,"$104,025.00"
20,Corey Conners,T17,69,68,68,67,272,-12,"$104,025.00"
21,Richy Werenski,T22,69,69,71,64,273,-11,"$64,422.50"
22,Sam Burns,T22,64,68,73,68,273,-11,"$64,422.50"
23,Bubba Watson,T22,71,68,69,65,273,-11,"$64,422.50"
24,Kevin Streelman,T22,68,67,69,69,273,-11,"$64,422.50"
25,Henrik Norlander,T22,68,71,67,67,273,-11,"$64,422.50"
26,Brendon Todd,T22,68,69,65,71,273,-11,"$64,422.50"
27,Emiliano Grillo,T22,69,70,67,67,273,-11,"$64,422.50"
28,Keegan Bradley,T22,66,65,70,72,273,-11,"$64,422.50"
29,Brendan Steele,T30,70,67,70,67,274,-10,"$44,712.50"
30,Russell Henley,T30,71,67,65,71,274,-10,"$44,712.50"
31,Mark Hubbard,T30,63,73,71,67,274,-10,"$44,712.50"
32,Matt Jones,T30,68,69,69,68,274,-10,"$44,712.50"
33,Luke List,T30,72,67,68,67,274,-10,"$44,712.50"
34,Bo Van Pelt,T30,69,67,71,67,274,-10,"$44,712.50"
35,Kyle Stanley,T36,71,67,70,67,275,-9,"$34,005.83"
36,Scott Stallings,T36,67,70,66,72,275,-9,"$34,005.84"
37,Brian Harman,T36,71,68,69,67,275,-9,"$34,005.83"
38,Bo Hoag,T36,67,71,71,66,275,-9,"$34,005.83"
39,Wyndham Clark,T36,72,67,67,69,275,-9,"$34,005.84"
40,Matthew Wolff,T36,68,71,69,67,275,-9,"$34,005.83"
41,Nick Hardy,T42,68,67,71,70,276,-8,"$23,852.75"
42,Max Homa,T42,69,69,68,70,276,-8,"$23,852.75"
43,Grayson Murray,T42,70,68,68,70,276,-8,"$23,852.75"
44,Hideki Matsuyama,T42,71,67,69,69,276,-8,"$23,852.75"
45,Webb Simpson,T42,73,65,69,69,276,-8,"$23,852.75"
46,Zach Johnson,T42,68,70,69,69,276,-8,"$23,852.75"
47,Matt Kuchar,T42,69,67,73,67,276,-8,"$23,852.75"
48,Ryan Palmer,T42,70,68,71,67,276,-8,"$23,852.75"
49,Adam Hadwin,T50,67,70,73,67,277,-7,"$18,323.00"
50,Patton Kizzire,T50,69,65,69,74,277,-7,"$18,323.00"
51,Si Woo Kim,T50,71,66,70,70,277,-7,"$18,323.00"
52,Robby Shelton,T53,72,66,70,70,278,-6,"$17,264.50"
53,Russell Knox,T53,68,69,69,72,278,-6,"$17,264.50"
54,Byeong Hun An,T53,69,69,70,70,278,-6,"$17,264.50"
55,Billy Horschel,T53,66,68,71,73,278,-6,"$17,264.50"
56,Sam Ryder,57,70,67,72,70,279,-5,"$16,863.00"
57,Brian Stuard,T58,70,68,72,70,280,-4,"$16,425.00"
58,Lucas Glover,T58,72,63,74,71,280,-4,"$16,425.00"
59,Stewart Cink,T58,69,70,71,70,280,-4,"$16,425.00"
60,Davis Riley,T58,72,66,71,71,280,-4,"$16,425.00"
61,Michael Kim,T58,67,71,74,68,280,-4,"$16,425.00"
62,Satoshi Kodaira,63,68,71,68,74,281,-3,"$15,987.00"
63,"Ted Potter, Jr.",64,66,71,71,74,282,-2,"$15,841.00"
64,Xinjun Zhang,65,70,69,73,71,283,-1,"$15,695.00"
65,Aaron Wise,66,74,65,73,72,284,E,"$15,549.00"
66,Sepp Straka,CUT,71,69,,,140,-2,$0.00
67,Denny McCarthy,CUT,70,70,,,140,-2,$0.00
68,Erik van Rooyen,CUT,73,67,,,140,-2,$0.00
69,Daniel Berger,CUT,69,71,,,140,-2,$0.00
70,Doc Redman,CUT,72,68,,,140,-2,$0.00
71,Jerry Kelly,CUT,71,69,,,140,-2,$0.00
72,Charley Hoffman,CUT,71,69,,,140,-2,$0.00
73,Ryan Armour,CUT,68,72,,,140,-2,$0.00
74,Pat Perez,CUT,69,71,,,140,-2,$0.00
75,Nick Taylor,CUT,70,70,,,140,-2,$0.00
76,Brice Garnett,CUT,70,70,,,140,-2,$0.00
77,Jesse Mueller,CUT,72,68,,,140,-2,$0.00
78,Dylan Frittelli,CUT,71,69,,,140,-2,$0.00
79,Adam Long,CUT,72,68,,,140,-2,$0.00
80,Beau Hossler,CUT,70,70,,,140,-2,$0.00
81,Tom Hoge,CUT,66,74,,,140,-2,$0.00
82,Kelly Kraft,CUT,72,68,,,140,-2,$0.00
83,Joel Dahmen,CUT,75,65,,,140,-2,$0.00
84,Harris English,CUT,72,69,,,141,-1,$0.00
85,Michael Thompson,CUT,70,71,,,141,-1,$0.00
86,Danny Lee,CUT,74,67,,,141,-1,$0.00
87,Rory Sabbatini,CUT,77,64,,,141,-1,$0.00
88,Jason Dufner,CUT,72,69,,,141,-1,$0.00
89,Jason Day,CUT,71,70,,,141,-1,$0.00
90,Kevin Tway,CUT,73,68,,,141,-1,$0.00
91,C.T. Pan,CUT,71,70,,,141,-1,$0.00
92,Tom Lewis,CUT,70,71,,,141,-1,$0.00
93,Talor Gooch,CUT,70,71,,,141,-1,$0.00
94,Austin Cook,CUT,71,70,,,141,-1,$0.00
95,Mark Anguiano,CUT,72,70,,,142,E,$0.00
96,Cameron Champ,CUT,68,74,,,142,E,$0.00
97,Adam Schenk,CUT,72,70,,,142,E,$0.00
