,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Patrick Cantlay,1,67,65,68,65,265,-23,"$1,440,000.00"
1,Justin Thomas,T2,65,65,67,69,266,-22,"$704,000.00"
2,Jon Rahm,T2,68,67,63,68,266,-22,"$704,000.00"
3,Cameron Smith,T4,67,69,66,67,269,-19,"$315,000.00"
4,Russell Henley,T4,68,72,63,66,269,-19,"$315,000.00"
5,Ryan Palmer,T4,69,65,66,69,269,-19,"$315,000.00"
6,Bubba Watson,T4,70,63,68,68,269,-19,"$315,000.00"
7,Corey Conners,T8,69,67,68,66,270,-18,"$232,000.00"
8,Joel Dahmen,T8,68,70,65,67,270,-18,"$232,000.00"
9,Cameron Champ,T8,70,68,65,67,270,-18,"$232,000.00"
10,Lanto Griffin,T11,66,65,68,72,271,-17,"$184,000.00"
11,Tony Finau,T11,69,64,69,69,271,-17,"$184,000.00"
12,Dylan Frittelli,T11,66,65,70,70,271,-17,"$184,000.00"
13,Kevin Kisner,T14,66,67,73,66,272,-16,"$142,933.34"
14,Patrick Reed,T14,70,63,71,68,272,-16,"$142,933.33"
15,Sebastián Muñoz,T14,64,70,66,72,272,-16,"$142,933.33"
16,Scottie Scheffler,T17,67,65,69,72,273,-15,"$95,857.77"
17,Daniel Berger,T17,69,68,69,67,273,-15,"$95,857.78"
18,Joaquin Niemann,T17,70,66,68,69,273,-15,"$95,857.78"
19,Jason Kokrak,T17,69,65,69,70,273,-15,"$95,857.78"
20,Alex Noren,T17,67,68,68,70,273,-15,"$95,857.78"
21,Rory McIlroy,T17,73,67,67,66,273,-15,"$95,857.78"
22,Webb Simpson,T17,69,65,67,72,273,-15,"$95,857.77"
23,Justin Rose,T17,67,67,72,67,273,-15,"$95,857.78"
24,Xander Schauffele,T17,69,72,67,65,273,-15,"$95,857.78"
25,Brian Harman,T26,66,68,67,73,274,-14,"$60,880.00"
26,Matt Fitzpatrick,T26,69,65,67,73,274,-14,"$60,880.00"
27,Tyler Duncan,T28,68,68,72,67,275,-13,"$50,137.15"
28,Tyrrell Hatton,T28,65,68,76,66,275,-13,"$50,137.14"
29,Harris English,T28,66,67,72,70,275,-13,"$50,137.14"
30,Shaun Norris,T28,68,73,67,67,275,-13,"$50,137.15"
31,Kevin Streelman,T28,74,67,70,64,275,-13,"$50,137.14"
32,Kevin Na,T28,70,65,69,71,275,-13,"$50,137.14"
33,Hideki Matsuyama,T28,70,71,68,66,275,-13,"$50,137.14"
34,Satoshi Kodaira,T35,68,66,70,72,276,-12,"$36,680.00"
35,Paul Casey,T35,69,71,69,67,276,-12,"$36,680.00"
36,Carlos Ortiz,T35,72,65,68,71,276,-12,"$36,680.00"
37,Byeong Hun An,T35,74,68,67,67,276,-12,"$36,680.00"
38,Talor Gooch,T35,74,63,71,68,276,-12,"$36,680.00"
39,Abraham Ancer,T35,67,66,77,66,276,-12,"$36,680.00"
40,Takumi Kanaya,T41,70,67,68,72,277,-11,"$26,880.00"
41,Jordan Spieth,T41,70,66,74,67,277,-11,"$26,880.00"
42,Mark Hubbard,T41,67,70,71,69,277,-11,"$26,880.00"
43,Sungjae Im,T41,68,68,69,72,277,-11,"$26,880.00"
44,Mackenzie Hughes,T41,67,72,68,70,277,-11,"$26,880.00"
45,Brad Kennedy,T41,72,67,66,72,277,-11,"$26,880.00"
46,Brendon Todd,T47,69,69,70,70,278,-10,"$20,053.34"
47,Tom Hoge,T47,71,70,69,68,278,-10,"$20,053.33"
48,Viktor Hovland,T47,71,64,71,72,278,-10,"$20,053.33"
49,Collin Morikawa,T50,71,65,72,71,279,-9,"$17,560.00"
50,Andrew Landry,T50,69,67,70,73,279,-9,"$17,560.00"
51,Jim Herman,T50,70,65,72,72,279,-9,"$17,560.00"
52,Matthew Wolff,T50,69,69,75,66,279,-9,"$17,560.00"
53,Matt Kuchar,T54,70,69,70,71,280,-8,"$16,480.00"
54,Harry Higgs,T54,73,66,73,68,280,-8,"$16,480.00"
55,Gunn Charoenkul,T54,73,67,69,71,280,-8,"$16,480.00"
56,Richy Werenski,T57,72,61,72,76,281,-7,"$16,000.00"
57,Rickie Fowler,T57,71,67,73,70,281,-7,"$16,000.00"
58,Tommy Fleetwood,T57,70,68,74,69,281,-7,"$16,000.00"
59,Jason Day,T60,68,71,69,74,282,-6,"$15,520.00"
60,Jazz Janewattananond,T60,73,66,70,73,282,-6,"$15,520.00"
61,Chan Kim,T60,69,73,67,73,282,-6,"$15,520.00"
62,Nick Taylor,T63,70,68,71,74,283,-5,"$15,040.00"
63,Ryo Ishikawa,T63,73,66,70,74,283,-5,"$15,040.00"
64,Adam Hadwin,T63,75,67,70,71,283,-5,"$15,040.00"
65,Shugo Imahira,T66,75,64,69,76,284,-4,"$14,560.00"
66,Mikumu Horikawa,T66,74,74,69,67,284,-4,"$14,560.00"
67,Adam Long,T66,77,72,66,69,284,-4,"$14,560.00"
68,Billy Horschel,69,72,67,73,73,285,-3,"$14,240.00"
69,Marc Leishman,T70,71,73,72,70,286,-2,"$14,000.00"
70,Brendan Steele,T70,72,70,68,76,286,-2,"$14,000.00"
71,Danny Lee,T72,72,76,70,69,287,-1,"$13,600.00"
72,Tiger Woods,T72,76,66,71,74,287,-1,"$13,600.00"
73,Rikuya Hoshino,T72,68,70,75,74,287,-1,"$13,600.00"
74,Naoki Sekito,75,71,80,68,70,289,+1,"$13,280.00"
75,Phil Mickelson,76,72,74,67,78,291,+3,"$13,120.00"
76,Michael Thompson,77,76,73,72,73,294,+6,"$12,960.00"
77,Gary Woodland,W/D,-,,,,-,-,$0.00
