,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Tom Hoge,1,63,69,68,68,268,-19,"$1,566,000.00"
1,Jordan Spieth,2,68,70,63,69,270,-17,"$948,300.00"
2,Beau Hossler,3,70,65,65,71,271,-16,"$600,300.00"
3,Patrick Cantlay,T4,65,68,68,71,272,-15,"$391,500.00"
4,Troy Merritt,T4,68,67,70,67,272,-15,"$391,500.00"
5,Joel Dahmen,T6,71,64,66,72,273,-14,"$293,625.00"
6,Matt Fitzpatrick,T6,69,67,69,68,273,-14,"$293,625.00"
7,Andrew Putnam,T6,65,67,68,73,273,-14,"$293,625.00"
8,Seamus Power,T9,64,64,74,72,274,-13,"$237,075.00"
9,Pat Perez,T9,70,67,69,68,274,-13,"$237,075.00"
10,Jonathan Byrd,T9,66,72,69,67,274,-13,"$237,075.00"
11,Keith Mitchell,T12,69,68,68,70,275,-12,"$193,575.00"
12,Denny McCarthy,T12,68,70,66,71,275,-12,"$193,575.00"
13,Nick Taylor,T14,69,69,69,69,276,-11,"$163,125.00"
14,Christiaan Bezuidenhout,T14,71,70,66,69,276,-11,"$163,125.00"
15,Brendon Todd,T16,68,69,70,70,277,-10,"$119,842.50"
16,Lanto Griffin,T16,69,73,65,70,277,-10,"$119,842.50"
17,Mackenzie Hughes,T16,71,69,67,70,277,-10,"$119,842.50"
18,Adam Hadwin,T16,72,68,68,69,277,-10,"$119,842.50"
19,J.J. Spaun,T16,72,70,64,71,277,-10,"$119,842.50"
20,Taylor Moore,T16,68,69,71,69,277,-10,"$119,842.50"
21,Sean O'Hair,T16,67,67,71,72,277,-10,"$119,842.50"
22,Robert Garrigus,T16,74,65,70,68,277,-10,"$119,842.50"
23,Jason Day,T24,68,66,70,74,278,-9,"$74,602.50"
24,Dylan Frittelli,T24,69,68,68,73,278,-9,"$74,602.50"
25,David Lipsky,T24,67,67,72,72,278,-9,"$74,602.50"
26,Bo Van Pelt,T24,67,70,68,73,278,-9,"$74,602.50"
27,Nate Lashley,T28,68,69,71,71,279,-8,"$59,595.00"
28,Kelly Kraft,T28,68,67,72,72,279,-8,"$59,595.00"
29,Trey Mullinax,T28,70,71,68,70,279,-8,"$59,595.00"
30,Ryan Armour,T28,73,68,67,71,279,-8,"$59,595.00"
31,Vaughn Taylor,T28,68,72,69,70,279,-8,"$59,595.00"
32,Jimmy Walker,T33,70,66,74,70,280,-7,"$43,548.33"
33,Maverick McNealy,T33,69,72,68,71,280,-7,"$43,548.33"
34,Doc Redman,T33,66,71,73,70,280,-7,"$43,548.33"
35,Russell Knox,T33,70,69,70,71,280,-7,"$43,548.34"
36,Greyson Sigg,T33,67,68,70,75,280,-7,"$43,548.33"
37,Seth Reeves,T33,71,70,68,71,280,-7,"$43,548.33"
38,Austin Smotherman,T33,65,68,75,72,280,-7,"$43,548.34"
39,Mark Hubbard,T33,72,70,65,73,280,-7,"$43,548.34"
40,Satoshi Kodaira,T33,68,67,71,74,280,-7,"$43,548.33"
41,Sung Kang,T42,70,71,68,72,281,-6,"$29,194.71"
42,Luke Donald,T42,71,68,70,72,281,-6,"$29,194.71"
43,Peter Malnati,T42,67,71,69,74,281,-6,"$29,194.72"
44,Ryan Moore,T42,66,73,69,73,281,-6,"$29,194.72"
45,S.Y. Noh,T42,71,72,66,72,281,-6,"$29,194.71"
46,Jonas Blixt,T42,64,72,73,72,281,-6,"$29,194.72"
47,Austin Cook,T42,70,66,74,71,281,-6,"$29,194.71"
48,Mark Baldwin,T49,69,72,66,75,282,-5,"$21,088.80"
49,Tyler Duncan,T49,68,68,73,73,282,-5,"$21,088.80"
50,Hayden Buckley,T49,71,64,73,74,282,-5,"$21,088.80"
51,Taylor Pendrith,T49,70,69,69,74,282,-5,"$21,088.80"
52,Davis Riley,T49,69,70,68,75,282,-5,"$21,088.80"
53,Curtis Thompson,T49,69,67,73,73,282,-5,"$21,088.80"
54,Matthias Schwab,T49,72,62,75,73,282,-5,"$21,088.80"
