,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Will Zalatoris,1,71,63,65,66,265,-15,"$2,700,000.00"
1,Sepp Straka,2,64,66,68,67,265,-15,"$1,635,000.00"
2,Brian Harman,T3,66,66,69,67,268,-12,"$885,000.00"
3,Lucas Glover,T3,65,68,69,66,268,-12,"$885,000.00"
4,Tony Finau,T5,64,68,69,68,269,-11,"$480,000.00"
5,Matt Fitzpatrick,T5,68,66,67,68,269,-11,"$480,000.00"
6,Jon Rahm,T5,67,69,67,66,269,-11,"$480,000.00"
7,Collin Morikawa,T5,67,69,66,67,269,-11,"$480,000.00"
8,Trey Mullinax,T5,66,67,66,70,269,-11,"$480,000.00"
9,Adam Scott,T5,66,67,70,66,269,-11,"$480,000.00"
10,Andrew Putnam,T5,66,68,67,68,269,-11,"$480,000.00"
11,Sungjae Im,12,70,68,63,69,270,-10,"$348,750.00"
12,Cameron Smith,T13,67,65,69,70,271,-9,"$260,892.85"
13,Justin Thomas,T13,67,67,71,66,271,-9,"$260,892.86"
14,Joaquin Niemann,T13,71,66,65,69,271,-9,"$260,892.85"
15,Sahith Theegala,T13,63,70,69,69,271,-9,"$260,892.86"
16,Cam Davis,T13,67,71,67,66,271,-9,"$260,892.86"
17,Lee Hodges,T13,65,69,72,65,271,-9,"$260,892.86"
18,Tom Kim,T13,66,70,66,69,271,-9,"$260,892.86"
19,Sam Burns,T20,65,69,67,71,272,-8,"$152,812.50"
20,Viktor Hovland,T20,67,70,67,68,272,-8,"$152,812.50"
21,J.T. Poston,T20,64,72,68,68,272,-8,"$152,812.50"
22,Kevin Kisner,T20,69,64,70,69,272,-8,"$152,812.50"
23,K.H. Lee,T20,64,69,69,70,272,-8,"$152,812.50"
24,Denny McCarthy,T20,66,65,71,70,272,-8,"$152,812.50"
25,Dylan Frittelli,T20,66,70,66,70,272,-8,"$152,812.50"
26,Ryan Palmer,T20,65,67,69,71,272,-8,"$152,812.50"
27,Corey Conners,T28,67,71,67,68,273,-7,"$107,250.00"
28,Troy Merritt,T28,65,65,70,73,273,-7,"$107,250.00"
29,Wyndham Clark,T28,67,67,67,72,273,-7,"$107,250.00"
30,Cameron Young,T31,67,71,70,66,274,-6,"$78,886.37"
31,Davis Riley,T31,69,67,68,70,274,-6,"$78,886.36"
32,Maverick McNealy,T31,67,67,75,65,274,-6,"$78,886.37"
33,Aaron Wise,T31,66,71,70,67,274,-6,"$78,886.37"
34,Keith Mitchell,T31,68,69,67,70,274,-6,"$78,886.36"
35,Emiliano Grillo,T31,67,66,72,69,274,-6,"$78,886.36"
36,Tyrrell Hatton,T31,65,70,69,70,274,-6,"$78,886.36"
37,Taylor Moore,T31,67,70,69,68,274,-6,"$78,886.37"
38,Adam Schenk,T31,71,66,66,71,274,-6,"$78,886.36"
39,Michael Thompson,T31,65,70,70,69,274,-6,"$78,886.36"
40,Tyler Duncan,T31,70,63,67,74,274,-6,"$78,886.36"
41,Max Homa,T42,66,69,69,71,275,-5,"$54,750.00"
42,J.J. Spaun,T42,62,67,68,78,275,-5,"$54,750.00"
43,Mito Pereira,T42,67,71,68,69,275,-5,"$54,750.00"
44,Si Woo Kim,T42,62,73,72,68,275,-5,"$54,750.00"
45,Shane Lowry,T46,68,68,71,69,276,-4,"$42,330.00"
46,Sebastián Muñoz,T46,68,68,71,69,276,-4,"$42,330.00"
47,Mackenzie Hughes,T46,67,70,71,68,276,-4,"$42,330.00"
