,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jason Kokrak,1,68,71,66,65,270,-10,"$1,350,000.00"
1,Kevin Tway,T2,67,64,73,68,272,-8,"$667,500.00"
2,Scottie Scheffler,T2,72,62,69,69,272,-8,"$667,500.00"
3,Kramer Hickok,4,67,67,70,69,273,-7,"$367,500.00"
4,Joel Dahmen,T5,70,69,70,65,274,-6,"$289,687.50"
5,Martin Trainer,T5,65,65,74,70,274,-6,"$289,687.50"
6,Robert Streb,T7,68,71,71,65,275,-5,"$227,812.50"
7,Sam Burns,T7,70,67,71,67,275,-5,"$227,812.50"
8,Russell Henley,T7,65,72,68,70,275,-5,"$227,812.50"
9,Cameron Tringale,T7,69,70,68,68,275,-5,"$227,812.50"
10,Adam Long,T11,66,67,73,70,276,-4,"$166,875.00"
11,Matthew Wolff,T11,68,67,69,72,276,-4,"$166,875.00"
12,Denny McCarthy,T11,72,69,71,64,276,-4,"$166,875.00"
13,Luke List,T11,65,71,69,71,276,-4,"$166,875.00"
14,Cameron Smith,T15,71,69,68,69,277,-3,"$125,625.00"
15,Hank Lebioda,T15,67,72,69,69,277,-3,"$125,625.00"
16,Alex Smalley,T15,68,72,69,68,277,-3,"$125,625.00"
17,Vince Whaley,T15,69,72,65,71,277,-3,"$125,625.00"
18,Marc Leishman,T19,65,70,71,72,278,-2,"$85,660.71"
19,Dylan Frittelli,T19,70,68,71,69,278,-2,"$85,660.72"
20,Sungjae Im,T19,68,70,73,67,278,-2,"$85,660.71"
21,Maverick McNealy,T19,71,68,70,69,278,-2,"$85,660.71"
22,Max McGreevy,T19,68,67,72,71,278,-2,"$85,660.71"
23,Scott Piercy,T19,71,70,69,68,278,-2,"$85,660.72"
24,Aaron Rai,T19,71,69,70,68,278,-2,"$85,660.72"
25,Ryan Palmer,T26,71,70,68,70,279,-1,"$58,125.00"
26,Aaron Wise,T26,73,66,71,69,279,-1,"$58,125.00"
27,Jhonattan Vegas,T26,67,69,68,75,279,-1,"$58,125.00"
28,Tyler Duncan,T29,69,72,73,66,280,E,"$48,062.50"
29,Mackenzie Hughes,T29,71,69,69,71,280,E,"$48,062.50"
30,Adam Schenk,T29,70,64,72,74,280,E,"$48,062.50"
31,Kelly Kraft,T29,68,67,72,73,280,E,"$48,062.50"
32,Mito Pereira,T29,69,72,70,69,280,E,"$48,062.50"
33,Davis Riley,T29,68,72,69,71,280,E,"$48,062.50"
34,Max Homa,T35,72,67,73,69,281,+1,"$36,562.50"
35,Hudson Swafford,T35,70,70,71,70,281,+1,"$36,562.50"
36,Chris Stroud,T35,74,67,70,70,281,+1,"$36,562.50"
37,Stephan Jaeger,T35,68,72,72,69,281,+1,"$36,562.50"
38,Bronson Burgoon,T35,72,69,71,69,281,+1,"$36,562.50"
39,Matthias Schwab,T35,70,71,68,72,281,+1,"$36,562.50"
40,Nick Taylor,T41,68,72,74,68,282,+2,"$28,125.00"
