,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Scottie Scheffler,1,69,67,71,71,278,-10,"$2,700,000.00"
1,Rory McIlroy,2,73,73,71,64,281,-7,"$1,620,000.00"
2,Shane Lowry,T3,73,68,73,69,283,-5,"$870,000.00"
3,Cameron Smith,T3,68,74,68,73,283,-5,"$870,000.00"
4,Collin Morikawa,5,73,70,74,67,284,-4,"$600,000.00"
5,Will Zalatoris,T6,71,72,75,67,285,-3,"$521,250.00"
6,Corey Conners,T6,70,73,72,70,285,-3,"$521,250.00"
7,Justin Thomas,T8,76,67,72,72,287,-1,"$450,000.00"
8,Sungjae Im,T8,67,74,71,75,287,-1,"$450,000.00"
9,Cameron Champ,T10,72,75,71,70,288,E,"$390,000.00"
10,Charl Schwartzel,T10,72,69,73,74,288,E,"$390,000.00"
11,Dustin Johnson,T12,69,73,75,72,289,+1,"$330,000.00"
12,Danny Willett,T12,69,74,73,73,289,+1,"$330,000.00"
13,Kevin Na,T14,71,71,79,69,290,+2,"$225,333.00"
14,Matt Fitzpatrick,T14,71,73,76,70,290,+2,"$225,333.00"
15,Min Woo Lee,T14,73,75,72,70,290,+2,"$225,333.00"
16,Harry Higgs,T14,71,75,73,71,290,+2,"$225,333.00"
17,Lee Westwood,T14,72,74,73,71,290,+2,"$225,333.00"
18,Talor Gooch,T14,72,74,73,71,290,+2,"$225,333.00"
19,Hideki Matsuyama,T14,72,69,77,72,290,+2,"$225,333.00"
20,Tommy Fleetwood,T14,75,72,70,73,290,+2,"$225,333.00"
21,Jason Kokrak,T14,70,76,71,73,290,+2,"$225,333.00"
22,Robert MacIntyre,T23,73,73,76,69,291,+3,"$138,000.00"
23,Harold Varner III,T23,71,71,80,69,291,+3,"$138,000.00"
24,Sergio Garcia,T23,72,74,74,71,291,+3,"$138,000.00"
25,J.J. Spaun,T23,74,70,75,72,291,+3,"$138,000.00"
26,Jon Rahm,T27,74,72,77,69,292,+4,"$111,000.00"
27,Seamus Power,T27,74,74,74,70,292,+4,"$111,000.00"
28,Viktor Hovland,T27,72,76,71,73,292,+4,"$111,000.00"
29,Russell Henley,T30,73,74,76,70,293,+5,"$93,150.00"
30,Sepp Straka,T30,74,72,76,71,293,+5,"$93,150.00"
31,Lucas Glover,T30,72,76,72,73,293,+5,"$93,150.00"
32,Hudson Swafford,T30,77,69,73,74,293,+5,"$93,150.00"
33,Marc Leishman,T30,73,75,71,74,293,+5,"$93,150.00"
34,Joaquin Niemann,T35,69,74,77,74,294,+6,"$75,563.00"
35,Tony Finau,T35,71,75,74,74,294,+6,"$75,563.00"
36,Patrick Reed,T35,74,73,73,74,294,+6,"$75,563.00"
37,Webb Simpson,T35,71,74,73,76,294,+6,"$75,563.00"
38,Patrick Cantlay,T39,70,75,79,71,295,+7,"$63,000.00"
39,Bubba Watson,T39,73,73,78,71,295,+7,"$63,000.00"
40,Tom Hoge,T39,73,74,75,73,295,+7,"$63,000.00"
41,Si Woo Kim,T39,76,70,73,76,295,+7,"$63,000.00"
42,Billy Horschel,43,74,73,79,70,296,+8,"$55,500.00"
43,Christiaan Bezuidenhout,T44,73,71,77,76,297,+9,"$51,000.00"
44,Kevin Kisner,T44,75,70,75,77,297,+9,"$51,000.00"
45,Cam Davis,46,75,73,79,73,300,+12,"$46,500.00"
46,Tiger Woods,47,71,74,78,78,301,+13,"$43,500.00"
47,Adam Scott,T48,74,74,80,74,302,+14,"$40,050.00"
48,Max Homa,T48,74,73,77,78,302,+14,"$40,050.00"
49,Mackenzie Hughes,T50,73,75,77,78,303,+15,"$37,350.00"
50,Daniel Berger,T50,71,75,77,80,303,+15,"$37,350.00"
51,Tyrrell Hatton,52,72,74,79,80,305,+17,"$36,000.00"
52,Takumi Kanaya,CUT,75,74,,,149,+5,$0.00
53,Sam Burns,CUT,75,74,,,149,+5,$0.00
54,Padraig Harrington,CUT,74,75,,,149,+5,$0.00
55,K.H. Lee,CUT,74,75,,,149,+5,$0.00
56,Brian Harman,CUT,74,75,,,149,+5,$0.00
57,Zach Johnson,CUT,74,75,,,149,+5,$0.00
58,Lucas Herbert,CUT,74,76,,,150,+6,$0.00
59,Jordan Spieth,CUT,74,76,,,150,+6,$0.00
60,Brooks Koepka,CUT,75,75,,,150,+6,$0.00
61,Mike Weir,CUT,74,76,,,150,+6,$0.00
62,Ryan Palmer,CUT,75,75,,,150,+6,$0.00
63,Keita Nakajima,CUT,72,79,,,151,+7,$0.00
64,Abraham Ancer,CUT,72,79,,,151,+7,$0.00
65,Xander Schauffele,CUT,74,77,,,151,+7,$0.00
66,Austin Greaser,CUT,74,77,,,151,+7,$0.00
67,Stewart Cink,CUT,76,75,,,151,+7,$0.00
68,Erik van Rooyen,CUT,73,79,,,152,+8,$0.00
69,Bernhard Langer,CUT,76,76,,,152,+8,$0.00
70,Gary Woodland,CUT,75,77,,,152,+8,$0.00
71,Justin Rose,CUT,76,76,,,152,+8,$0.00
72,Francesco Molinari,CUT,78,74,,,152,+8,$0.00
73,Guido Migliozzi,CUT,75,77,,,152,+8,$0.00
74,Luke List,CUT,77,75,,,152,+8,$0.00
75,Fred Couples,CUT,75,79,,,154,+10,$0.00
76,Cameron Young,CUT,77,77,,,154,+10,$0.00
77,Larry Mize,CUT,77,78,,,155,+11,$0.00
78,Garrick Higgo,CUT,72,83,,,155,+11,$0.00
79,Aaron Jarvis,CUT,81,74,,,155,+11,$0.00
80,James Piot,CUT,81,74,,,155,+11,$0.00
81,Bryson DeChambeau,CUT,76,80,,,156,+12,$0.00
82,Sandy Lyle,CUT,82,76,,,158,+14,$0.00
83,Vijay Singh,CUT,78,80,,,158,+14,$0.00
84,Thomas Pieters,CUT,79,80,,,159,+15,$0.00
85,Matthew Wolff,CUT,81,78,,,159,+15,$0.00
86,Stewart Hagestad,CUT,79,81,,,160,+16,$0.00
87,José María Olazábal,CUT,77,84,,,161,+17,$0.00
88,Laird Shepherd,CUT,81,85,,,166,+22,$0.00
89,Louis Oosthuizen,W/D,76,,,,76,+4,$0.00
