,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Sungjae Im,1,63,65,70,62,260,-24,"$1,260,000.00"
1,Matthew Wolff,2,64,67,65,68,264,-20,"$763,000.00"
2,Marc Leishman,T3,67,67,68,63,265,-19,"$371,000.00"
3,Rory Sabbatini,T3,65,66,70,64,265,-19,"$371,000.00"
4,Adam Schenk,T3,64,65,66,70,265,-19,"$371,000.00"
5,Lanto Griffin,T6,72,64,64,66,266,-18,"$245,000.00"
6,Adam Hadwin,T6,67,64,68,67,266,-18,"$245,000.00"
7,Aaron Wise,T8,68,62,71,66,267,-17,"$204,750.00"
8,Harry Hall,T8,66,65,68,68,267,-17,"$204,750.00"
9,Hayden Buckley,T8,66,71,67,63,267,-17,"$204,750.00"
10,Martin Laird,T11,67,68,67,66,268,-16,"$162,750.00"
11,Talor Gooch,T11,64,67,71,66,268,-16,"$162,750.00"
12,Andrew Putnam,T11,67,64,66,71,268,-16,"$162,750.00"
13,K.H. Lee,T14,68,64,71,66,269,-15,"$113,750.00"
14,Sam Burns,T14,66,63,68,72,269,-15,"$113,750.00"
15,Louis Oosthuizen,T14,65,67,69,68,269,-15,"$113,750.00"
16,Tom Hoge,T14,66,70,67,66,269,-15,"$113,750.00"
17,Matt Wallace,T14,67,68,68,66,269,-15,"$113,750.00"
18,Matthew NeSmith,T14,69,67,65,68,269,-15,"$113,750.00"
19,Chad Ramey,T14,63,65,69,72,269,-15,"$113,750.00"
20,Danny Willett,T21,69,67,66,68,270,-14,"$79,216.66"
21,Seamus Power,T21,66,68,69,67,270,-14,"$79,216.67"
22,Russell Henley,T21,67,70,66,67,270,-14,"$79,216.67"
23,Jimmy Walker,T24,68,66,70,67,271,-13,"$61,950.00"
24,Joel Dahmen,T24,67,70,70,64,271,-13,"$61,950.00"
25,Taylor Moore,T24,66,70,68,67,271,-13,"$61,950.00"
26,Matt Jones,T27,64,67,71,70,272,-12,"$46,943.75"
27,Sung Kang,T27,61,73,69,69,272,-12,"$46,943.75"
28,Lee Hodges,T27,66,68,68,70,272,-12,"$46,943.75"
29,Robert Streb,T27,67,66,69,70,272,-12,"$46,943.75"
30,Cam Davis,T27,67,68,71,66,272,-12,"$46,943.75"
31,Harry Higgs,T27,66,68,69,69,272,-12,"$46,943.75"
32,Chesson Hadley,T27,64,70,71,67,272,-12,"$46,943.75"
33,Kevin Yu,T27,67,67,70,68,272,-12,"$46,943.75"
34,Adam Scott,T35,70,67,67,69,273,-11,"$34,860.00"
35,Matt Kuchar,T35,66,71,67,69,273,-11,"$34,860.00"
36,Nate Lashley,T35,67,69,71,66,273,-11,"$34,860.00"
37,Camilo Villegas,T35,67,70,65,71,273,-11,"$34,860.00"
38,J.J. Spaun,T35,70,65,69,69,273,-11,"$34,860.00"
39,Corey Conners,T40,66,70,70,68,274,-10,"$28,350.00"
40,Joaquin Niemann,T40,72,64,71,67,274,-10,"$28,350.00"
41,Doug Ghim,T40,69,68,69,68,274,-10,"$28,350.00"
42,Mito Pereira,T40,66,71,68,69,274,-10,"$28,350.00"
43,Viktor Hovland,T44,67,67,73,68,275,-9,"$23,450.00"
44,Charley Hoffman,T44,63,69,70,73,275,-9,"$23,450.00"
45,Mark Hubbard,T44,69,68,67,71,275,-9,"$23,450.00"
46,Charles Howell III,T47,67,68,66,75,276,-8,"$17,927.77"
47,Taylor Pendrith,T47,65,70,73,68,276,-8,"$17,927.78"
48,Nick Taylor,T47,65,69,73,69,276,-8,"$17,927.78"
49,Carlos Ortiz,T47,69,66,72,69,276,-8,"$17,927.78"
50,Richy Werenski,T47,68,67,69,72,276,-8,"$17,927.77"
51,Emiliano Grillo,T47,67,70,71,68,276,-8,"$17,927.78"
52,Kevin Streelman,T47,71,66,68,71,276,-8,"$17,927.78"
53,Greyson Sigg,T47,67,70,69,70,276,-8,"$17,927.78"
54,Alex Smalley,T47,66,71,68,71,276,-8,"$17,927.78"
55,Michael Thompson,T56,69,67,70,71,277,-7,"$15,820.00"
56,Hudson Swafford,T56,67,68,75,67,277,-7,"$15,820.00"
57,Nick Watney,T56,67,69,73,68,277,-7,"$15,820.00"
58,Cameron Tringale,T56,66,68,71,72,277,-7,"$15,820.00"
59,Brandon Hagy,T56,65,71,70,71,277,-7,"$15,820.00"
60,Wyndham Clark,T56,68,68,69,72,277,-7,"$15,820.00"
61,Trey Mullinax,T56,71,66,75,65,277,-7,"$15,820.00"
62,Davis Riley,T56,69,68,67,73,277,-7,"$15,820.00"
63,Anirban Lahiri,64,65,70,72,71,278,-6,"$15,190.00"
64,Henrik Norlander,T65,67,69,72,71,279,-5,"$14,980.00"
65,Jonas Blixt,T65,69,65,71,74,279,-5,"$14,980.00"
66,Brooks Koepka,T67,68,67,72,73,280,-4,"$14,560.00"
67,Hideki Matsuyama,T67,65,72,71,72,280,-4,"$14,560.00"
68,Francesco Molinari,T67,70,64,75,71,280,-4,"$14,560.00"
69,Lucas Glover,T67,69,66,72,73,280,-4,"$14,560.00"
70,Graeme McDowell,71,70,66,74,75,285,+1,"$14,210.00"
71,Bill Haas,72,68,69,79,70,286,+2,"$14,070.00"
72,Webb Simpson,CUT,71,67,,,138,-4,$0.00
73,Jason Kokrak,CUT,67,71,,,138,-4,$0.00
74,Rickie Fowler,CUT,72,66,,,138,-4,$0.00
