,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Viktor Hovland,1,67,65,62,67,261,-23,"$1,296,000.00"
1,Carlos Ortiz,2,67,65,67,66,265,-19,"$784,800.00"
2,Justin Thomas,3,68,65,64,69,266,-18,"$496,800.00"
3,Scottie Scheffler,4,67,64,70,66,267,-17,"$352,800.00"
4,Joaquin Niemann,T5,69,66,67,66,268,-16,"$278,100.00"
5,Matthew Wolff,T5,61,68,74,65,268,-16,"$278,100.00"
6,Sergio Garcia,T7,64,69,67,69,269,-15,"$218,700.00"
7,Abraham Ancer,T7,68,68,68,65,269,-15,"$218,700.00"
8,Andrew Landry,T7,66,68,67,68,269,-15,"$218,700.00"
9,Danny Lee,T7,68,69,68,64,269,-15,"$218,700.00"
10,Seamus Power,T11,68,67,67,68,270,-14,"$160,200.00"
11,Brendon Todd,T11,67,69,66,68,270,-14,"$160,200.00"
12,Maverick McNealy,T11,68,69,69,64,270,-14,"$160,200.00"
13,Talor Gooch,T11,64,69,63,74,270,-14,"$160,200.00"
14,Michael Thompson,T15,68,65,69,69,271,-13,"$109,800.00"
15,John Huh,T15,66,69,67,69,271,-13,"$109,800.00"
16,Aaron Wise,T15,63,70,68,70,271,-13,"$109,800.00"
17,Troy Merritt,T15,68,70,66,67,271,-13,"$109,800.00"
18,Denny McCarthy,T15,67,68,67,69,271,-13,"$109,800.00"
19,Aaron Rai,T15,67,71,66,67,271,-13,"$109,800.00"
20,Christiaan Bezuidenhout,T15,69,68,67,67,271,-13,"$109,800.00"
21,Matt Kuchar,T22,68,66,69,69,272,-12,"$69,480.00"
22,Martin Laird,T22,68,66,71,67,272,-12,"$69,480.00"
23,Adam Long,T22,66,70,68,68,272,-12,"$69,480.00"
24,Thomas Detry,T22,67,68,71,66,272,-12,"$69,480.00"
25,Andrew Novak,T22,66,72,71,63,272,-12,"$69,480.00"
26,Danny Willett,T27,68,68,68,69,273,-11,"$50,400.00"
27,Ryan Palmer,T27,69,64,72,68,273,-11,"$50,400.00"
28,Doug Ghim,T27,69,65,69,70,273,-11,"$50,400.00"
29,Brian Stuard,T27,69,69,66,69,273,-11,"$50,400.00"
30,James Hahn,T27,67,67,68,71,273,-11,"$50,400.00"
31,J.J. Spaun,T27,65,68,67,73,273,-11,"$50,400.00"
32,Billy Horschel,T33,64,69,70,71,274,-10,"$37,594.28"
33,Charles Howell III,T33,69,66,69,70,274,-10,"$37,594.28"
34,Nick Taylor,T33,67,69,67,71,274,-10,"$37,594.28"
35,Chez Reavie,T33,66,72,70,66,274,-10,"$37,594.29"
36,Hudson Swafford,T33,68,70,68,68,274,-10,"$37,594.29"
37,Sepp Straka,T33,66,71,69,68,274,-10,"$37,594.29"
38,Greyson Sigg,T33,69,69,72,64,274,-10,"$37,594.29"
39,Justin Rose,T40,67,70,68,70,275,-9,"$28,440.00"
40,Tyrrell Hatton,T40,70,66,67,72,275,-9,"$28,440.00"
41,Rickie Fowler,T40,66,72,69,68,275,-9,"$28,440.00"
42,Scott Piercy,T40,69,68,70,68,275,-9,"$28,440.00"
43,Anirban Lahiri,T40,67,66,70,72,275,-9,"$28,440.00"
44,Tony Finau,T45,67,69,70,70,276,-8,"$19,341.82"
45,C.T. Pan,T45,69,68,67,72,276,-8,"$19,341.81"
46,Joel Dahmen,T45,65,71,69,71,276,-8,"$19,341.82"
47,Tyler Duncan,T45,67,70,67,72,276,-8,"$19,341.82"
48,Bill Haas,T45,65,68,73,70,276,-8,"$19,341.82"
49,Roberto Díaz,T45,71,65,68,72,276,-8,"$19,341.81"
50,Alex Noren,T45,69,67,68,72,276,-8,"$19,341.82"
51,Charl Schwartzel,T45,69,69,69,69,276,-8,"$19,341.82"
52,Henrik Norlander,T45,70,66,69,71,276,-8,"$19,341.82"
53,Doc Redman,T45,70,66,72,68,276,-8,"$19,341.82"
54,Adam Svensson,T45,72,65,74,65,276,-8,"$19,341.82"
55,Patrick Reed,T56,73,65,70,69,277,-7,"$16,272.00"
56,Kevin Tway,T56,68,69,71,69,277,-7,"$16,272.00"
57,Patton Kizzire,T56,68,69,70,70,277,-7,"$16,272.00"
58,Keith Mitchell,T56,68,69,69,71,277,-7,"$16,272.00"
59,Tom Hoge,T56,72,66,69,70,277,-7,"$16,272.00"
60,Russell Henley,T56,65,69,76,67,277,-7,"$16,272.00"
61,Brandt Snedeker,T56,66,71,73,67,277,-7,"$16,272.00"
62,Adam Hadwin,T56,69,68,69,71,277,-7,"$16,272.00"
63,Garrick Higgo,T64,71,63,69,75,278,-6,"$15,336.00"
64,Chris Kirk,T64,64,73,70,71,278,-6,"$15,336.00"
65,Matt Fitzpatrick,T64,68,69,68,73,278,-6,"$15,336.00"
66,Andrew Putnam,T64,68,68,72,70,278,-6,"$15,336.00"
67,Vince Whaley,T64,70,68,70,70,278,-6,"$15,336.00"
68,Brendan Steele,69,70,67,68,74,279,-5,"$14,904.00"
69,Keegan Bradley,70,71,67,68,74,280,-4,"$14,760.00"
70,Gary Woodland,CUT,67,72,,,139,-3,$0.00
71,Sung Kang,CUT,68,71,,,139,-3,$0.00
72,Rory Sabbatini,CUT,68,71,,,139,-3,$0.00
73,Camilo Villegas,CUT,69,70,,,139,-3,$0.00
74,Charley Hoffman,CUT,71,68,,,139,-3,$0.00
75,Harold Varner III,CUT,71,68,,,139,-3,$0.00
76,Jhonattan Vegas,CUT,71,68,,,139,-3,$0.00
77,Ian Poulter,CUT,66,73,,,139,-3,$0.00
78,Roger Sloan,CUT,69,70,,,139,-3,$0.00
79,Hank Lebioda,CUT,73,66,,,139,-3,$0.00
80,Luke List,CUT,69,70,,,139,-3,$0.00
81,Russell Knox,CUT,69,70,,,139,-3,$0.00
82,Davis Riley,CUT,70,69,,,139,-3,$0.00
83,Sam Ryder,CUT,73,67,,,140,-2,$0.00
84,Kyle Stanley,CUT,74,66,,,140,-2,$0.00
85,Brice Garnett,CUT,71,69,,,140,-2,$0.00
86,Kramer Hickok,CUT,68,72,,,140,-2,$0.00
87,Will Zalatoris,CUT,71,69,,,140,-2,$0.00
88,Ryan Moore,CUT,68,72,,,140,-2,$0.00
89,Trey Mullinax,CUT,69,71,,,140,-2,$0.00
90,Kevin Streelman,CUT,70,70,,,140,-2,$0.00
91,Emiliano Grillo,CUT,67,73,,,140,-2,$0.00
92,Pat Perez,CUT,72,68,,,140,-2,$0.00
93,Luke Donald,CUT,73,67,,,140,-2,$0.00
94,Shane Lowry,CUT,71,69,,,140,-2,$0.00
95,Matt Jones,CUT,70,70,,,140,-2,$0.00
96,J.T. Poston,CUT,71,69,,,140,-2,$0.00
97,Nate Lashley,CUT,68,72,,,140,-2,$0.00
98,Dylan Frittelli,CUT,71,70,,,141,-1,$0.00
99,Martin Trainer,CUT,72,69,,,141,-1,$0.00
100,Henrik Stenson,CUT,69,72,,,141,-1,$0.00
101,Brian Gay,CUT,75,66,,,141,-1,$0.00
102,Graeme McDowell,CUT,70,71,,,141,-1,$0.00
103,Nick Watney,CUT,72,69,,,141,-1,$0.00
104,Cameron Tringale,CUT,70,71,,,141,-1,$0.00
105,Stephan Jaeger,CUT,67,74,,,141,-1,$0.00
106,Braden Thornberry,CUT,70,71,,,141,-1,$0.00
107,Jonas Blixt,CUT,72,70,,,142,E,$0.00
108,Zach Johnson,CUT,73,69,,,142,E,$0.00
109,Juan Carlos Benitez,CUT,74,68,,,142,E,$0.00
110,Patrick Rodgers,CUT,70,72,,,142,E,$0.00
111,Brooks Koepka,CUT,71,71,,,142,E,$0.00
112,Richy Werenski,CUT,73,69,,,142,E,$0.00
113,Francesco Molinari,CUT,72,71,,,143,+1,$0.00
114,Lucas Herbert,CUT,75,68,,,143,+1,$0.00
115,Guido Migliozzi,CUT,69,74,,,143,+1,$0.00
116,Juan Diego Fernandez,CUT,69,74,,,143,+1,$0.00
