,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Lee Hodges,1,63,64,66,67,260,-24,"$1,404,000.00"
1,Martin Laird,T2,68,68,67,64,267,-17,"$590,200.00"
2,J.T. Poston,T2,66,66,66,69,267,-17,"$590,200.00"
3,Kevin Streelman,T2,64,68,69,66,267,-17,"$590,200.00"
4,Keith Mitchell,T5,68,66,67,67,268,-16,"$301,275.00"
5,Dylan Wu,T5,70,67,67,64,268,-16,"$301,275.00"
6,Tony Finau,T7,66,66,67,70,269,-15,"$245,050.00"
7,Sam Ryder,T7,70,66,65,68,269,-15,"$245,050.00"
8,Aaron Baddeley,T7,69,66,65,69,269,-15,"$245,050.00"
9,Emiliano Grillo,T10,65,68,71,66,270,-14,"$196,950.00"
10,Cam Davis,T10,68,67,70,65,270,-14,"$196,950.00"
11,Sam Stevens,T10,69,69,66,66,270,-14,"$196,950.00"
12,Billy Horschel,T13,66,67,68,70,271,-13,"$135,664.28"
13,Nick Hardy,T13,65,70,67,69,271,-13,"$135,664.28"
14,Garrick Higgo,T13,68,69,68,66,271,-13,"$135,664.29"
15,Alex Noren,T13,71,66,68,66,271,-13,"$135,664.29"
16,Beau Hossler,T13,68,69,72,62,271,-13,"$135,664.29"
17,Callum Tarren,T13,66,68,70,67,271,-13,"$135,664.28"
18,Zac Blair,T13,69,66,72,64,271,-13,"$135,664.29"
19,Tom Hoge,T20,68,69,68,67,272,-12,"$82,178.57"
20,Tyler Duncan,T20,64,67,71,70,272,-12,"$82,178.57"
21,Jason Dufner,T20,69,68,69,66,272,-12,"$82,178.58"
22,Aaron Rai,T20,69,68,67,68,272,-12,"$82,178.57"
23,Ben Griffin,T20,68,69,67,68,272,-12,"$82,178.57"
24,Tyson Alexander,T20,69,67,68,68,272,-12,"$82,178.57"
25,Matti Schmid,T20,68,70,66,68,272,-12,"$82,178.57"
26,Chesson Hadley,T27,71,66,66,70,273,-11,"$58,110.00"
27,Doug Ghim,T27,74,63,67,69,273,-11,"$58,110.00"
28,S.H. Kim,T27,71,64,70,68,273,-11,"$58,110.00"
29,Hideki Matsuyama,T30,64,70,73,67,274,-10,"$46,744.29"
30,Mackenzie Hughes,T30,69,68,69,68,274,-10,"$46,744.28"
31,Stephan Jaeger,T30,71,66,71,66,274,-10,"$46,744.29"
32,Max McGreevy,T30,68,69,69,68,274,-10,"$46,744.28"
33,Kramer Hickok,T30,68,69,71,66,274,-10,"$46,744.29"
34,Doc Redman,T30,66,71,72,65,274,-10,"$46,744.29"
35,Eric Cole,T30,70,66,68,70,274,-10,"$46,744.28"
36,Stewart Cink,T37,74,63,67,71,275,-9,"$34,710.00"
37,J.J. Spaun,T37,66,68,71,70,275,-9,"$34,710.00"
