,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jason Day,1,64,69,66,62,261,-23,"$1,710,000.00"
1,Si Woo Kim,T2,65,66,68,63,262,-22,"$845,500.00"
2,Austin Eckroat,T2,69,65,63,65,262,-22,"$845,500.00"
3,C.T. Pan,4,67,66,68,62,263,-21,"$465,500.00"
4,Scottie Scheffler,T5,64,64,71,65,264,-20,"$351,500.00"
5,Tyrrell Hatton,T5,68,67,65,64,264,-20,"$351,500.00"
6,Zecheng Dou,T5,63,70,64,67,264,-20,"$351,500.00"
7,Adam Scott,T8,63,71,68,63,265,-19,"$277,875.00"
8,Ryan Palmer,T8,64,65,68,68,265,-19,"$277,875.00"
9,Vincent Norrman,T8,68,66,65,66,265,-19,"$277,875.00"
10,Richy Werenski,T11,64,68,68,66,266,-18,"$220,875.00"
11,Stephan Jaeger,T11,67,71,65,63,266,-18,"$220,875.00"
12,Kevin Tway,T11,66,71,66,63,266,-18,"$220,875.00"
13,Mackenzie Hughes,T14,65,64,73,65,267,-17,"$163,875.00"
14,Sung Kang,T14,66,68,66,67,267,-17,"$163,875.00"
15,Byeong Hun An,T14,67,67,68,65,267,-17,"$163,875.00"
16,Carson Young,T14,70,68,63,66,267,-17,"$163,875.00"
17,Peter Kuest,T14,70,67,67,63,267,-17,"$163,875.00"
18,Seamus Power,T19,69,66,69,64,268,-16,"$121,125.00"
19,Scott Piercy,T19,64,69,69,66,268,-16,"$121,125.00"
20,Doug Ghim,T19,65,70,69,64,268,-16,"$121,125.00"
21,Joseph Bramlett,T19,68,67,67,66,268,-16,"$121,125.00"
22,Hideki Matsuyama,T23,66,67,70,66,269,-15,"$80,546.43"
23,Christiaan Bezuidenhout,T23,68,69,66,66,269,-15,"$80,546.43"
24,Brandon Wu,T23,70,68,67,64,269,-15,"$80,546.43"
25,Nate Lashley,T23,67,70,68,64,269,-15,"$80,546.43"
26,Eric Cole,T23,66,68,70,65,269,-15,"$80,546.43"
27,Trevor Cone,T23,67,68,69,65,269,-15,"$80,546.43"
28,Aaron Baddeley,T23,71,65,66,67,269,-15,"$80,546.42"
29,Garrick Higgo,T30,69,68,68,65,270,-14,"$60,800.00"
30,Matt NeSmith,T30,68,69,67,66,270,-14,"$60,800.00"
31,Patton Kizzire,T30,66,70,64,70,270,-14,"$60,800.00"
32,Doc Redman,T30,65,69,71,65,270,-14,"$60,800.00"
33,Stewart Cink,T34,73,65,66,67,271,-13,"$45,441.67"
34,Luke List,T34,64,72,70,65,271,-13,"$45,441.67"
35,Martin Laird,T34,72,66,66,67,271,-13,"$45,441.67"
36,Tom Kim,T34,71,66,69,65,271,-13,"$45,441.66"
37,Sam Stevens,T34,65,68,69,69,271,-13,"$45,441.66"
38,Henrik Norlander,T34,66,67,69,69,271,-13,"$45,441.66"
39,Augusto Núñez,T34,66,70,69,66,271,-13,"$45,441.67"
40,Tommy Gainey,T34,69,68,67,67,271,-13,"$45,441.67"
41,Adam Hadwin,T34,67,70,67,67,271,-13,"$45,441.67"
42,Tom Hoge,T43,67,69,69,67,272,-12,"$30,115.00"
43,Sangmoon Bae,T43,66,68,68,70,272,-12,"$30,115.00"
44,Justin Lower,T43,66,70,68,68,272,-12,"$30,115.00"
45,Robby Shelton,T43,70,67,66,69,272,-12,"$30,115.00"
46,Satoshi Kodaira,T43,68,70,66,68,272,-12,"$30,115.00"
47,Jonathan Byrd,T43,70,68,66,68,272,-12,"$30,115.00"
48,Matt Kuchar,T43,67,68,69,68,272,-12,"$30,115.00"
49,K.H. Lee,T50,70,68,68,67,273,-11,"$22,216.43"
50,Chad Ramey,T50,66,71,69,67,273,-11,"$22,216.43"
51,Cameron Champ,T50,70,68,66,69,273,-11,"$22,216.43"
52,Aaron Wise,T50,68,70,71,64,273,-11,"$22,216.42"
53,Adam Long,T50,71,65,71,66,273,-11,"$22,216.43"
54,James Hahn,T50,67,69,66,71,273,-11,"$22,216.43"
55,Taylor Montgomery,T50,71,66,66,70,273,-11,"$22,216.43"
56,S.H. Kim,T50,66,68,74,65,273,-11,"$22,216.42"
57,Harrison Endycott,T50,69,64,74,66,273,-11,"$22,216.43"
58,Ryan Armour,T50,71,66,67,69,273,-11,"$22,216.43"
59,Tano Goya,T50,69,68,70,66,273,-11,"$22,216.43"
60,Scott Harrington,T50,68,68,66,71,273,-11,"$22,216.43"
61,Chris Stroud,T50,68,68,67,70,273,-11,"$22,216.43"
62,Sean O'Hair,T50,65,69,67,72,273,-11,"$22,216.43"
63,Ryan Brehm,T64,69,68,71,66,274,-10,"$20,425.00"
64,Parker Coody,T64,69,67,74,64,274,-10,"$20,425.00"
65,William McGirt,T64,71,65,71,67,274,-10,"$20,425.00"
66,Robert Streb,T67,68,70,69,68,275,-9,"$19,855.00"
67,David Micheluzzi,T67,65,73,67,70,275,-9,"$19,855.00"
68,Andrew Novak,T67,66,72,70,67,275,-9,"$19,855.00"
69,Jim Herman,T70,67,71,70,68,276,-8,"$19,190.00"
70,Davis Thompson,T70,72,66,71,67,276,-8,"$19,190.00"
71,Will Gordon,T70,69,67,73,67,276,-8,"$19,190.00"
72,Greg Chalmers,T70,69,65,73,69,276,-8,"$19,190.00"
73,Jimmy Walker,T74,69,66,72,70,277,-7,"$18,525.00"
74,Bill Haas,T74,68,69,68,72,277,-7,"$18,525.00"
75,S.Y. Noh,T74,60,74,73,70,277,-7,"$18,525.00"
76,Brice Garnett,T77,67,71,67,73,278,-6,"$18,050.00"
77,Fabián Gómez,T77,68,70,73,67,278,-6,"$18,050.00"
78,Roger Sloan,T79,68,68,70,74,280,-4,"$17,480.00"
79,Vince Whaley,T79,73,65,71,71,280,-4,"$17,480.00"
80,Kelly Kraft,T79,69,67,77,67,280,-4,"$17,480.00"
81,Lucas Glover,T79,72,66,70,72,280,-4,"$17,480.00"
82,Harry Hall,T83,67,70,74,70,281,-3,"$16,910.00"
83,Brent Grant,T83,68,70,69,74,281,-3,"$16,910.00"
84,Andrew Landry,CUT,75,72,,,147,+5,$0.00
85,Richard Johnson,CUT,80,73,,,153,+11,$0.00
86,Erik van Rooyen,CUT,71,71,,,142,E,$0.00
87,Tyler Duncan,CUT,70,73,,,143,+1,$0.00
88,Trey Mullinax,CUT,71,71,,,142,E,$0.00
89,Davis Riley,CUT,67,72,,,139,-3,$0.00
90,Jason Dufner,CUT,71,74,,,145,+3,$0.00
91,Ryan Moore,CUT,69,71,,,140,-2,$0.00
92,D.A. Points,CUT,72,76,,,148,+6,$0.00
93,Pierceson Coody,CUT,68,75,,,143,+1,$0.00
94,Min Woo Lee,CUT,69,75,,,144,+2,$0.00
95,J.J. Killeen,CUT,72,70,,,142,E,$0.00
96,William Knauth,CUT,79,71,,,150,+8,$0.00
97,Scott Stallings,CUT,70,73,,,143,+1,$0.00
98,Maverick McNealy,CUT,72,68,,,140,-2,$0.00
99,Troy Merritt,CUT,74,74,,,148,+6,$0.00
100,Dylan Frittelli,CUT,70,69,,,139,-3,$0.00
101,David Lipsky,CUT,71,68,,,139,-3,$0.00
102,Adam Schenk,CUT,68,71,,,139,-3,$0.00
103,Aaron Rai,CUT,71,69,,,140,-2,$0.00
104,Russell Knox,CUT,71,70,,,141,-1,$0.00
105,Greyson Sigg,CUT,67,72,,,139,-3,$0.00
106,Max McGreevy,CUT,72,73,,,145,+3,$0.00
107,Chesson Hadley,CUT,67,75,,,142,E,$0.00
108,Nick Watney,CUT,72,72,,,144,+2,$0.00
109,Matthias Schwab,CUT,69,70,,,139,-3,$0.00
110,Kramer Hickok,CUT,72,74,,,146,+4,$0.00
111,Austin Smotherman,CUT,71,70,,,141,-1,$0.00
112,Robert Garrigus,CUT,69,73,,,142,E,$0.00
113,Justin Suh,CUT,68,74,,,142,E,$0.00
114,Ben Griffin,CUT,72,68,,,140,-2,$0.00
115,Tyson Alexander,CUT,67,73,,,140,-2,$0.00
116,Michael Kim,CUT,69,74,,,143,+1,$0.00
117,MJ Daffue,CUT,73,73,,,146,+4,$0.00
118,Paul Haley II,CUT,72,75,,,147,+5,$0.00
119,Austin Cook,CUT,68,71,,,139,-3,$0.00
120,Matti Schmid,CUT,73,73,,,146,+4,$0.00
121,Trevor Werbylo,CUT,71,73,,,144,+2,$0.00
122,Kyle Westmoreland,CUT,70,75,,,145,+3,$0.00
123,Carl Yuan,CUT,70,75,,,145,+3,$0.00
124,Brian Stuard,CUT,74,68,,,142,E,$0.00
125,Kevin Roy,CUT,69,70,,,139,-3,$0.00
126,Brandon Matthews,CUT,73,73,,,146,+4,$0.00
127,Michael Gligic,CUT,69,70,,,139,-3,$0.00
128,Dylan Wu,CUT,66,73,,,139,-3,$0.00
129,Harry Higgs,CUT,69,74,,,143,+1,$0.00
130,Cameron Percy,CUT,69,74,,,143,+1,$0.00
131,Charley Hoffman,CUT,70,69,,,139,-3,$0.00
132,Martin Trainer,CUT,71,72,,,143,+1,$0.00
133,Ryan Gerard,CUT,71,76,,,147,+5,$0.00
134,Cody Gribble,CUT,70,73,,,143,+1,$0.00
135,Kevin Chappell,CUT,69,72,,,141,-1,$0.00
136,Ricky Barnes,CUT,73,73,,,146,+4,$0.00
137,Wesley Bryan,CUT,69,74,,,143,+1,$0.00
138,Jonas Blixt,CUT,73,68,,,141,-1,$0.00
139,Geoff Ogilvy,CUT,70,73,,,143,+1,$0.00
140,Grayson Murray,CUT,71,69,,,140,-2,$0.00
141,Derek Ernst,CUT,78,72,,,150,+8,$0.00
142,Mac Meissner,CUT,71,70,,,141,-1,$0.00
143,Bo Van Pelt,CUT,72,69,,,141,-1,$0.00
144,Bobby Massa,CUT,69,72,,,141,-1,$0.00
145,Jeffrey Kang,CUT,76,71,,,147,+5,$0.00
146,Logan McCracken,CUT,73,68,,,141,-1,$0.00
147,Taylor Bibbs,CUT,74,67,,,141,-1,$0.00
148,Derek Lamely,CUT,74,79,,,153,+11,$0.00
149,Scott Brown,CUT,68,74,,,142,E,$0.00
150,Ben Crane,CUT,74,73,,,147,+5,$0.00
151,Kyle Stanley,CUT,71,71,,,142,E,$0.00
152,D.J. Trahan,CUT,72,68,,,140,-2,$0.00
153,George McNeill,CUT,71,72,,,143,+1,$0.00
154,Kevin Stadler,CUT,73,69,,,142,E,$0.00
155,"Ted Potter, Jr.",CUT,72,68,,,140,-2,$0.00
