,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Kurt Kitayama,1,67,68,72,72,279,-9,"$3,600,000.00"
1,Rory McIlroy,T2,73,69,68,70,280,-8,"$1,780,000.00"
2,Harris English,T2,69,72,69,70,280,-8,"$1,780,000.00"
3,Tyrrell Hatton,T4,71,72,66,72,281,-7,"$800,000.00"
4,Scottie Scheffler,T4,68,72,68,73,281,-7,"$800,000.00"
5,Patrick Cantlay,T4,68,71,74,68,281,-7,"$800,000.00"
6,Jordan Spieth,T4,68,69,74,70,281,-7,"$800,000.00"
7,Trey Mullinax,T8,69,73,71,69,282,-6,"$605,000.00"
8,Davis Riley,T8,70,69,77,66,282,-6,"$605,000.00"
9,Keegan Bradley,T10,68,77,71,67,283,-5,"$485,000.00"
10,Viktor Hovland,T10,71,71,66,75,283,-5,"$485,000.00"
11,Cameron Young,T10,67,73,72,71,283,-5,"$485,000.00"
12,Jason Day,T10,71,73,69,70,283,-5,"$485,000.00"
13,Francesco Molinari,T14,69,75,70,70,284,-4,"$325,000.00"
14,Matt Fitzpatrick,T14,70,69,76,69,284,-4,"$325,000.00"
15,Max Homa,T14,70,71,71,72,284,-4,"$325,000.00"
16,Sahith Theegala,T14,72,70,72,70,284,-4,"$325,000.00"
17,Ryan Fox,T14,73,73,71,67,284,-4,"$325,000.00"
18,Ben Griffin,T14,69,72,73,70,284,-4,"$325,000.00"
19,Pierceson Coody,T14,74,71,66,73,284,-4,"$325,000.00"
20,Justin Thomas,T21,72,67,72,74,285,-3,"$226,333.33"
21,Sungjae Im,T21,71,71,72,71,285,-3,"$226,333.34"
22,Corey Conners,T21,72,66,75,72,285,-3,"$226,333.33"
23,Webb Simpson,T24,72,72,76,66,286,-2,"$163,000.00"
24,Tony Finau,T24,70,72,71,73,286,-2,"$163,000.00"
25,Adam Svensson,T24,72,73,69,72,286,-2,"$163,000.00"
26,Keith Mitchell,T24,72,69,73,72,286,-2,"$163,000.00"
27,Ludvig Åberg,T24,70,70,73,73,286,-2,$0.00
28,Thomas Detry,T24,69,72,73,72,286,-2,"$163,000.00"
29,Justin Suh,T24,69,73,73,71,286,-2,"$163,000.00"
30,Adam Scott,T31,69,71,75,72,287,-1,"$131,000.00"
31,Rickie Fowler,T31,68,73,73,73,287,-1,"$131,000.00"
32,Adam Schenk,T31,68,75,72,72,287,-1,"$131,000.00"
33,Tom Kim,T34,72,70,76,70,288,E,"$109,000.00"
34,Andrew Putnam,T34,69,75,73,71,288,E,"$109,000.00"
35,Wyndham Clark,T34,70,72,76,70,288,E,"$109,000.00"
36,Danny Willett,T34,70,73,71,74,288,E,"$109,000.00"
37,Aaron Baddeley,T34,72,72,73,71,288,E,"$109,000.00"
38,Jon Rahm,T39,65,76,76,72,289,+1,"$70,028.57"
