,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Seamus Power,1,65,65,65,70,265,-19,"$1,170,000.00"
1,Thomas Detry,2,64,67,68,67,266,-18,"$708,500.00"
2,Patrick Rodgers,T3,65,67,70,65,267,-17,"$344,500.00"
3,Ben Griffin,T3,65,64,66,72,267,-17,"$344,500.00"
4,Kevin Yu,T3,64,66,67,70,267,-17,"$344,500.00"
5,Aaron Baddeley,T6,65,64,68,71,268,-16,"$227,500.00"
6,Denny McCarthy,T6,63,69,69,67,268,-16,"$227,500.00"
7,Max McGreevy,T8,65,70,66,68,269,-15,"$196,625.00"
8,Justin Lower,T8,64,68,69,68,269,-15,"$196,625.00"
9,Harrison Endycott,10,62,70,70,68,270,-14,"$177,125.00"
10,Brian Gay,T11,66,66,66,73,271,-13,"$134,875.00"
11,Alex Smalley,T11,65,69,69,68,271,-13,"$134,875.00"
12,Greyson Sigg,T11,64,69,66,72,271,-13,"$134,875.00"
13,Nick Watney,T11,67,67,70,67,271,-13,"$134,875.00"
14,David Lingmerth,T11,68,68,68,67,271,-13,"$134,875.00"
15,Sean O'Hair,T11,64,68,70,69,271,-13,"$134,875.00"
16,Akshay Bhatia,T17,68,67,69,68,272,-12,"$89,375.00"
17,Chesson Hadley,T17,66,67,71,68,272,-12,"$89,375.00"
18,Zecheng Dou,T17,65,65,75,67,272,-12,"$89,375.00"
19,Byeong Hun An,T17,65,70,70,67,272,-12,"$89,375.00"
20,Andrew Novak,T17,68,68,70,66,272,-12,"$89,375.00"
21,Fabián Gómez,T17,68,63,73,68,272,-12,"$89,375.00"
22,Nick Taylor,T23,66,68,71,68,273,-11,"$56,550.00"
23,Richy Werenski,T23,67,66,70,70,273,-11,"$56,550.00"
24,Austin Smotherman,T23,62,67,74,70,273,-11,"$56,550.00"
25,Nick Hardy,T23,65,71,71,66,273,-11,"$56,550.00"
26,Robby Shelton,T23,63,66,73,71,273,-11,"$56,550.00"
27,Nico Echavarria,T23,66,64,72,71,273,-11,"$56,550.00"
28,Robert Streb,T29,66,69,73,66,274,-10,"$41,654.17"
29,Garrick Higgo,T29,68,68,74,64,274,-10,"$41,654.17"
30,Adam Schenk,T29,63,66,76,69,274,-10,"$41,654.17"
31,MJ Daffue,T29,65,70,73,66,274,-10,"$41,654.17"
32,Scott Harrington,T29,66,66,70,72,274,-10,"$41,654.16"
33,Charley Hoffman,T29,67,66,71,70,274,-10,"$41,654.16"
34,John VanDerLaan,T35,69,67,67,72,275,-9,"$29,683.33"
35,Brandon Wu,T35,71,64,70,70,275,-9,"$29,683.33"
36,Nate Lashley,T35,66,70,70,69,275,-9,"$29,683.34"
37,Will Gordon,T35,68,66,66,75,275,-9,"$29,683.33"
38,Brent Grant,T35,66,67,69,73,275,-9,"$29,683.33"
39,Cameron Percy,T35,66,68,71,70,275,-9,"$29,683.33"
40,Jonathan Byrd,T35,69,66,73,67,275,-9,"$29,683.34"
41,S.Y. Noh,T35,68,67,71,69,275,-9,"$29,683.34"
42,Erik van Rooyen,T35,66,66,72,71,275,-9,"$29,683.33"
43,Adam Long,T44,68,68,72,68,276,-8,"$20,527.00"
44,C.T. Pan,T44,66,67,69,74,276,-8,"$20,527.00"
45,Austin Cook,T44,68,67,67,74,276,-8,"$20,527.00"
46,Tyson Alexander,T44,68,67,68,73,276,-8,"$20,527.00"
47,Tano Goya,T44,68,68,73,67,276,-8,"$20,527.00"
48,Russell Knox,T49,66,67,72,72,277,-7,"$16,367.00"
49,Ben Martin,T49,64,69,69,75,277,-7,"$16,367.00"
50,Arjun Atwal,T49,63,71,70,73,277,-7,"$16,367.00"
51,Dylan Wu,T49,64,66,76,71,277,-7,"$16,367.00"
52,Ben Crane,T49,66,62,73,76,277,-7,"$16,367.00"
53,Aaron Rai,T54,69,67,71,71,278,-6,"$15,275.00"
54,Brian Stuard,T54,65,67,73,73,278,-6,"$15,275.00"
55,Camilo Villegas,T54,68,68,73,69,278,-6,"$15,275.00"
56,Philip Knowles,T57,66,70,74,69,279,-5,"$14,950.00"
57,Ben Taylor,T57,70,65,77,67,279,-5,"$14,950.00"
58,Trevor Werbylo,T59,65,68,71,76,280,-4,"$14,690.00"
59,Scott Gutschewski,T59,65,70,70,75,280,-4,"$14,690.00"
60,Matti Schmid,61,67,67,70,77,281,-3,"$14,495.00"
61,Scott Brown,62,63,68,81,70,282,-2,"$14,365.00"
62,Lucas Glover,T63,66,67,78,72,283,-1,"$14,170.00"
63,Harry Hall,T63,66,69,77,71,283,-1,"$14,170.00"
64,Caleb Surratt,T65,71,64,85,65,285,+1,$0.00
65,Greg Chalmers,T65,66,70,76,73,285,+1,"$13,975.00"
66,Augusto Núñez,67,67,69,73,77,286,+2,"$13,845.00"
67,Tyler Duncan,CUT,66,71,,,137,-5,$0.00
68,Stephan Jaeger,CUT,68,69,,,137,-5,$0.00
69,Mark Hubbard,CUT,70,67,,,137,-5,$0.00
70,Kevin Tway,CUT,71,66,,,137,-5,$0.00
71,Matthias Schwab,CUT,66,71,,,137,-5,$0.00
72,Henrik Norlander,CUT,69,68,,,137,-5,$0.00
73,Erik Barnes,CUT,67,70,,,137,-5,$0.00
74,Ryan Armour,CUT,69,68,,,137,-5,$0.00
75,Eric Cole,CUT,66,71,,,137,-5,$0.00
76,Joseph Bramlett,CUT,66,71,,,137,-5,$0.00
77,Kevin Roy,CUT,67,70,,,137,-5,$0.00
78,Vincent Norrman,CUT,70,67,,,137,-5,$0.00
79,Vaughn Taylor,CUT,69,68,,,137,-5,$0.00
80,William McGirt,CUT,70,68,,,138,-4,$0.00
81,Martin Trainer,CUT,66,72,,,138,-4,$0.00
82,Trevor Cone,CUT,71,67,,,138,-4,$0.00
83,Kyle Westmoreland,CUT,70,68,,,138,-4,$0.00
84,Chris Stroud,CUT,70,68,,,138,-4,$0.00
85,Bo Van Pelt,CUT,72,66,,,138,-4,$0.00
86,Sangmoon Bae,CUT,66,72,,,138,-4,$0.00
87,Cody Gribble,CUT,66,72,,,138,-4,$0.00
88,Samuel Stevens,CUT,68,70,,,138,-4,$0.00
89,Sam Ryder,CUT,70,68,,,138,-4,$0.00
90,Chad Ramey,CUT,71,67,,,138,-4,$0.00
91,D.A. Points,CUT,69,69,,,138,-4,$0.00
92,Willie Mack III,CUT,67,72,,,139,-3,$0.00
93,Aaron Jarvis,CUT,67,72,,,139,-3,$0.00
94,S.H. Kim,CUT,67,72,,,139,-3,$0.00
95,Ricky Barnes,CUT,69,70,,,139,-3,$0.00
96,Harry Higgs,CUT,64,75,,,139,-3,$0.00
97,Bill Haas,CUT,68,71,,,139,-3,$0.00
98,Hank Lebioda,CUT,71,69,,,140,-2,$0.00
99,Robert Garrigus,CUT,70,70,,,140,-2,$0.00
100,Jonas Blixt,CUT,68,72,,,140,-2,$0.00
101,David Hearn,CUT,67,73,,,140,-2,$0.00
102,J.J. Henry,CUT,70,70,,,140,-2,$0.00
103,Austin Eckroat,CUT,68,72,,,140,-2,$0.00
104,Kramer Hickok,CUT,70,70,,,140,-2,$0.00
105,Scott Piercy,CUT,67,73,,,140,-2,$0.00
106,Callum Tarren,CUT,67,73,,,140,-2,$0.00
107,James Nicholas,CUT,70,70,,,140,-2,$0.00
108,Adrian Meronk,CUT,69,71,,,140,-2,$0.00
109,Chandler Blanchet,CUT,66,75,,,141,-1,$0.00
110,Doug Ghim,CUT,69,72,,,141,-1,$0.00
111,Brandon Matthews,CUT,73,68,,,141,-1,$0.00
112,Michael Kim,CUT,72,69,,,141,-1,$0.00
113,Carson Young,CUT,70,71,,,141,-1,$0.00
114,Brice Garnett,CUT,71,70,,,141,-1,$0.00
115,Wesley Bryan,CUT,68,73,,,141,-1,$0.00
116,D.J. Trahan,CUT,72,70,,,142,E,$0.00
117,Palmer Jackson,CUT,73,69,,,142,E,$0.00
118,Michael Sims,CUT,73,70,,,143,+1,$0.00
119,Luke Donald,CUT,71,72,,,143,+1,$0.00
120,Sung Kang,CUT,72,71,,,143,+1,$0.00
121,Kevin Chappell,CUT,72,71,,,143,+1,$0.00
122,Johnson Wagner,CUT,71,73,,,144,+2,$0.00
123,Michael Gligic,CUT,70,74,,,144,+2,$0.00
124,Clay Feagler,CUT,70,75,,,145,+3,$0.00
125,Jarryd Dillas,CUT,69,76,,,145,+3,$0.00
126,John Daly,CUT,71,76,,,147,+5,$0.00
127,Greg Koch,CUT,75,72,,,147,+5,$0.00
128,Nicholas Jones,CUT,71,76,,,147,+5,$0.00
129,Ryan Brehm,CUT,71,77,,,148,+6,$0.00
130,Kim Swan,CUT,89,81,,,170,+28,$0.00
131,Tommy Gainey,W/D,72,,,,72,+1,$0.00
