,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Tony Finau,1,65,62,68,69,264,-16,"$1,512,000.00"
1,Tyson Alexander,2,66,66,70,66,268,-12,"$915,600.00"
2,Ben Taylor,3,66,68,65,70,269,-11,"$579,600.00"
3,Trey Mullinax,T4,67,66,72,67,272,-8,"$353,500.00"
4,Alex Noren,T4,65,66,73,68,272,-8,"$353,500.00"
5,Alex Smalley,T4,71,64,70,67,272,-8,"$353,500.00"
6,Adam Hadwin,T7,70,65,70,68,273,-7,"$273,000.00"
7,Aaron Rai,T7,70,64,70,69,273,-7,"$273,000.00"
8,Gary Woodland,T9,69,67,67,71,274,-6,"$196,500.00"
9,Scottie Scheffler,T9,70,66,71,67,274,-6,"$196,500.00"
10,Justin Rose,T9,67,69,66,72,274,-6,"$196,500.00"
11,Joel Dahmen,T9,67,68,68,71,274,-6,"$196,500.00"
12,Keith Mitchell,T9,66,70,70,68,274,-6,"$196,500.00"
13,Stephan Jaeger,T9,70,67,70,67,274,-6,"$196,500.00"
14,Joseph Bramlett,T9,70,65,70,69,274,-6,"$196,500.00"
15,Jason Day,T16,69,69,69,68,275,-5,"$123,900.00"
16,Mackenzie Hughes,T16,66,68,70,71,275,-5,"$123,900.00"
17,Wyndham Clark,T16,66,68,68,73,275,-5,"$123,900.00"
18,Patrick Rodgers,T16,68,63,73,71,275,-5,"$123,900.00"
19,Scott Piercy,T16,67,70,67,71,275,-5,"$123,900.00"
20,Ben Griffin,T16,67,67,71,70,275,-5,"$123,900.00"
21,Martin Laird,T22,68,69,73,66,276,-4,"$84,420.00"
22,Aaron Wise,T22,65,71,71,69,276,-4,"$84,420.00"
23,Sahith Theegala,T22,71,68,73,64,276,-4,"$84,420.00"
24,David Lipsky,T22,66,73,70,67,276,-4,"$84,420.00"
25,Callum Tarren,26,73,66,70,68,277,-3,"$67,620.00"
26,Kyle Westmoreland,T27,68,72,69,69,278,-2,"$56,332.50"
27,Cole Hammer,T27,74,65,71,68,278,-2,"$56,332.50"
28,Davis Riley,T27,71,64,71,72,278,-2,"$56,332.50"
29,Maverick McNealy,T27,67,72,69,70,278,-2,"$56,332.50"
30,Russell Knox,T27,69,65,70,74,278,-2,"$56,332.50"
31,James Hahn,T27,68,65,71,74,278,-2,"$56,332.50"
32,Austin Cook,T27,68,67,71,72,278,-2,"$56,332.50"
33,Ryan Armour,T27,72,68,66,72,278,-2,"$56,332.50"
34,Si Woo Kim,T35,68,69,69,73,279,-1,"$42,735.00"
35,Andrew Putnam,T35,68,70,71,70,279,-1,"$42,735.00"
36,Carl Yuan,T35,67,66,77,69,279,-1,"$42,735.00"
37,Eric Cole,T35,71,68,69,71,279,-1,"$42,735.00"
38,Harris English,T39,69,69,69,73,280,E,"$36,540.00"
39,Travis Vick,T39,68,69,71,72,280,E,$0.00
40,Adam Svensson,T39,73,67,72,68,280,E,"$36,540.00"
41,Harry Hall,T39,69,70,72,69,280,E,"$36,540.00"
42,Kevin Tway,T43,71,69,70,71,281,+1,"$30,660.00"
43,Will Gordon,T43,68,71,73,69,281,+1,"$30,660.00"
44,Erik Barnes,T43,68,71,70,72,281,+1,"$30,660.00"
45,Davis Thompson,T43,68,71,74,68,281,+1,"$30,660.00"
46,Francesco Molinari,T47,69,71,72,70,282,+2,"$23,704.80"
47,Justin Suh,T47,69,68,71,74,282,+2,"$23,704.80"
48,S.H. Kim,T47,68,70,74,70,282,+2,"$23,704.80"
49,Michael Kim,T47,70,68,73,71,282,+2,"$23,704.80"
50,Zack Fischer,T47,69,70,74,69,282,+2,"$23,704.80"
51,Robby Shelton,52,71,68,73,71,283,+3,"$21,084.00"
52,Denny McCarthy,T53,67,72,70,75,284,+4,"$20,118.00"
53,Matt NeSmith,T53,74,64,78,68,284,+4,"$20,118.00"
54,Nick Watney,T53,69,71,72,72,284,+4,"$20,118.00"
55,Byeong Hun An,T53,70,67,75,72,284,+4,"$20,118.00"
56,Stewart Cink,T57,68,71,74,72,285,+5,"$19,236.00"
57,Luke List,T57,69,70,69,77,285,+5,"$19,236.00"
58,Zach Johnson,T57,69,70,72,74,285,+5,"$19,236.00"
59,Sam Stevens,T57,70,69,71,75,285,+5,"$19,236.00"
60,Taylor Montgomery,T57,71,68,76,70,285,+5,"$19,236.00"
61,Brandon Wu,T62,71,69,71,75,286,+6,"$18,648.00"
62,Paul Haley II,T62,72,68,74,72,286,+6,"$18,648.00"
63,Matthias Schwab,T64,73,65,77,72,287,+7,"$18,312.00"
64,S.Y. Noh,T64,71,67,74,75,287,+7,"$18,312.00"
65,Taylor Pendrith,66,66,72,71,79,288,+8,"$18,060.00"
66,Max McGreevy,67,66,73,75,77,291,+11,"$17,892.00"
67,Zecheng Dou,68,67,72,76,78,293,+13,"$17,724.00"
68,Tyler Duncan,CUT,70,71,,,141,+1,$0.00
69,Chad Ramey,CUT,73,68,,,141,+1,$0.00
70,Sebastián Muñoz,CUT,71,70,,,141,+1,$0.00
71,Walker Lee,CUT,69,72,,,141,+1,$0.00
72,MJ Daffue,CUT,68,73,,,141,+1,$0.00
73,Michael Gligic,CUT,69,72,,,141,+1,$0.00
74,Augusto Núñez,CUT,71,70,,,141,+1,$0.00
75,Brent Grant,CUT,67,74,,,141,+1,$0.00
76,Henrik Norlander,CUT,73,69,,,142,+2,$0.00
77,Austin Eckroat,CUT,72,70,,,142,+2,$0.00
78,Russell Henley,CUT,72,70,,,142,+2,$0.00
79,Taylor Moore,CUT,71,71,,,142,+2,$0.00
80,Robert Streb,CUT,74,68,,,142,+2,$0.00
81,Danny Lee,CUT,69,73,,,142,+2,$0.00
82,Justin Lower,CUT,69,73,,,142,+2,$0.00
83,Kelly Kraft,CUT,71,71,,,142,+2,$0.00
84,Zac Blair,CUT,72,70,,,142,+2,$0.00
85,David Lingmerth,CUT,70,73,,,143,+3,$0.00
86,Ryan Palmer,CUT,71,72,,,143,+3,$0.00
87,Lee Hodges,CUT,69,74,,,143,+3,$0.00
88,Beau Hossler,CUT,75,68,,,143,+3,$0.00
89,Jimmy Walker,CUT,74,69,,,143,+3,$0.00
90,Charley Hoffman,CUT,72,71,,,143,+3,$0.00
91,Richy Werenski,CUT,72,71,,,143,+3,$0.00
92,Matt Wallace,CUT,70,73,,,143,+3,$0.00
93,Kevin Streelman,CUT,71,72,,,143,+3,$0.00
94,Tano Goya,CUT,74,69,,,143,+3,$0.00
95,Kevin Roy,CUT,75,68,,,143,+3,$0.00
96,Nick Taylor,CUT,72,72,,,144,+4,$0.00
97,Jason Dufner,CUT,75,69,,,144,+4,$0.00
98,Nico Echavarria,CUT,71,73,,,144,+4,$0.00
99,Adam Schenk,CUT,72,72,,,144,+4,$0.00
100,Dylan Frittelli,CUT,71,73,,,144,+4,$0.00
101,John Huh,CUT,72,73,,,145,+5,$0.00
102,Chris Stroud,CUT,72,73,,,145,+5,$0.00
103,Sepp Straka,CUT,78,67,,,145,+5,$0.00
104,Ryan Brehm,CUT,71,75,,,146,+6,$0.00
105,Doc Redman,CUT,70,76,,,146,+6,$0.00
106,Chesson Hadley,CUT,74,72,,,146,+6,$0.00
107,Lukas Euler,CUT,72,74,,,146,+6,$0.00
108,Trevor Werbylo,CUT,71,76,,,147,+7,$0.00
109,Adam Long,CUT,70,77,,,147,+7,$0.00
110,Cameron Champ,CUT,74,73,,,147,+7,$0.00
111,Ben Kern,CUT,71,76,,,147,+7,$0.00
112,Kramer Hickok,CUT,73,75,,,148,+8,$0.00
113,Dean Burmester,CUT,71,77,,,148,+8,$0.00
114,Brandon Matthews,CUT,76,72,,,148,+8,$0.00
115,Philip Knowles,CUT,74,75,,,149,+9,$0.00
116,Ben Martin,CUT,75,74,,,149,+9,$0.00
117,Scott Harrington,CUT,72,77,,,149,+9,$0.00
118,Sean Jacklin,CUT,72,77,,,149,+9,$0.00
119,Peter Malnati,CUT,78,71,,,149,+9,$0.00
120,Johannes Veerman,CUT,74,75,,,149,+9,$0.00
121,Garrick Higgo,CUT,78,74,,,152,+12,$0.00
122,Carson Young,CUT,75,78,,,153,+13,$0.00
123,Mark Hubbard,DQ,75,,,,75,+5,$0.00
124,Jim Herman,W/D,74,,,,74,+4,$0.00
125,Erik van Rooyen,W/D,75,,,,75,+5,$0.00
126,Danny Willett,W/D,75,,,,75,+5,$0.00
127,Anders Albertson,W/D,76,,,,76,+6,$0.00
128,Sam Burns,W/D,77,,,,77,+7,$0.00
129,Austin Smotherman,W/D,80,,,,80,+10,$0.00
130,Hideki Matsuyama,W/D,70,70,,,140,E,$0.00
131,Brendan Steele,W/D,67,70,73,,210,E,$0.00
